"Name","ID","Name","State","Notes","User","Tags","Created","Runtime","Sweep","agent.eps_eval","agent.eps_final","agent.eps_init","algo.batch_size","algo.clip_grad_norm","algo.discount","algo.double_dqn","algo.eps_steps","algo.learning_rate","algo.min_steps_learn","algo.n_step_return","algo.pri_alpha","algo.pri_beta_steps","algo.prioritized_replay","algo.replay_ratio","algo.replay_size","algo.target_update_interval","algo.target_update_tau","amortization_decay_constant","amortization_loss_weight","async_sample","aug_prob","augmentation","batch_b","batch_size","batch_t","beluga","buffered_nce","byol","byol_tau","c1","classifier","control","cosine_nce","debug_cuda_idx","der","detach_model","dirichlet_alpha","distributional","dqn_hidden_size","dueling","dynamics_blocks","encoder","env.episodic_lives","env.game","env.grayscale","env.imagesize","env.seed","env.stack_actions","eps_steps","eval_augmentation","eval_env.episodic_lives","eval_env.game","eval_env.grayscale","eval_env.horizon","eval_env.imagesize","eval_env.seed","eval_env.stack_actions","eval_imagesize","eval_simulations","fasteval","film","final_eval_only","frame_dropout","game","global_local_nce","global_nce","grad_scale_factor","grayscale","hard_neg_factor","imagesize","init","jumps","keep_last_frame","latent_size","learn_model","local_nce","max_grad_norm","model.dueling","model_nce_weight","model_rl_weight","momentum_encoder","n_gpu","n_step","n_steps","nce","nce_loss_decay_steps","nce_loss_weight","nce_loss_weight_final","nce_type","no_rl_augmentation","no_search_control","noisy_nets","norm_type","num_simulations","optim.eps","padding","prioritized_replay","q_dirichlet","replay_ratio","reward_loss_weight","runner.log_interval_steps","runner.n_steps","sampler.batch_B","sampler.batch_T","sampler.eval_max_steps","sampler.eval_max_trajectories","sampler.eval_n_envs","sampler.max_decorrelation_steps","search_epsilon","seed","shared_encoder","stack_actions","tag","target_augmentation","target_encoder_sn","target_update_interval","target_update_tau","time_contrastive","transition_model","use_all_targets","virtual_loss_c","virtual_threads","visit_temp","AmortizationLoss","DiscountedReturn","DiscountedReturnAverage","DiscountedReturnMax","DiscountedReturnMedian","DiscountedReturnMin","DiscountedReturnStd","GameScore","GameScoreAverage","GameScoreBest","GameScoreDERNormalized","GameScoreDERNormalizedBest","GameScoreMax","GameScoreMedian","GameScoreMin","GameScoreNatureNormalized","GameScoreNatureNormalizedBest","GameScoreNormalized","GameScoreNormalizedBest","GameScoreStd","Length","LengthAverage","LengthMax","LengthMedian","LengthMin","LengthStd","ModelNCELoss","NCEAcc","NCELoss","NonzeroRewards","NonzeroRewardsAverage","NonzeroRewardsMax","NonzeroRewardsMedian","NonzeroRewardsMin","NonzeroRewardsStd","Return","ReturnAverage","ReturnMax","ReturnMedian","ReturnMin","ReturnStd","RewardLoss","cum_steps","gradNorm","loss","modelGradNorm","modelRLLoss","tdAbsErr"
"absurd-wind-2039","w869r4mc","absurd-wind-2039","finished","-","ankeshanand","","2020-06-26T13:13:37.000Z","33259","","0.001","0","0","32","10","0.99","true","5000","0.0001","2000","10","0.5","100000","true","64","1000000","2000","1","0","0","false","1","[""none""]","1","32","1","false","0","1","0.01","1.25","q_l1","false","1","0","true","0","0.25","1","256","1","0","nature","true","breakout","1","84","4","0","5000","0","false","breakout","1","27000","84","4","0","84","0","0","0","1","0","breakout","0","1","0.5","1","0","84","pytorch","20","1","256","true","0","10","true","1","0","1","1","10","100000","1","50000","0","-1","custom","0","0","1","bn","0","0.00015","valid","1","0","64","0","1000000","50000000","1","1","500000","1000","1","1000","0.01","4","0","0","","0","0","2000","1","0","standard","0","1","3","0.5","0","1.4842410022159978","1.4842410022159978","1.9017532025626136","1.812485047988213","0.7105532272722921","0.4703377921393415","5.330357142857143","5.330357142857143","5.330357142857143","18.15178571428572","18.15178571428572","7","7","1","0.009087251922045417","0.009087251922045417","0.12605406746031747","0.12605406746031747","2.0761760559514513","4444.330357142857","4444.330357142857","27001","370","273","6999.948583214728","0.03305334107019007","0","0.18978610870055856","5.330357142857143","5.330357142857143","7","7","1","2.0761760559514513","5.330357142857143","5.330357142857143","7","7","1","2.0761760559514513","0.24371932233460247","100000","0.1027988731853664","0.2991114831779152","0.03769504941478371","0","0.05893915519118309"
"pious-fog-2038","3dxywcoc","pious-fog-2038","finished","-","ankeshanand","","2020-06-26T13:13:25.000Z","32159","","0.001","0","0","32","10","0.99","true","5000","0.0001","2000","10","0.5","100000","true","64","1000000","1000","1","0","0","false","1","[""none""]","1","32","1","false","0","1","0.01","1.25","q_l1","false","1","0","true","0","0.25","1","256","1","0","nature","true","assault","1","84","4","0","5000","0","false","assault","1","27000","84","4","0","84","0","0","0","1","0","assault","0","1","0.5","1","0","84","pytorch","20","1","256","true","0","10","true","1","0","1","1","10","100000","1","50000","0","-1","custom","0","0","1","bn","0","0.00015","valid","1","0","64","0","1000000","50000000","1","1","500000","1000","1","1000","0.01","4","0","0","","0","0","1000","1","0","standard","0","1","3","0.5","0","3.6438891961651447","3.6438891961651447","6.436898718480581","3.6397816902040754","1.2372086095144832","0.9020073549487596","448.0450885668277","448.0450885668277","448.0450885668277","1.0806757115269527","1.0806757115269527","766","462","105","0.07193938932819859","0.07193938932819859","0.43426691410090007","0.43426691410090007","125.97478684372626","804.597423510467","804.597423510467","1459","812","190","219.01977261999585","0.13107223652638494","0","0.2408427767008543","21.341384863123995","21.341384863123995","37","22","5","6.011479411643583","21.341384863123995","21.341384863123995","37","22","5","6.011479411643583","0.34724423878081145","100000","0.3852543454613537","0.6869194732882082","0.0336313144140644","0","0.09122321009635924"
"restful-bee-2037","1lomhka8","restful-bee-2037","finished","-","ankeshanand","","2020-06-26T13:11:11.000Z","28444","","0.001","0","0","32","10","0.99","true","5000","0.0001","2000","10","0.5","100000","true","64","1000000","1000","1","0","0","false","1","[""none""]","1","32","1","false","0","1","0.01","1.25","q_l1","false","1","0","true","0","0.25","1","256","1","0","nature","true","pong","1","84","3","0","5000","0","false","pong","1","27000","84","3","0","84","0","0","0","1","0","pong","0","1","0.5","1","0","84","pytorch","5","1","256","true","0","10","true","1","0","1","1","10","100000","1","50000","0","-1","custom","0","0","1","bn","0","0.00015","valid","1","0","64","0","1000000","50000000","1","1","500000","1000","1","1000","0.01","3","0","0","","0","0","1000","1","0","standard","0","1","3","0.5","0","-0.13279975777846992","-0.13279975777846992","0.5978816875901566","-0.4687739748869964","-0.7981026042511354","0.5097449218089524","-9.554140127388536","-9.554140127388536","-9.554140127388536","7.961328480436768","7.961328480436768","9","-15","-20","0.2814611078942289","0.2814611078942289","0.31574673860089136","0.31574673860089136","10.53921696922088","3174.796178343949","3174.796178343949","5011","2740","1968","832.9767106557957","0.07114250723011792","0","0.28193219611272213","29.426751592356688","29.426751592356688","41","27","22","6.653578914973812","-9.554140127388536","-9.554140127388536","9","-15","-20","10.53921696922088","0.3187380858309567","100000","0.2893497379183769","0.6236206381067634","0.07972711423719302","0","0.09507513046264648"
"wandering-silence-2036","2x9unl5m","wandering-silence-2036","finished","-","ankeshanand","","2020-06-26T13:11:03.000Z","27376","","0.001","0","0","32","10","0.99","true","5000","0.0001","2000","10","0.5","100000","true","64","1000000","2000","1","0","0","false","1","[""none""]","1","32","1","false","0","1","0.01","1.25","q_l1","false","1","0","true","0","0.25","1","256","1","0","nature","true","kangaroo","1","84","4","0","5000","0","false","kangaroo","1","27000","84","4","0","84","0","0","0","1","0","kangaroo","0","1","0.5","1","0","84","pytorch","20","1","256","true","0","10","true","1","0","1","1","10","100000","1","50000","0","-1","custom","0","0","1","bn","0","0.00015","valid","1","0","64","0","1000000","50000000","1","1","500000","1000","1","1000","0.01","4","0","0","","0","0","2000","1","0","standard","0","1","3","0.5","0","0.17093037819214207","0.17093037819214207","0.2727025884351119","0.16845689541947584","0.13172595884545357","0.011073894615694468","740.2469135802469","740.2469135802469","740.2469135802469","0.946304019772098","0.946304019772098","1600","800","400","0.1029077322936972","0.1029077322936972","0.2307230685820472","0.2307230685820472","168.90332766234144","617.2456790123457","617.2456790123457","874","626.5","432","107.62551736229614","0.03121495696150232","0","0.15071903539765627","3.7012345679012344","3.7012345679012344","8","4","2","0.8445166383117073","3.7012345679012344","3.7012345679012344","8","4","2","0.8445166383117073","0.24670022425986823","100000","0.12345617805151268","0.33180172611139713","0.03069331458150409","0","0.06422604620456696"
"tough-pine-2035","7em1e63r","tough-pine-2035","finished","-","ankeshanand","","2020-06-26T13:09:31.000Z","46227","","0.001","0","0","32","10","0.99","true","5000","0.0001","2000","10","0.5","100000","true","64","1000000","2000","1","0","0","false","1","[""none""]","1","32","1","false","0","1","0.01","1.25","q_l1","false","1","0","true","0","0.25","1","256","1","0","nature","true","assault","1","84","1","0","5000","0","false","assault","1","27000","84","1","0","84","0","0","0","1","0","assault","0","1","0.5","1","0","84","pytorch","20","1","256","true","0","10","true","1","0","1","1","10","100000","1","50000","0","-1","custom","0","0","1","bn","0","0.00015","valid","1","0","64","0","1000000","50000000","1","1","500000","1000","1","1000","0.01","1","0","0","","0","0","2000","1","0","standard","0","1","3","0.5","0","3.5064300403583366","3.5064300403583366","5.9790989375341885","3.527470670651895","1.0990083294975643","0.9046368361664796","512.8641732283464","512.8641732283464","512.8641732283464","1.3911119407487855","1.3911119407487855","766","525","189","0.09260478646571016","0.09260478646571016","0.5590149600237614","0.5590149600237614","133.12870177436372","982.8897637795276","982.8897637795276","1766","987","318","251.91321397563635","0.11940939393918962","0","0.22249185504987837","24.466535433070867","24.466535433070867","37","25","9","6.403497921805806","24.466535433070867","24.466535433070867","37","25","9","6.403497921805806","0.4627018602523953","100000","0.3950114535927772","0.7063007674381137","0.03433538230741397","0","0.0898147001862526"
"usual-serenity-2034","272322a9","usual-serenity-2034","finished","-","ankeshanand","","2020-06-26T13:09:29.000Z","21533","","0.001","0","0","32","10","0.99","true","5000","0.0001","2000","10","0.5","100000","true","64","1000000","1000","1","0","0","false","1","[""none""]","1","32","1","false","0","1","0.01","1.25","q_l1","false","1","0","true","0","0.25","1","256","1","0","nature","true","boxing","1","84","1","0","5000","0","false","boxing","1","27000","84","1","0","84","0","0","0","1","0","boxing","0","1","0.5","1","0","84","pytorch","5","1","256","true","0","10","true","1","0","1","1","10","100000","1","50000","0","-1","custom","0","0","1","bn","0","0.00015","valid","1","0","64","0","1000000","50000000","1","1","500000","1000","1","1000","0.01","1","0","0","","0","0","1000","1","0","standard","0","1","3","0.5","0","-0.609123567125445","-0.609123567125445","4.37422634915025","-0.8604061215766082","-2.4613371431627793","1.0125627353485378","-0.9035714285714286","-0.9035714285714286","1.1321428571428571","-10.035714285714285","10.32142857142857","43","0","-24","-0.013996812113966924","0.014395297868101214","-0.08363095238095238","0.08601190476190475","7.446091119452117","1781.4964285714286","1781.4964285714286","1785","1782","1778","2.1111916308191487","0.13887923703789712","0","0.2762486894279718","67.02857142857142","67.02857142857142","93","66","47","7.961463305145837","1.3928571428571428","1.3928571428571428","37","2","-18","5.882414990669136","0.33145904172733426","100000","0.4233140040602535","0.888060013705492","0.056003211802896115","0","0.10108044743537904"
"northern-pond-2033","2oz4d4gh","northern-pond-2033","finished","-","ankeshanand","","2020-06-26T13:09:15.000Z","24221","","0.001","0","0","32","10","0.99","true","5000","0.0001","2000","10","0.5","100000","true","64","1000000","1000","1","0","0","false","1","[""none""]","1","32","1","false","0","1","0.01","1.25","q_l1","false","1","0","true","0","0.25","1","256","1","0","nature","true","up_n_down","1","84","5","0","5000","0","false","up_n_down","1","27000","84","5","0","84","0","0","0","1","0","up_n_down","0","1","0.5","1","0","84","pytorch","5","1","256","true","0","10","true","1","0","1","1","10","100000","1","50000","0","-1","custom","0","0","1","bn","0","0.00015","valid","1","0","64","0","1000000","50000000","1","1","500000","1000","1","1000","0.01","5","0","0","","0","0","1000","1","0","standard","0","1","3","0.5","0","5.6777424532302705","5.6777424532302705","6.270433621698188","5.70111002453775","3.823101837609368","0.314323906904263","3184.0625","3184.0625","3184.0625","1.1308287116040956","1.1308287116040956","7360","3025","1200","0.3345697750738394","0.3345697750738394","0.23751881754153295","0.23751881754153295","1375.587433702568","1041.5583333333334","1041.5583333333334","1954","1010.5","655","352.56934414460306","0.11509415249982848","0","0.26088189370408654","55.0125","55.0125","121","54","27","24.686953580450815","55.0125","55.0125","121","54","27","24.686953580450815","0.41880846189484","100000","0.33400748084783555","0.814109176710248","0.04979246521475725","0","0.13067030906677246"
"robust-sound-2032","3fgsel2r","robust-sound-2032","finished","-","ankeshanand","","2020-06-26T13:09:14.000Z","29814","","0.001","0","0","32","10","0.99","true","5000","0.0001","2000","10","0.5","100000","true","64","1000000","1000","1","0","0","false","1","[""none""]","1","32","1","false","0","1","0.01","1.25","q_l1","false","1","0","true","0","0.25","1","256","1","0","nature","true","kangaroo","1","84","2","0","5000","0","false","kangaroo","1","27000","84","2","0","84","0","0","0","1","0","kangaroo","0","1","0.5","1","0","84","pytorch","20","1","256","true","0","10","true","1","0","1","1","10","100000","1","50000","0","-1","custom","0","0","1","bn","0","0.00015","valid","1","0","64","0","1000000","50000000","1","1","500000","1000","1","1000","0.01","2","0","0","","0","0","1000","1","0","standard","0","1","3","0.5","0","0.17645654971822294","0.17645654971822294","0.2610549360117773","0.17735652754142298","0.14232134693339604","0.012496253771805342","1033.7535014005605","1033.7535014005605","1033.7535014005605","1.3498604446590958","1.3498604446590958","1800","1000","600","0.1467932866926675","0.1467932866926675","0.32911615869948385","0.32911615869948385","185.45326642676432","699.7016806722689","699.7016806722689","968","687","561","55.94476890687535","0.03728328667741734","0","0.15446189719736575","5.1722689075630255","5.1722689075630255","9","5","3","0.930205034753263","5.1722689075630255","5.1722689075630255","9","5","3","0.930205034753263","0.2669412405923009","100000","0.12031160346744582","0.3301666109409183","0.03170412871236913","0","0.05577592924237251"
"earthy-plant-2031","1hwhnujf","earthy-plant-2031","finished","-","ankeshanand","","2020-06-26T13:09:11.000Z","29775","","0.001","0","0","32","10","0.99","true","5000","0.0001","2000","10","0.5","100000","true","64","1000000","2000","1","0","0","false","1","[""none""]","1","32","1","false","0","1","0.01","1.25","q_l1","false","1","0","true","0","0.25","1","256","1","0","nature","true","battle_zone","1","84","3","0","5000","0","false","battle_zone","1","27000","84","3","0","84","0","0","0","1","0","battle_zone","0","1","0.5","1","0","84","pytorch","20","1","256","true","0","10","true","1","0","1","1","10","100000","1","50000","0","-1","custom","0","0","1","bn","0","0.00015","valid","1","0","64","0","1000000","50000000","1","1","500000","1000","1","1000","0.01","3","0","0","","0","0","2000","1","0","standard","0","1","3","0.5","0","0.6715398569699224","0.6715398569699224","1.3969944549529023","0.7334349510755855","0.21972753069454984","0.15584301600291883","8970.18970189702","8970.18970189702","8970.18970189702","0.8513239190553304","0.8513239190553304","26000","10000","1000","0.2761148580575196","0.2761148580575196","0.18979799589109236","0.18979799589109236","5020.4654570814055","1352.6666666666667","1352.6666666666667","2340","1275","699","366.9347430961763","0.08531075430782512","0","0.2573179029840976","7.08130081300813","7.08130081300813","15","8","1","3.3372176456021836","7.08130081300813","7.08130081300813","15","8","1","3.3372176456021836","0.367028482664749","100000","0.16609805239979178","0.4675759242139757","0.04380272737490013","0","0.07431551814079285"
"exalted-energy-2030","1hstar9e","exalted-energy-2030","finished","-","ankeshanand","","2020-06-26T13:09:08.000Z","47820","","0.001","0","0","32","10","0.99","true","5000","0.0001","2000","10","0.5","100000","true","64","1000000","1000","1","0","0","false","1","[""none""]","1","32","1","false","0","1","0.01","1.25","q_l1","false","1","0","true","0","0.25","1","256","1","0","nature","true","frostbite","1","84","2","0","5000","0","false","frostbite","1","27000","84","2","0","84","0","0","0","1","0","frostbite","0","1","0.5","1","0","84","pytorch","20","1","256","true","0","10","true","1","0","1","1","10","100000","1","50000","0","-1","custom","0","0","1","bn","0","0.00015","valid","1","0","64","0","1000000","50000000","1","1","500000","1000","1","1000","0.01","2","0","0","","0","0","1000","1","0","standard","0","1","3","0.5","0","6.706348060655526","6.706348060655526","7.139302102176372","6.7232835378263704","1.2154416096592229","0.25477008875487805","421.0047846889952","421.0047846889952","421.0047846889952","0.44386824437249905","0.44386824437249905","1140","270","90","1.3523557000721975","1.3523557000721975","0.0833364058294871","0.0833364058294871","279.64552917340933","597.8337320574162","597.8337320574162","873","527","325","140.68436578392036","0.07738995934063568","0","0.22932461395263673","38.51196172248804","38.51196172248804","85","27","9","21.481239182633328","38.51196172248804","38.51196172248804","85","27","9","21.481239182633328","0.31954920920729635","100000","0.22224968051724137","0.4848568403802812","0.054306077781133354","0","0.11817022413015366"
