"Name","ID","Name","State","Notes","User","Tags","Created","Runtime","Sweep","agent.eps_eval","agent.eps_final","agent.eps_init","algo.amortization_decay_constant","algo.amortization_loss_weight","algo.batch_size","algo.clip_grad_norm","algo.discount","algo.double_dqn","algo.eps_steps","algo.learning_rate","algo.min_steps_learn","algo.model_nce_weight","algo.model_rl_weight","algo.n_step_return","algo.nce_loss_weight","algo.pri_alpha","algo.pri_beta_steps","algo.prioritized_replay","algo.replay_ratio","algo.replay_size","algo.reward_loss_weight","algo.target_update_interval","algo.target_update_tau","alternating","amortization_decay_constant","amortization_loss_weight","async_sample","aug_prob","augmentation","batch_b","batch_size","batch_t","beluga","buffered_nce","c1","classifier","control","cosine_nce","debug","debug_cuda_idx","der","detach_model","dirichlet_alpha","distributional","dueling","dynamics_blocks","encoder","env.episodic_lives","env.game","env.grayscale","env.imagesize","env.num_img_obs","env.stack_actions","eps_steps","eval_augmentation","eval_env.episodic_lives","eval_env.game","eval_env.grayscale","eval_env.horizon","eval_env.imagesize","eval_env.num_img_obs","eval_env.stack_actions","eval_imagesize","eval_simulations","fasteval","film","final_eval_only","frame_dropout","game","global_local_nce","global_nce","gpu_per_run","grad_scale_factor","grayscale","hard_neg_factor","hyperthread_offset","imagesize","jumps","keep_last_frame","latent_size","learn_model","local_nce","max_grad_norm","model.dueling","model.framestack","model_nce_weight","model_rl_weight","momentum_encoder","n_cpu_core","n_gpu","n_socket","n_step","n_steps","nce","nce_loss_decay_steps","nce_loss_weight","nce_loss_weight_final","nce_type","no_rl_augmentation","no_search_control","noisy_nets","norm_type","num_simulations","optim.eps","padding","q_dirichlet","replay_ratio","reward_loss_weight","run_slot","runner.log_interval_steps","runner.n_steps","sample_gpu_per_run","sampler.batch_B","sampler.batch_T","sampler.eval_max_steps","sampler.eval_max_trajectories","sampler.eval_n_envs","sampler.max_decorrelation_steps","search_epsilon","seed","set_affinity","shared_encoder","stack_actions","tag","target_augmentation","target_encoder_sn","target_update_interval","target_update_tau","time_contrastive","transition_model","use_all_targets","virtual_loss_c","virtual_threads","visit_temp","AmortizationLoss","CumCompletedTrajs","CumEvalTime","CumReplayRatio","CumSteps","CumTime (s)","CumTrainTime","CumUpdates","DiscountedReturn","DiscountedReturnAverage","DiscountedReturnMax","DiscountedReturnMedian","DiscountedReturnMin","DiscountedReturnStd","GameScore","GameScoreAverage","GameScoreBest","GameScoreDERNormalized","GameScoreDERNormalizedBest","GameScoreMax","GameScoreMedian","GameScoreMin","GameScoreNatureNormalized","GameScoreNatureNormalizedBest","GameScoreNormalized","GameScoreNormalizedBest","GameScoreStd","Iteration","Length","LengthAverage","LengthMax","LengthMedian","LengthMin","LengthStd","ModelNCELoss","NCEAcc","NCELoss","NonzeroRewards","NonzeroRewardsAverage","NonzeroRewardsMax","NonzeroRewardsMedian","NonzeroRewardsMin","NonzeroRewardsStd","ReplayRatio","Return","ReturnAverage","ReturnMax","ReturnMedian","ReturnMin","ReturnStd","RewardLoss","StepsInEval","StepsPerSecond","TrajsInEval","UpdatesPerSecond","cum_steps","gradNorm","gradNormAverage","gradNormMax","gradNormMedian","gradNormMin","gradNormStd","loss","lossAverage","lossMax","lossMedian","lossMin","lossStd","modelGradNorm","modelLoss","modelRLLoss","tdAbsErr","tdAbsErrAverage","tdAbsErrMax","tdAbsErrMedian","tdAbsErrMin","tdAbsErrStd"
"super-yogurt-25937","38xlcbva","super-yogurt-25937","finished","-","ankeshanand","","2020-06-13T00:07:26.000Z","13813","","0.001","0","0","","","64","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""none""]","1","64","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","1","1","4","nature","true","boxing","1","84","","0","50000","0","false","boxing","1","27000","84","","0","84","0","1","0","0","0","boxing","1","0","","0.5","1","0","","84","0","1","256","true","0","10","true","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","444","","0","0","","0","0","1","1","1","standard","0","1","3","0.5","0","","","","","","","","1.3520878570235115","1.3520878570235115","4.636707289487328","1.2654636354073194","-1.4824255583329051","1.221842909263599","31.86","31.86","31.86","317.59999999999997","317.59999999999997","55","31","5","0.4429567642956764","0.4429567642956764","2.6466666666666665","2.6466666666666665","10.491920701187176","","1781.89","1781.89","1786","1782","1778","2.120825311052279","0","","","76.41","","","","","","","28.75","","","","","","","","","","","100000","1.6153733728408814","","","","","","0.7289611631274223","","","","","","0","","0","","","","","",""
"fiery-wood-25921","1kyd7anp","fiery-wood-25921","finished","-","ankeshanand","","2020-06-13T00:07:22.000Z","13914","","0.001","0","0","","","64","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""none""]","1","64","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","1","1","4","nature","true","krull","1","84","","0","50000","0","false","krull","1","27000","84","","0","84","0","1","0","0","0","krull","1","0","","0.5","1","0","","84","0","1","256","true","0","10","true","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","88","","0","0","","0","0","1","1","1","standard","0","1","3","0.5","0","","","","","","","","1.62007902348793","1.62007902348793","2.24196467038445","1.6284939296453769","1.169656717269283","0.21442922396996225","3652.92","3652.92","3652.92","1.6393458316713203","1.6393458316713203","5328","3751.5","2028","0.9310919800634344","0.9310919800634344","1.924983606557377","1.924983606557377","653.4382247772164","","1374.86","1374.86","2070","1449.5","915","176.57185619458156","0","","","316.13","","","","","","","316.13","","","","","","","","","","","100000","0.7719345436081291","","","","","","0.24329568784423172","","","","","","0","","0","","","","","",""
"exalted-sun-25947","22dhnhz3","exalted-sun-25947","finished","-","ankeshanand","","2020-06-13T00:07:30.000Z","10144","","0.001","0","0","","","64","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""none""]","1","64","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","1","1","4","nature","true","krull","1","84","","0","50000","0","false","krull","1","27000","84","","0","84","0","1","0","0","0","krull","1","0","","0.5","1","0","","84","0","1","256","true","0","10","true","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","123","","0","0","","0","0","1","1","1","standard","0","1","3","0.5","0","","","","","","","","1.7398864854007456","1.7398864854007456","2.5441518602415765","1.6880417821983702","1.15707650224373","0.295914456766495","3643.67","3643.67","5472.84","1.6319664938173115","3.0912165935380935","4839","3806.5","1827","0.9269007702763932","1.7557045763479835","1.9163185011709605","3.629826697892272","673.5314254732292","","1334.01","1334.01","1540","1430.5","966","153.87030220286172","0","","","313.02","","","","","","","313.02","","","","","","","","","","","100000","0.7022962086632848","","","","","","0.26329739426970483","","","","","","0","","0","","","","","",""
"misunderstood-cosmos-25953","2xykoxpr","misunderstood-cosmos-25953","finished","-","ankeshanand","","2020-06-13T00:07:33.000Z","10323","","0.001","0","0","","","64","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""none""]","1","64","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","1","1","4","nature","true","krull","1","84","","0","50000","0","false","krull","1","27000","84","","0","84","0","1","0","0","0","krull","1","0","","0.5","1","0","","84","0","1","256","true","0","10","true","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","444","","0","0","","0","0","1","1","1","standard","0","1","3","0.5","0","","","","","","","","1.541516430088523","1.541516430088523","2.879263284633332","1.4933616708322963","0.988311300422516","0.32796254239062805","3364.85","3364.85","4149.24","1.4095333067411249","2.035293179098524","4662","3678.5","1082","0.8005663797009515","1.1559764386044402","1.6551288056206088","2.38992037470726","891.5624865930598","","1258.46","1258.46","1509","1361","709","238.31846004873395","0","","","294.42","","","","","","","294.42","","","","","","","","","","","100000","0.5613105725750327","","","","","","0.16872988380640744","","","","","","0","","0","","","","","",""
"stellar-wood-25906","3hh2uxs9","stellar-wood-25906","finished","-","ankeshanand","","2020-06-13T00:07:19.000Z","11105","","0.001","0","0","","","64","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""none""]","1","64","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","1","1","4","nature","true","krull","1","84","","0","50000","0","false","krull","1","27000","84","","0","84","0","1","0","0","0","krull","1","0","","0.5","1","0","","84","0","1","256","true","0","10","true","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","101","","0","0","","0","0","1","1","1","standard","0","1","3","0.5","0","","","","","","","","1.600134375986758","1.600134375986758","2.2309147705082553","1.5659835240473297","0.3302773713924948","0.35139989457862575","3199.27","3199.27","3692.19","1.2774391703230954","1.670674112485042","8091","3460.5","60","0.7255414589941096","0.9488853647485276","1.5000187353629977","1.9617704918032788","1302.1661480394887","","1261.16","1261.16","3281","1352","266","397.3205688106267","0","","","279.01","","","","","","","279.01","","","","","","","","","","","100000","0.7753839908629656","","","","","","0.25511392318718135","","","","","","0","","0","","","","","",""
"driven-salad-25852","3mi2pvlc","driven-salad-25852","finished","-","ankeshanand","","2020-06-13T00:07:05.000Z","8924","","0.001","0","0","","","64","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""none""]","1","64","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","1","1","4","nature","true","road_runner","1","84","","0","50000","0","false","road_runner","1","27000","84","","0","84","0","1","0","0","0","road_runner","1","0","","0.5","1","0","","84","0","1","256","true","0","10","true","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","88","","0","0","","0","0","1","1","1","standard","0","1","3","0.5","0","","","","","","","","4.187027036268352","4.187027036268352","5.552987029050805","4.262493730293123","2.5864779218566554","0.5724843231235294","10226","10226","10226","1.0652865411691088","1.0652865411691088","15500","10600","6300","0.5598366720561234","0.5598366720561234","1.303950979766388","1.303950979766388","1812.8772710804224","","1515.85","1515.85","18004","841.5","755","2571.440827143413","0","","","49.15","","","","","","","49.15","","","","","","","","","","","100000","1.4710579515188933","","","","","","0.6957480131313205","","","","","","0","","0","","","","","",""
"celestial-disco-25896","x8sa5c7n","celestial-disco-25896","finished","-","ankeshanand","","2020-06-13T00:07:18.000Z","13309","","0.001","0","0","","","64","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""none""]","1","64","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","1","1","4","nature","true","krull","1","84","","0","50000","0","false","krull","1","27000","84","","0","84","0","1","0","0","0","krull","1","0","","0.5","1","0","","84","0","1","256","true","0","10","true","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","420","","0","0","","0","0","1","1","1","standard","0","1","3","0.5","0","","","","","","","","1.4364721555762858","1.4364721555762858","2.1328149684378928","1.3674183097424226","0.8853878258187803","0.2853664581394672","2987.85","2987.85","3246.13","1.1087754287993616","1.3148224970083766","5859","3069","1113","0.6297462618939736","0.7467739012233802","1.301967213114754","1.5439156908665106","789.6454441709899","","1341.46","1341.46","2394","1424","715","286.0663007066718","0","","","258.44","","","","","","","258.44","","","","","","","","","","","100000","0.7674373226076364","","","","","","0.31061175458319484","","","","","","0","","0","","","","","",""
"proud-monkey-25895","388jr8kr","proud-monkey-25895","finished","-","ankeshanand","","2020-06-13T00:07:18.000Z","13561","","0.001","0","0","","","64","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""none""]","1","64","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","1","1","4","nature","true","up_n_down","1","84","","0","50000","0","false","up_n_down","1","27000","84","","0","84","0","1","0","0","0","up_n_down","1","0","","0.5","1","0","","84","0","1","256","true","0","10","true","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","123","","0","0","","0","0","1","1","1","standard","0","1","3","0.5","0","","","","","","","","5.9921784229168065","5.9921784229168065","6.828683593172337","6.2401085332148085","4.469219287412789","0.6813437643391347","14718.6","14718.6","14718.6","6.051706484641638","6.051706484641638","46700","14660","4580","1.79047282457779","1.79047282457779","1.271098048352121","1.271098048352121","7612.334861263002","","4057.59","4057.59","14319","3849","1521","2114.309225704698","0","","","263.36","","","","","","","263.36","","","","","","","","","","","100000","2.236158898842335","","","","","","0.7574554088041187","","","","","","0","","0","","","","","",""
"tough-dawn-25963","sitg87df","tough-dawn-25963","finished","-","ankeshanand","","2020-06-13T00:07:38.000Z","11644","","0.001","0","0","","","64","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""none""]","1","64","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","1","1","4","nature","true","jamesbond","1","84","","0","50000","0","false","jamesbond","1","27000","84","","0","84","0","1","0","0","0","jamesbond","1","0","","0.5","1","0","","84","0","1","256","true","0","10","true","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","88","","0","0","","0","0","1","1","1","standard","0","1","3","0.5","0","","","","","","","","0.3713006322501862","0.3713006322501862","0.43402565118053255","0.38646603107963207","0.07338392963734318","0.060143581091251445","371.5","371.5","371.5","1.2564196625091708","1.2564196625091708","600","350","150","0.6253423406974621","0.6253423406974621","1.2509130752373996","1.2509130752373996","99.56279425568567","","1378.68","1378.68","1991","1423","734","292.00766702263144","0","","","7.43","","","","","","","7.43","","","","","","","","","","","100000","1.0044215337455271","","","","","","0.306080885797739","","","","","","0","","0","","","","","",""
"toasty-wildflower-25869","1vxopb3z","toasty-wildflower-25869","finished","-","ankeshanand","","2020-06-13T00:07:12.000Z","9503","","0.001","0","0","","","64","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""none""]","1","64","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","1","1","4","nature","true","road_runner","1","84","","0","50000","0","false","road_runner","1","27000","84","","0","84","0","1","0","0","0","road_runner","1","0","","0.5","1","0","","84","0","1","256","true","0","10","true","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","123","","0","0","","0","0","1","1","1","standard","0","1","3","0.5","0","","","","","","","","3.3520808340613386","3.3520808340613386","4.55067766431499","3.302008468521666","2.1718061325845905","0.6971355835522585","9779","9779","11362","1.0186681962767898","1.1837617979871722","17100","11300","1900","0.5353374804746376","0.6220985996547094","1.24688836407736","1.448969170868705","4253.828745965216","","923.95","923.95","10006","858.5","281","1097.5912752477582","0","","","39.68","","","","","","","39.68","","","","","","","","","","","100000","1.2695229061543942","","","","","","0.7490071641698479","","","","","","0","","0","","","","","",""
