"Name","ID","Name","State","Notes","User","Tags","Created","Runtime","Sweep","agent.eps_eval","agent.eps_final","agent.eps_init","algo.amortization_decay_constant","algo.amortization_loss_weight","algo.batch_size","algo.clip_grad_norm","algo.discount","algo.double_dqn","algo.eps_steps","algo.learning_rate","algo.min_steps_learn","algo.model_nce_weight","algo.model_rl_weight","algo.n_step_return","algo.nce_loss_weight","algo.pri_alpha","algo.pri_beta_steps","algo.prioritized_replay","algo.replay_ratio","algo.replay_size","algo.reward_loss_weight","algo.target_update_interval","algo.target_update_tau","alternating","amortization_decay_constant","amortization_loss_weight","async_sample","aug_prob","augmentation","batch_b","batch_size","batch_t","beluga","buffered_nce","byol","c1","classifier","control","cosine_nce","debug","debug_cuda_idx","der","detach_model","dirichlet_alpha","distributional","dqn_hidden_size","dueling","dynamics_blocks","encoder","env.episodic_lives","env.game","env.grayscale","env.imagesize","env.max_start_noops","env.num_img_obs","env.seed","env.stack_actions","eps_steps","eval_augmentation","eval_env.episodic_lives","eval_env.game","eval_env.grayscale","eval_env.horizon","eval_env.imagesize","eval_env.max_start_noops","eval_env.num_img_obs","eval_env.seed","eval_env.stack_actions","eval_imagesize","eval_simulations","fasteval","film","final_eval_only","frame_dropout","game","global_local_nce","global_nce","gpu_per_run","grad_scale_factor","grayscale","hard_neg_factor","hyperthread_offset","imagesize","jumps","keep_last_frame","latent_size","learn_model","local_nce","max_grad_norm","model.dueling","model.framestack","model_nce_weight","model_rl_weight","momentum_encoder","n_cpu_core","n_gpu","n_socket","n_step","n_steps","nce","nce_loss_decay_steps","nce_loss_weight","nce_loss_weight_final","nce_type","no_rl_augmentation","no_search_control","noisy_nets","norm_type","num_simulations","optim.eps","padding","prioritized_replay","q_dirichlet","replay_ratio","reward_loss_weight","run_slot","runner.log_interval_steps","runner.n_steps","sample_gpu_per_run","sampler.batch_B","sampler.batch_T","sampler.eval_max_steps","sampler.eval_max_trajectories","sampler.eval_n_envs","sampler.max_decorrelation_steps","search_epsilon","seed","set_affinity","shared_encoder","stack_actions","tag","target_augmentation","target_encoder_sn","target_update_interval","target_update_tau","time_contrastive","transition_model","use_all_targets","virtual_loss_c","virtual_threads","visit_temp","AmortizationLoss","CumCompletedTrajs","CumEvalTime","CumReplayRatio","CumSteps","CumTime (s)","CumTrainTime","CumUpdates","DiscountedReturn","DiscountedReturnAverage","DiscountedReturnMax","DiscountedReturnMedian","DiscountedReturnMin","DiscountedReturnStd","GameScore","GameScoreAverage","GameScoreBest","GameScoreDERNormalized","GameScoreDERNormalizedBest","GameScoreMax","GameScoreMedian","GameScoreMin","GameScoreNatureNormalized","GameScoreNatureNormalizedBest","GameScoreNormalized","GameScoreNormalizedBest","GameScoreStd","Iteration","Length","LengthAverage","LengthMax","LengthMedian","LengthMin","LengthStd","ModelNCELoss","NCEAcc","NCELoss","NonzeroRewards","NonzeroRewardsAverage","NonzeroRewardsMax","NonzeroRewardsMedian","NonzeroRewardsMin","NonzeroRewardsStd","ReplayRatio","Return","ReturnAverage","ReturnMax","ReturnMedian","ReturnMin","ReturnStd","RewardLoss","StepsInEval","StepsPerSecond","TrajsInEval","UpdatesPerSecond","cum_steps","gradNorm","gradNormAverage","gradNormMax","gradNormMedian","gradNormMin","gradNormStd","loss","lossAverage","lossMax","lossMedian","lossMin","lossStd","modelGradNorm","modelLoss","modelRLLoss","tdAbsErr","tdAbsErrAverage","tdAbsErrMax","tdAbsErrMedian","tdAbsErrMin","tdAbsErrStd"
"golden-elevator-28958","obxii883","golden-elevator-28958","finished","-","maxa-schwarzer","","2020-06-17T00:29:51.000Z","2","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1","1.25","none","false","1","","0","true","0","0.25","0","256","1","1","nature","true","kung_fu_master","1","84","","","88","0","50000","0","false","kung_fu_master","1","27000","84","","","88","0","84","0","1","0","1","0","kung_fu_master","0","0","","0.5","1","0","","84","1","1","256","true","1","10","true","","1","0","1","","1","","10","100000","1","50000","0","-1","custom","0","0","1","bn","0","0.00015","valid","1","0","64","0","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","88","","0","0","byol_aug_l","1","0","1","1","0","standard","0","1","3","0.5","0","","","","","","","","1.2868638089306856","1.2868638089306856","1.567038693728337","1.2853190645429675","0.8521898275256633","0.06697389519808443","28985","28985","28985","2.03913370623811","2.03913370623811","45200","30200","15800","1.2483540838276517","1.2483540838276517","1.2779942876971946","1.2779942876971946","5129.7636397791275","","3630.99","3630.99","5304","3724","2548","497.10084479912115","0.19309153780220076","","","144.94","","","","","","","144.94","","","","","","","","","","","100000","0.41718978131255136","","","","","","0.039885192739320334","","","","","","0.048459831978706645","","0","","","","","",""
"light-butterfly-28953","38caagou","light-butterfly-28953","finished","-","maxa-schwarzer","","2020-06-17T00:29:18.000Z","3","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1","1.25","none","false","1","","0","true","0","0.25","0","256","1","1","nature","true","kung_fu_master","1","84","","","101","0","50000","0","false","kung_fu_master","1","27000","84","","","101","0","84","0","1","0","1","0","kung_fu_master","0","0","","0.5","1","0","","84","1","1","256","true","1","10","true","","1","0","1","","1","","10","100000","1","50000","0","-1","custom","0","0","1","bn","0","0.00015","valid","1","0","64","0","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","101","","0","0","byol_aug_l","1","0","1","1","0","standard","0","1","3","0.5","0","","","","","","","","1.3719054582907222","1.3719054582907222","1.4751003894153258","1.413033452611447","0.612290218295018","0.16203209299264038","24680","24680","24680","1.7335458133393906","1.7335458133393906","43400","23200","10200","1.0612737109706016","1.0612737109706016","1.08647198569255","1.08647198569255","5190.067436941451","","3289.6","3289.6","5208","3174","1577","504.91789431550154","0.21300711533133873","","","123.22","","","","","","","123.22","","","","","","","","","","","100000","0.352903378269542","","","","","","0.05047736501401232","","","","","","0.03642770075394656","","0","","","","","",""
"usual-pine-28924","ervnh034","usual-pine-28924","finished","-","maxa-schwarzer","","2020-06-17T00:26:04.000Z","2","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1","1.25","none","false","1","","0","true","0","0.25","0","256","1","1","nature","true","pong","1","84","","","444","0","50000","0","false","pong","1","27000","84","","","444","0","84","0","1","0","1","0","pong","0","0","","0.5","1","0","","84","1","1","256","true","1","10","true","","1","0","1","","1","","10","100000","1","50000","0","-1","custom","0","0","1","bn","0","0.00015","valid","1","0","64","0","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","444","","0","0","byol_aug_l","1","0","1","1","0","standard","0","1","3","0.5","0","","","","","","","","0.4516860311733171","0.4516860311733171","0.4647721850056529","0.4647721669242023","-0.03430363828006542","0.055675309641577166","10.24","10.24","10.24","22.10000000000002","22.10000000000002","16","11","2","0.7813131313131314","0.7813131313131314","0.8764872521246458","0.8764872521246458","1.855370582929459","","3897.8","3897.8","27001","3573","3475","2336.8841434696756","0.12339324416723102","","","31.82","","","","","","","10.12","","","","","","","","","","","100000","0.2065197749065235","","","","","","0.011190158134145894","","","","","","0.05623871894194744","","0","","","","","",""
"stoic-waterfall-28914","fjgnui8y","stoic-waterfall-28914","finished","-","maxa-schwarzer","","2020-06-17T00:25:04.000Z","3","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1","1.25","none","false","1","","0","true","0","0.25","0","256","1","1","nature","true","bank_heist","1","84","","","444","0","50000","0","false","bank_heist","1","27000","84","","","444","0","84","0","1","0","1","0","bank_heist","0","0","","0.5","1","0","","84","1","1","256","true","1","10","true","","1","0","1","","1","","10","100000","1","50000","0","-1","custom","0","0","1","bn","0","0.00015","valid","1","0","64","0","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","444","","0","0","byol_aug_l","1","0","1","1","0","standard","0","1","3","0.5","0","","","","","","","","4.453161728456388","4.453161728456388","4.565157408060152","4.524186449164982","2.9370070227921605","0.2655526596748333","651.9","651.9","651.9","17.328804347826086","17.328804347826086","790","700","70","1.5347773766546329","1.5347773766546329","0.8630396535390444","0.8630396535390444","105.68533483885076","","1802.17","1802.17","2011","1846.5","1418","164.8481759074088","0.1449541014602408","","","65.17","","","","","","","65.17","","","","","","","","","","","100000","0.29646600846592336","","","","","","0.01691136315833428","","","","","","0.053869173043640334","","0","","","","","",""
"dutiful-gorge-28949","89vkq3vs","dutiful-gorge-28949","finished","-","maxa-schwarzer","","2020-06-17T00:28:49.000Z","3","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1","1.25","none","false","1","","0","true","0","0.25","0","256","1","1","nature","true","kung_fu_master","1","84","","","444","0","50000","0","false","kung_fu_master","1","27000","84","","","444","0","84","0","1","0","1","0","kung_fu_master","0","0","","0.5","1","0","","84","1","1","256","true","1","10","true","","1","0","1","","1","","10","100000","1","50000","0","-1","custom","0","0","1","bn","0","0.00015","valid","1","0","64","0","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","444","","0","0","byol_aug_l","1","0","1","1","0","standard","0","1","3","0.5","0","","","","","","","","1.332463042594855","1.332463042594855","1.5077093763890683","1.3552501430137758","0.8321842479995574","0.08891225645929558","18234","18234","18234","1.2759802947272778","1.2759802947272778","34400","18200","9400","0.7811529018099646","0.7811529018099646","0.7997001485910543","0.7997001485910543","3667.948200288549","","2455.08","2455.08","4009","2468","1549","345.7555691525445","0.169381031522993","","","91.12","","","","","","","91.12","","","","","","","","","","","100000","0.3658409930524416","","","","","","0.04934703019521548","","","","","","0.037145024403277785","","0","","","","","",""
"earnest-snowball-28992","6xr5ggro","earnest-snowball-28992","finished","-","maxa-schwarzer","","2020-06-17T00:33:51.000Z","3","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1","1.25","none","false","1","","0","true","0","0.25","0","256","1","1","nature","true","kung_fu_master","1","84","","","88","0","50000","0","false","kung_fu_master","1","27000","84","","","88","0","84","0","1","0","1","0","kung_fu_master","0","1","","0.5","1","0","","84","1","1","256","true","0","10","true","","1","0","1","","1","","10","100000","1","50000","0","-1","custom","0","0","1","bn","0","0.00015","valid","1","0","64","0","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","88","","0","0","byol_aug_g","1","0","1","1","0","standard","1","1","3","0.5","0","","","","","","","","1.2898387879906426","1.2898387879906426","1.4354455861593045","1.3151159826036587","0.8110838187697009","0.08763188590799843","17254","17254","17254","1.2064155711405775","1.2064155711405775","33600","17600","6200","0.7385654998587663","0.7385654998587663","0.7561015757769889","0.7561015757769889","4322.185095527492","","2663.48","2663.48","3904","2772","1501","393.7599898415277","0.18502018915005028","","","86.25","","","","","","","86.25","","","","","","","","","","","100000","0.40925058982521295","","","","","","0.03922582579854061","","","","","","0.061390382632799445","","0","","","","","",""
"ancient-sunset-28961","6g56u2wy","ancient-sunset-28961","finished","-","maxa-schwarzer","","2020-06-17T00:30:11.000Z","3","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1","1.25","none","false","1","","0","true","0","0.25","0","256","1","1","nature","true","pong","1","84","","","444","0","50000","0","false","pong","1","27000","84","","","444","0","84","0","1","0","1","0","pong","0","1","","0.5","1","0","","84","1","1","256","true","0","10","true","","1","0","1","","1","","10","100000","1","50000","0","-1","custom","0","0","1","bn","0","0.00015","valid","1","0","64","0","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","444","","0","0","byol_aug_g","1","0","1","1","0","standard","1","1","3","0.5","0","","","","","","","","0.003266472860907643","0.003266472860907643","0.14649295856057398","8.130201451026069e-23","-0.13687597156418554","0.0306231180551534","5.8","5.8","5.8","18.92857142857145","18.92857142857145","18","3","1","0.6691919191919193","0.6691919191919193","0.7507082152974505","0.7507082152974505","3.797367509209505","","13020.93","13020.93","27001","10804","4598","6888.716960733689","0.15297278009634466","","","33.52","","","","","","","4.9","","","","","","","","","","","100000","0.2322112631793134","","","","","","0.010886152408501947","","","","","","0.08568251623585821","","0","","","","","",""
"proud-haze-28966","f4pezx4z","proud-haze-28966","finished","-","maxa-schwarzer","","2020-06-17T00:30:45.000Z","3","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1","1.25","none","false","1","","0","true","0","0.25","0","256","1","1","nature","true","pong","1","84","","","123","0","50000","0","false","pong","1","27000","84","","","123","0","84","0","1","0","1","0","pong","0","1","","0.5","1","0","","84","1","1","256","true","0","10","true","","1","0","1","","1","","10","100000","1","50000","0","-1","custom","0","0","1","bn","0","0.00015","valid","1","0","64","0","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","123","","0","0","byol_aug_g","1","0","1","1","0","standard","1","1","3","0.5","0","","","","","","","","-0.11700472498481836","-0.11700472498481836","-0.11015628404707412","-0.11428010596061622","-0.2693342840878091","0.017060217611183915","2.25","2.25","2.25","16.39285714285716","16.39285714285716","8","3","-11","0.5795454545454546","0.5795454545454546","0.6501416430594901","0.6501416430594901","3.0931375656443088","","4017.33","4017.33","4444","4008","3647","124.32457962929132","0.15420573615226896","","","38.49","","","","","","","2.25","","","","","","","","","","","100000","0.297348420639243","","","","","","0.010280594331771135","","","","","","0.07922375711528584","","0","","","","","",""
"grateful-fog-28991","j14bj4yx","grateful-fog-28991","finished","-","maxa-schwarzer","","2020-06-17T00:33:45.000Z","2","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1","1.25","none","false","1","","0","true","0","0.25","0","256","1","1","nature","true","kung_fu_master","1","84","","","101","0","50000","0","false","kung_fu_master","1","27000","84","","","101","0","84","0","1","0","1","0","kung_fu_master","0","1","","0.5","1","0","","84","1","1","256","true","0","10","true","","1","0","1","","1","","10","100000","1","50000","0","-1","custom","0","0","1","bn","0","0.00015","valid","1","0","64","0","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","101","","0","0","byol_aug_g","1","0","1","1","0","standard","1","1","3","0.5","0","","","","","","","","0.150704049057926","0.150704049057926","1.099443348984387","0.12459106833006071","0.0845049352359962","0.12545805172191266","13079","13079","13079","0.9100556517788694","0.9100556517788694","22500","14300","2100","0.5571344762401408","0.5571344762401408","0.5703627579211489","0.5703627579211489","3124.045294165883","","1880.22","1880.22","2558","1958","1040","257.20340510965246","0.1968726966366172","","","67.05","","","","","","","67.05","","","","","","","","","","","100000","0.38155356051782147","","","","","","0.048483558221306886","","","","","","0.0494540464063175","","0","","","","","",""
"revived-dream-28993","50y8822m","revived-dream-28993","finished","-","maxa-schwarzer","","2020-06-17T00:33:57.000Z","3","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1","1.25","none","false","1","","0","true","0","0.25","0","256","1","1","nature","true","kung_fu_master","1","84","","","123","0","50000","0","false","kung_fu_master","1","27000","84","","","123","0","84","0","1","0","1","0","kung_fu_master","0","1","","0.5","1","0","","84","1","1","256","true","0","10","true","","1","0","1","","1","","10","100000","1","50000","0","-1","custom","0","0","1","bn","0","0.00015","valid","1","0","64","0","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","123","","0","0","byol_aug_g","1","0","1","1","0","standard","1","1","3","0.5","0","","","","","","","","1.4235599092799254","1.4235599092799254","1.4677775771372104","1.4359134252863393","1.211044287820012","0.042041396567764594","12794","12794","12794","0.8898250944092677","0.8898250944092677","21600","11700","8200","0.5447493644482106","0.5447493644482106","0.557683581133385","0.557683581133385","2773.7635083041955","","3254.85","3254.85","5219","3471","1987","606.7397691762096","0.18342841756795533","","","95.23","","","","","","","95.23","","","","","","","","","","","100000","0.3637893639682792","","","","","","0.04314502549500903","","","","","","0.05146426809761906","","0","","","","","",""
