"Name","ID","Name","State","Notes","User","Tags","Created","Runtime","Sweep","agent.eps_eval","agent.eps_final","agent.eps_init","algo.amortization_decay_constant","algo.amortization_loss_weight","algo.batch_size","algo.clip_grad_norm","algo.discount","algo.double_dqn","algo.eps_steps","algo.learning_rate","algo.min_steps_learn","algo.model_nce_weight","algo.model_rl_weight","algo.n_step_return","algo.nce_loss_weight","algo.pri_alpha","algo.pri_beta_steps","algo.prioritized_replay","algo.replay_ratio","algo.replay_size","algo.reward_loss_weight","algo.target_update_interval","algo.target_update_tau","alternating","amortization_decay_constant","amortization_loss_weight","async_sample","aug_prob","augmentation","batch_b","batch_size","batch_t","beluga","buffered_nce","byol","byol_tau","c1","classifier","control","cosine_nce","debug","debug_cuda_idx","der","detach_model","dirichlet_alpha","distributional","dqn_hidden_size","dueling","dynamics_blocks","encoder","env.episodic_lives","env.game","env.grayscale","env.imagesize","env.max_start_noops","env.num_img_obs","env.seed","env.stack_actions","eps_steps","eval_augmentation","eval_env.episodic_lives","eval_env.game","eval_env.grayscale","eval_env.horizon","eval_env.imagesize","eval_env.max_start_noops","eval_env.num_img_obs","eval_env.seed","eval_env.stack_actions","eval_imagesize","eval_simulations","fasteval","film","final_eval_only","frame_dropout","game","global_local_nce","global_nce","gpu_per_run","grad_scale_factor","grayscale","hard_neg_factor","hyperthread_offset","imagesize","init","jumps","keep_last_frame","latent_size","learn_model","local_nce","max_grad_norm","model.dueling","model.framestack","model_nce_weight","model_rl_weight","momentum_encoder","n_cpu_core","n_gpu","n_socket","n_step","n_steps","nce","nce_loss_decay_steps","nce_loss_weight","nce_loss_weight_final","nce_type","no_rl_augmentation","no_search_control","noisy_eps","noisy_nets","norm_type","num_simulations","optim.eps","padding","prioritized_replay","q_dirichlet","replay_ratio","reward_loss_weight","run_slot","runner.log_interval_steps","runner.n_steps","sample_gpu_per_run","sampler.batch_B","sampler.batch_T","sampler.eval_max_steps","sampler.eval_max_trajectories","sampler.eval_n_envs","sampler.max_decorrelation_steps","search_epsilon","seed","set_affinity","shared_encoder","stack_actions","tag","target_augmentation","target_encoder_sn","target_update_interval","target_update_tau","time_contrastive","transition_model","use_all_targets","virtual_loss_c","virtual_threads","visit_temp","wandb_dir","AmortizationLoss","CumCompletedTrajs","CumEvalTime","CumReplayRatio","CumSteps","CumTime (s)","CumTrainTime","CumUpdates","DiscountedReturn","DiscountedReturnAverage","DiscountedReturnMax","DiscountedReturnMedian","DiscountedReturnMin","DiscountedReturnStd","GameScore","GameScoreAverage","GameScoreBest","GameScoreDERNormalized","GameScoreDERNormalizedBest","GameScoreMax","GameScoreMedian","GameScoreMin","GameScoreNatureNormalized","GameScoreNatureNormalizedBest","GameScoreNormalized","GameScoreNormalizedBest","GameScoreStd","Iteration","Length","LengthAverage","LengthMax","LengthMedian","LengthMin","LengthStd","ModelNCELoss","NCEAcc","NCELoss","NonzeroRewards","NonzeroRewardsAverage","NonzeroRewardsMax","NonzeroRewardsMedian","NonzeroRewardsMin","NonzeroRewardsStd","ReplayRatio","Return","ReturnAverage","ReturnMax","ReturnMedian","ReturnMin","ReturnStd","RewardLoss","StepsInEval","StepsPerSecond","TrajsInEval","UpdatesPerSecond","cum_steps","gradNorm","gradNormAverage","gradNormMax","gradNormMedian","gradNormMin","gradNormStd","loss","lossAverage","lossMax","lossMedian","lossMin","lossStd","modelGradNorm","modelLoss","modelRLLoss","tdAbsErr","tdAbsErrAverage","tdAbsErrMax","tdAbsErrMedian","tdAbsErrMin","tdAbsErrStd"
"floral-pyramid-34961","0s7sqpu1","floral-pyramid-34961","finished","-","maxa-schwarzer","","2020-06-24T18:37:59.000Z","3","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","32","1000000","","1000","1","","0","0","false","1","[""none""]","1","32","1","false","0","1","0.01","1.25","bilinear","false","1","","0","true","0","0.25","1","256","1","1","nature","true","krull","1","84","","","88","0","50000","0","false","krull","1","27000","84","","","88","0","84","0","1","0","1","0","krull","0","1","","0.5","1","0","","84","pytorch","1","1","256","true","0","10","true","","1","0","0","","1","","10","100000","1","50000","0","-1","custom","0","0","0","1","bn","0","0.00015","valid","1","0","32","0","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","88","","1","0","byol_base_shared","0","0","1000","1","0","standard","0","1","3","0.5","./wandb_ablations","0","","","","","","","","0.0028186069554046343","0.0028186069554046343","0.28186069554046345","0","0","0.028044785107689502","0.3","0.3","1538.74","-1.2745911447945752","-0.047275628240925405","30","0","0","-0.7239238785681922","-0.026850928862709556","-1.4966744730679158","-0.05551288056206089","2.98496231131986","","27001","27001","27001","27001","27001","0","0.0004200886699167313","","","0.01","","","","","","","0.01","","","","","","","","","","","100000","0.20467918833866716","","","","","","0.7322483567029238","","","","","","0.01118924513227539","","0","","","","","",""
"ancient-thunder-33856","1og26f2e","ancient-thunder-33856","finished","-","ankeshanand","","2020-06-22T00:16:54.000Z","9610","","0.001","0","0","","","32","10","0.99","true","5000","0.0001","2000","","","10","","0.5","100000","true","32","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","1","false","0","0","0.01","1.25","bilinear","false","0","","0","true","1","0.25","1","256","1","2","nature","true","chopper_command","1","84","","","88","0","5000","0","false","chopper_command","1","27000","84","","","88","0","84","0","0","0","1","0","chopper_command","0","0","","0.5","1","0","","84","pytorch","0","1","256","true","0","10","true","","1","1","0","","1","","10","100000","0","50000","1","-1","custom","0","0","","1","in","0","0.00015","valid","1","0","32","1","","1000000","50000000","","1","1","28000","100","1","1000","0.01","88","","0","0","","0","0","2000","1","0","standard","0","1","3","0.5","","0","","","","","","","","3.3208172854273985","3.3208172854273985","3.3208172854273985","3.3208172854273985","3.3208172854273985","0","800","800","800","-0.2165354330708663","-0.2165354330708663","800","800","800","-0.0018720217835262083","-0.0018720217835262083","-0.0016725459189879577","-0.0016725459189879577","0","","27001","27001","27001","27001","27001","0","0","","","6","","","","","","","6","","","","","","","","","","","100000","0.0618269025247544","","","","","","0.34834015856236217","","","","","","0","","0","","","","","",""
"valiant-dawn-33730","2i8gmwtg","valiant-dawn-33730","finished","-","ankeshanand","","2020-06-22T00:12:57.000Z","10060","","0.001","0","0","","","32","10","0.99","true","5000","0.0001","2000","","","10","","0.5","100000","true","32","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","1","false","0","0","0.01","1.25","bilinear","false","0","","0","true","1","0.25","1","256","1","2","nature","true","pong","1","84","","","88","0","5000","0","false","pong","1","27000","84","","","88","0","84","0","0","0","1","0","pong","0","0","","0.5","1","0","","84","pytorch","0","1","256","true","0","10","true","","1","1","0","","1","","10","100000","0","50000","1","-1","custom","0","0","","1","in","0","0.00015","valid","1","0","32","1","","1000000","50000000","","1","1","28000","100","1","1000","0.01","88","","0","0","","0","0","2000","1","0","standard","0","1","3","0.5","","0","","","","","","","","-1.416039172344531","-1.416039172344531","-1.416039172344531","-1.416039172344531","-1.416039172344531","0","-1","-1","-1","14.071428571428584","14.071428571428584","-1","-1","-1","0.4974747474747475","0.4974747474747475","0.5580736543909348","0.5580736543909348","0","","27001","27001","27001","27001","27001","0","0","","","12","","","","","","","-10","","","","","","","","","","","100000","0.09197073944099247","","","","","","0.3708980181097984","","","","","","0","","0","","","","","",""
"denim-river-33780","2vk7dd31","denim-river-33780","finished","-","ankeshanand","","2020-06-22T00:13:08.000Z","9999","","0.001","0","0","","","32","10","0.99","true","5000","0.0001","2000","","","10","","0.5","100000","true","32","1000000","","1000","1","","0","0","false","1","[""none""]","1","32","1","false","0","0","0.01","1.25","bilinear","false","0","","0","true","1","0.25","1","256","1","2","nature","true","breakout","1","84","","","88","0","5000","0","false","breakout","1","27000","84","","","88","0","84","0","0","0","1","0","breakout","0","0","","0.5","1","0","","84","pytorch","0","1","256","true","0","10","true","","1","1","0","","1","","10","100000","0","50000","1","-1","custom","0","0","","1","in","0","0.00015","valid","1","0","32","1","","1000000","50000000","","1","1","28000","100","1","1000","0.01","88","","0","0","","0","0","1000","1","0","standard","0","1","3","0.5","","0","","","","","","","","0.7323033696543974","0.7323033696543974","0.7323033696543974","0.7323033696543974","0.7323033696543974","0","1","1","1.23","-3.5000000000000004","-2.3500000000000005","1","1","1","-0.0017521902377972463","-0.001176470588235294","-0.024305555555555552","-0.016319444444444442","0","","27001","27001","27001","27001","27001","0","0","","","1","","","","","","","1","","","","","","","","","","","100000","0.24984069688133895","","","","","","0.3750548971444369","","","","","","0","","0","","","","","",""
"olive-plant-33886","2vlgc6pf","olive-plant-33886","finished","-","ankeshanand","","2020-06-22T01:19:35.000Z","9024","","0.001","0","0","","","32","10","0.99","true","5000","0.0001","2000","","","10","","0.5","100000","true","32","1000000","","1000","1","","0","0","false","1","[""none""]","1","32","1","false","0","0","0.01","1.25","bilinear","false","0","","0","true","1","0.25","1","256","1","2","nature","true","chopper_command","1","84","","","88","0","5000","0","false","chopper_command","1","27000","84","","","88","0","84","0","0","0","1","0","chopper_command","0","0","","0.5","1","0","","84","pytorch","0","1","256","true","0","10","true","","1","1","0","","1","","10","100000","0","50000","1","-1","custom","0","0","","1","in","0","0.00015","valid","1","0","32","1","","1000000","50000000","","1","1","28000","100","1","1000","0.01","88","","0","0","","0","0","1000","1","0","standard","0","1","3","0.5","","0","","","","","","","","2.8233406789875195","2.8233406789875195","2.8233406789875195","2.8233406789875195","2.8233406789875195","0","1500","1500","1500","13.562992125984264","13.562992125984264","1500","1500","1500","0.1172566371681416","0.1172566371681416","0.10476219438024573","0.10476219438024573","0","","27001","27001","27001","27001","27001","0","0","","","11","","","","","","","11","","","","","","","","","","","100000","0.13678395575564356","","","","","","0.38509388337135314","","","","","","0","","0","","","","","",""
"dashing-planet-33806","3ii2teui","dashing-planet-33806","finished","-","ankeshanand","","2020-06-22T00:13:17.000Z","9973","","0.001","0","0","","","32","10","0.99","true","5000","0.0001","2000","","","10","","0.5","100000","true","32","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","1","false","0","0","0.01","1.25","bilinear","false","0","","0","true","1","0.25","1","256","1","2","nature","true","breakout","1","84","","","444","0","5000","0","false","breakout","1","27000","84","","","444","0","84","0","0","0","1","0","breakout","0","0","","0.5","1","0","","84","pytorch","0","1","256","true","0","10","true","","1","1","0","","1","","10","100000","0","50000","1","-1","custom","0","0","","1","in","0","0.00015","valid","1","0","32","1","","1000000","50000000","","1","1","28000","100","1","1000","0.01","444","","0","0","","0","0","2000","1","0","standard","0","1","3","0.5","","0","","","","","","","","0.7177305325982748","0.7177305325982748","0.7177305325982748","0.7177305325982748","0.7177305325982748","0","7","7","7","26.500000000000004","26.500000000000004","7","7","7","0.013266583229036295","0.013266583229036295","0.18402777777777776","0.18402777777777776","0","","27001","27001","27001","27001","27001","0","0","","","7","","","","","","","7","","","","","","","","","","","100000","0.20127299715578556","","","","","","0.4078538954734802","","","","","","0","","0","","","","","",""
"absurd-plant-34662","eci0y48a","absurd-plant-34662","finished","-","maxa-schwarzer","","2020-06-23T21:41:13.000Z","3","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","32","1000000","","1000","1","","0","0","false","1","[""none""]","1","32","1","false","0","0","0.01","1.25","bilinear","false","0","","0","true","0","0.25","1","256","1","1","nature","true","chopper_command","1","84","","","120","0","50000","0","false","chopper_command","1","27000","84","","","120","0","84","0","1","0","1","0","chopper_command","0","0","","0.5","1","0","","84","pytorch","0","1","256","true","0","10","true","","0","0","0","","1","","10","100000","0","50000","0","-1","custom","0","0","0","1","bn","0","0.00015","valid","1","0","32","0","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","120","","0","0","byol_base_control","0","0","1000","1","0","standard","0","1","3","0.5","","0","","","","","","","","0.713731895639814","0.713731895639814","1.1220613810126316","1.0271311515176789","0.07786448720191189","0.4037624939798596","271","271","845","-10.62992125984253","0.6692913385826778","600","300","100","-0.0918992511912866","0.005786249149081007","-0.08210679965940883","0.005169687385962778","115.14773119779652","","27001","27001","27001","27001","27001","0","0","","","2.26","","","","","","","2.26","","","","","","","","","","","100000","0.05098372824774123","","","","","","0.19213345366939905","","","","","","0","","0","","","","","",""
"earnest-cloud-34931","g8m62tej","earnest-cloud-34931","finished","-","maxa-schwarzer","","2020-06-24T18:31:05.000Z","3","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","32","1000000","","1000","1","","0","0","false","1","[""none""]","1","32","1","false","0","1","0.01","1.25","bilinear","false","1","","0","true","0","0.25","1","256","1","1","nature","true","chopper_command","1","84","","","120","0","50000","0","false","chopper_command","1","27000","84","","","120","0","84","0","1","0","1","0","chopper_command","0","1","","0.5","1","0","","84","pytorch","1","1","256","true","0","10","true","","1","0","0","","1","","10","100000","1","50000","0","-1","custom","0","0","0","1","bn","0","0.00015","valid","1","0","32","0","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","120","","1","0","byol_base_shared","0","0","1000","1","0","standard","0","1","3","0.5","./wandb_ablations","0","","","","","","","","1.0652848401750843","1.0652848401750843","1.104544787267368","1.0651800466301156","1.0295079214232117","0.026335880698138935","498","498","838","-6.161417322834652","0.5314960629921265","500","500","400","-0.05326752893124575","0.004594962559564329","-0.04759153387665734","0.0041053399829704415","14","","27001","27001","27001","27001","27001","0","0.0006102659917523852","","","3","","","","","","","3","","","","","","","","","","","100000","0.7205300303280353","","","","","","0.10206737698242067","","","","","","0.009830706202425064","","0","","","","","",""
"solar-dust-33711","ou6z7swl","solar-dust-33711","finished","-","ankeshanand","","2020-06-22T00:12:53.000Z","5844","","0.001","0","0","","","32","10","0.99","true","5000","0.0001","2000","","","10","","0.5","100000","true","32","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","1","false","0","0","0.01","1.25","bilinear","false","0","","0","true","1","0.25","1","256","1","2","nature","true","chopper_command","1","84","","","444","0","5000","0","false","chopper_command","1","27000","84","","","444","0","84","0","0","0","1","0","chopper_command","0","0","","0.5","1","0","","84","pytorch","0","1","256","true","0","10","true","","1","1","0","","1","","10","100000","0","50000","1","-1","custom","0","0","","1","in","0","0.00015","valid","1","0","32","1","","1000000","50000000","","1","1","28000","100","1","1000","0.01","444","","0","0","","0","0","2000","1","0","standard","0","1","3","0.5","","0","","","","","","","","2.0959245169677776","2.0959245169677776","2.0959245169677776","2.0959245169677776","2.0959245169677776","0","800","800","1300","-0.2165354330708663","9.625984251968513","800","800","800","-0.0018720217835262083","0.08321987746766508","-0.0016725459189879577","0.07435226858046466","0","","27001","27001","27001","27001","27001","0","0","","","6","","","","","","","6","","","","","","","","","","","100000","0.07735439865384251","","","","","","0.2790536489777267","","","","","","0","","0","","","","","",""
"volcanic-frog-34411","pck75sou","volcanic-frog-34411","finished","-","maxa-schwarzer","","2020-06-23T21:15:07.000Z","3","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""none""]","1","32","1","false","0","0","0.01","1.25","bilinear","false","0","","0","true","0","0.25","0","256","1","1","nature","true","chopper_command","1","84","","","420","0","50000","0","false","chopper_command","1","27000","84","","","420","0","84","0","1","0","1","0","chopper_command","0","0","","0.5","1","0","","84","pytorch","0","1","256","true","0","10","true","","1","0","0","","1","","10","100000","0","50000","0","-1","custom","0","0","0","1","bn","0","0.00015","valid","1","0","64","0","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","420","","0","0","hybrid_control","0","0","1","1","0","standard","0","1","3","0.5","","0","","","","","","","","1.0457886090405253","1.0457886090405253","1.4243004145777338","1.1196196533581892","0.334376856889913","0.2531567926100715","236","236","825","-11.318897637795288","0.2755905511811026","500","200","100","-0.09785568413886998","0.002382573179033356","-0.08742853667437052","0.0021286948059846735","155.2546295606028","","27001","27001","27001","27001","27001","0","0","","","1.85","","","","","","","1.85","","","","","","","","","","","100000","0.00545652843885473","","","","","","0.00009380138672243988","","","","","","0","","0","","","","","",""
