"Name","ID","Name","State","Notes","User","Tags","Created","Runtime","Sweep","agent.eps_eval","agent.eps_final","agent.eps_init","algo.amortization_decay_constant","algo.amortization_loss_weight","algo.batch_size","algo.clip_grad_norm","algo.discount","algo.double_dqn","algo.eps_steps","algo.learning_rate","algo.min_steps_learn","algo.model_nce_weight","algo.model_rl_weight","algo.n_step_return","algo.nce_loss_weight","algo.pri_alpha","algo.pri_beta_steps","algo.prioritized_replay","algo.replay_ratio","algo.replay_size","algo.reward_loss_weight","algo.target_update_interval","algo.target_update_tau","alternating","amortization_decay_constant","amortization_loss_weight","async_sample","aug_prob","augmentation","batch_b","batch_size","batch_t","beluga","buffered_nce","byol","c1","classifier","control","cosine_nce","debug","debug_cuda_idx","der","detach_model","dirichlet_alpha","distributional","dqn_hidden_size","dueling","dynamics_blocks","encoder","env.episodic_lives","env.game","env.grayscale","env.imagesize","env.max_start_noops","env.num_img_obs","env.seed","env.stack_actions","eps_steps","eval_augmentation","eval_env.episodic_lives","eval_env.game","eval_env.grayscale","eval_env.horizon","eval_env.imagesize","eval_env.max_start_noops","eval_env.num_img_obs","eval_env.seed","eval_env.stack_actions","eval_imagesize","eval_simulations","fasteval","film","final_eval_only","frame_dropout","game","global_local_nce","global_nce","gpu_per_run","grad_scale_factor","grayscale","hard_neg_factor","hyperthread_offset","imagesize","jumps","keep_last_frame","latent_size","learn_model","local_nce","max_grad_norm","model.dueling","model.framestack","model_nce_weight","model_rl_weight","momentum_encoder","n_cpu_core","n_gpu","n_socket","n_step","n_steps","nce","nce_loss_decay_steps","nce_loss_weight","nce_loss_weight_final","nce_type","no_rl_augmentation","no_search_control","noisy_nets","norm_type","num_simulations","optim.eps","padding","prioritized_replay","q_dirichlet","replay_ratio","reward_loss_weight","run_slot","runner.log_interval_steps","runner.n_steps","sample_gpu_per_run","sampler.batch_B","sampler.batch_T","sampler.eval_max_steps","sampler.eval_max_trajectories","sampler.eval_n_envs","sampler.max_decorrelation_steps","search_epsilon","seed","set_affinity","shared_encoder","stack_actions","tag","target_augmentation","target_encoder_sn","target_update_interval","target_update_tau","time_contrastive","transition_model","use_all_targets","virtual_loss_c","virtual_threads","visit_temp","AmortizationLoss","CumCompletedTrajs","CumEvalTime","CumReplayRatio","CumSteps","CumTime (s)","CumTrainTime","CumUpdates","DiscountedReturn","DiscountedReturnAverage","DiscountedReturnMax","DiscountedReturnMedian","DiscountedReturnMin","DiscountedReturnStd","GameScore","GameScoreAverage","GameScoreBest","GameScoreDERNormalized","GameScoreDERNormalizedBest","GameScoreMax","GameScoreMedian","GameScoreMin","GameScoreNatureNormalized","GameScoreNatureNormalizedBest","GameScoreNormalized","GameScoreNormalizedBest","GameScoreStd","Iteration","Length","LengthAverage","LengthMax","LengthMedian","LengthMin","LengthStd","ModelNCELoss","NCEAcc","NCELoss","NonzeroRewards","NonzeroRewardsAverage","NonzeroRewardsMax","NonzeroRewardsMedian","NonzeroRewardsMin","NonzeroRewardsStd","ReplayRatio","Return","ReturnAverage","ReturnMax","ReturnMedian","ReturnMin","ReturnStd","RewardLoss","StepsInEval","StepsPerSecond","TrajsInEval","UpdatesPerSecond","cum_steps","gradNorm","gradNormAverage","gradNormMax","gradNormMedian","gradNormMin","gradNormStd","loss","lossAverage","lossMax","lossMedian","lossMin","lossStd","modelGradNorm","modelLoss","modelRLLoss","tdAbsErr","tdAbsErrAverage","tdAbsErrMax","tdAbsErrMedian","tdAbsErrMin","tdAbsErrStd"
"lively-glitter-29681","h5d5f99t","lively-glitter-29681","finished","-","maxa-schwarzer","","2020-06-17T16:52:39.000Z","2","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1","1.25","none","false","1","","0","true","0","0.25","0","256","1","1","nature","true","krull","1","84","","","101","0","50000","0","false","krull","1","27000","84","","","101","0","84","0","1","0","1","0","krull","0","0","","0.5","1","0","","84","5","1","256","true","1","10","true","","1","0","1","","1","","10","100000","1","50000","0","-1","custom","0","0","1","bn","0","0.00015","valid","1","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","101","","0","0","byol_l_j5_aug_no_t0","1","0","1","1","0","standard","1","1","3","0.5","0","","","","","","","","2.5203938819697065","2.5203938819697065","2.708121107896102","2.62708323686541","2.082033503175344","0.14754901746412674","6167.55","6167.55","6167.55","3.64543278819306","3.64543278819306","6822","6291","4023","2.0704802899864068","2.0704802899864068","4.280608899297424","4.280608899297424","475.66461661553086","","1442.11","1442.11","1511","1458.5","1029","81.320710154302","0.2043537673806772","","","540.78","","","","","","","540.78","","","","","","","","","","","100000","5.538456588280946","","","","","","0.611070861278195","","","","","","0.372027687147772","","0","","","","","",""
"elated-mountain-29553","6vq77w0y","elated-mountain-29553","finished","-","maxa-schwarzer","","2020-06-17T16:41:57.000Z","2","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1","1.25","none","false","1","","0","true","0","0.25","0","256","1","1","nature","true","krull","1","84","","","101","0","50000","0","false","krull","1","27000","84","","","101","0","84","0","1","0","1","0","krull","0","0","","0.5","1","0","","84","5","1","256","true","1","10","true","","1","0","1","","1","","10","100000","1","50000","0.2","-1","custom","0","0","1","bn","0","0.00015","valid","1","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","101","","0","0","byol_l_j5_aug","1","0","1","1","0","standard","1","1","3","0.5","0","","","","","","","","2.0596968733096856","2.0596968733096856","2.583916671437275","2.180257113038674","1.3476723359830831","0.20756441660222144","5436.87","5436.87","5436.87","3.06252094136418","3.06252094136418","6039","5472","4233","1.7394064340734028","1.7394064340734028","3.5961311475409836","3.5961311475409836","269.8133671633042","","1431.9","1431.9","1511","1423","1233","47.48357610795548","0.06916271518210415","","","483.37","","","","","","","483.37","","","","","","","","","","","100000","4.86547563161999","","","","","","0.5916352030681447","","","","","","0.304635959411622","","0","","","","","",""
"ancient-snowflake-29552","3x8tyfwc","ancient-snowflake-29552","finished","-","maxa-schwarzer","","2020-06-17T16:41:52.000Z","3","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1","1.25","none","false","1","","0","true","0","0.25","0","256","1","1","nature","true","krull","1","84","","","420","0","50000","0","false","krull","1","27000","84","","","420","0","84","0","1","0","1","0","krull","0","0","","0.5","1","0","","84","5","1","256","true","1","10","true","","1","0","1","","1","","10","100000","1","50000","0.2","-1","custom","0","0","1","bn","0","0.00015","valid","1","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","420","","0","0","byol_l_j5_aug","1","0","1","1","0","standard","1","1","3","0.5","0","","","","","","","","1.9930682496605003","1.9930682496605003","2.174767540189572","2.022631593958221","1.731390728587723","0.0712742649791872","5157.48","5157.48","5157.48","2.8396330275229356","2.8396330275229356","5841","5427","2979","1.612813774354327","1.612813774354327","3.3344074941451987","3.3344074941451987","524.8259231402351","","1433.03","1433.03","1511","1472","1059","96.71871121970143","0.06674551698931028","","","447.18","","","","","","","447.18","","","","","","","","","","","100000","3.903884214028716","","","","","","0.49267349205696953","","","","","","0.3037591359911487","","0","","","","","",""
"driven-sound-29679","deq9yjos","driven-sound-29679","finished","-","maxa-schwarzer","","2020-06-17T16:52:29.000Z","3","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1","1.25","none","false","1","","0","true","0","0.25","0","256","1","1","nature","true","krull","1","84","","","420","0","50000","0","false","krull","1","27000","84","","","420","0","84","0","1","0","1","0","krull","0","0","","0.5","1","0","","84","5","1","256","true","1","10","true","","1","0","1","","1","","10","100000","1","50000","0","-1","custom","0","0","1","bn","0","0.00015","valid","1","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","420","","0","0","byol_l_j5_aug_no_t0","1","0","1","1","0","standard","1","1","3","0.5","0","","","","","","","","1.2808618610190936","1.2808618610190936","1.7689722326459207","1.2731234631588446","0.4661794720988354","0.22163438606754285","5074.53","5074.53","5074.53","2.773458316713203","2.773458316713203","14004","5220","1683","1.5752288173991842","1.5752288173991842","3.256702576112412","3.256702576112412","2185.183216368825","","3346.43","3346.43","8674","3387","985","1620.7676406875846","0.19863509606281296","","","443.72","","","","","","","443.72","","","","","","","","","","","100000","3.7173016930613665","","","","","","0.41862524117731953","","","","","","0.3231799694554415","","0","","","","","",""
"magic-frog-29690","iotq6fft","magic-frog-29690","finished","-","maxa-schwarzer","","2020-06-17T16:53:21.000Z","2","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1","1.25","none","false","1","","0","true","0","0.25","0","256","1","1","nature","true","road_runner","1","84","","","88","0","50000","0","false","road_runner","1","27000","84","","","88","0","84","0","1","0","1","0","road_runner","0","0","","0.5","1","0","","84","5","1","256","true","1","10","true","","1","0","1","","1","","10","100000","1","50000","0","-1","custom","0","0","1","bn","0","0.00015","valid","1","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","88","","0","0","byol_l_j5_aug_no_t0","1","0","1","1","0","standard","1","1","3","0.5","0","","","","","","","","7.921772268356977","7.921772268356977","10.207981989659867","7.932217076977157","5.794039354964399","0.4054631759609224","25009","25009","25009","2.607029253793607","2.607029253793607","34600","26600","17000","1.3700638513606094","1.3700638513606094","3.191102316971979","3.191102316971979","2895.102588855877","","889.82","889.82","998","884","863","18.885645342428727","0.1588744119947776","","","95.51","","","","","","","95.51","","","","","","","","","","","100000","1.3683267852969467","","","","","","0.15816189139722847","","","","","","0.3040458198779961","","0","","","","","",""
"fresh-fog-29513","hxxwxa7y","fresh-fog-29513","finished","-","maxa-schwarzer","","2020-06-17T16:39:02.000Z","3","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1","1.25","none","false","1","","0","true","0","0.25","0","256","1","1","nature","true","boxing","1","84","","","88","0","50000","0","false","boxing","1","27000","84","","","88","0","84","0","1","0","1","0","boxing","0","0","","0.5","1","0","","84","5","1","256","true","1","10","true","","1","0","1","","1","","10","100000","1","50000","0.2","-1","custom","0","0","1","bn","0","0.00015","valid","1","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","88","","0","0","byol_l_j5_aug","1","0","1","1","0","standard","1","1","3","0.5","0","","","","","","","","0.8122373339817983","0.8122373339817983","1.101324836502055","0.8278899620094253","-0.44677645063858307","0.15918553997292226","30.24","30.24","30.24","301.4","301.4","48","32","4","0.4203626220362621","0.4203626220362621","2.5116666666666663","2.5116666666666663","6.991594953942912","","1785","1785","1785","1785","1785","0","0.00019730931293529465","","","61.34","","","","","","","22.8","","","","","","","","","","","100000","0.226270768112503","","","","","","0.04739961220000987","","","","","","0.05572402077114675","","0","","","","","",""
"twilight-music-29688","0vy8qx5p","twilight-music-29688","finished","-","maxa-schwarzer","","2020-06-17T16:53:12.000Z","3","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1","1.25","none","false","1","","0","true","0","0.25","0","256","1","1","nature","true","road_runner","1","84","","","420","0","50000","0","false","road_runner","1","27000","84","","","420","0","84","0","1","0","1","0","road_runner","0","0","","0.5","1","0","","84","5","1","256","true","1","10","true","","1","0","1","","1","","10","100000","1","50000","0","-1","custom","0","0","1","bn","0","0.00015","valid","1","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","420","","0","0","byol_l_j5_aug_no_t0","1","0","1","1","0","standard","1","1","3","0.5","0","","","","","","","","3.7939551445718456","3.7939551445718456","3.9955466776099033","3.856588401516652","0.9742608637419362","0.30776772593011387","18622","18622","18622","1.940918808989936","1.940918808989936","21900","18800","6400","1.0200049327231373","1.0200049327231373","2.3757579625965404","2.3757579625965404","1638.449266837396","","1573.16","1573.16","9401","1393","541","1006.4366420197548","0.17268470766446553","","","69.55","","","","","","","69.55","","","","","","","","","","","100000","0.8600055286411196","","","","","","0.07037629330705386","","","","","","0.20825030853506177","","0","","","","","",""
"gentle-puddle-29645","6vnsn6z6","gentle-puddle-29645","finished","-","maxa-schwarzer","","2020-06-17T16:49:46.000Z","2","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1","1.25","none","false","1","","0","true","0","0.25","0","256","1","1","nature","true","boxing","1","84","","","101","0","50000","0","false","boxing","1","27000","84","","","101","0","84","0","1","0","1","0","boxing","0","0","","0.5","1","0","","84","5","1","256","true","1","10","true","","1","0","1","","1","","10","100000","1","50000","0","-1","custom","0","0","1","bn","0","0.00015","valid","1","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","101","","0","0","byol_l_j5_aug_no_t0","1","0","1","1","0","standard","1","1","3","0.5","0","","","","","","","","0.5817080407304612","0.5817080407304612","1.5188674819174484","0.5681420317535415","-0.5465835330149161","0.25213067829055347","28.13","28.13","28.13","280.29999999999995","280.29999999999995","52","26","-4","0.3909344490934449","0.3909344490934449","2.335833333333333","2.335833333333333","9.333439880344224","","1779","1779","1779","1779","1779","0","0.19669476346829903","","","80.59","","","","","","","25.59","","","","","","","","","","","100000","0.41937430694019423","","","","","","0.05835214957061253","","","","","","0.2633320314616431","","0","","","","","",""
"driven-energy-29691","2qrrkejg","driven-energy-29691","finished","-","maxa-schwarzer","","2020-06-17T16:53:25.000Z","2","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1","1.25","none","false","1","","0","true","0","0.25","0","256","1","1","nature","true","road_runner","1","84","","","101","0","50000","0","false","road_runner","1","27000","84","","","101","0","84","0","1","0","1","0","road_runner","0","0","","0.5","1","0","","84","5","1","256","true","1","10","true","","1","0","1","","1","","10","100000","1","50000","0","-1","custom","0","0","1","bn","0","0.00015","valid","1","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","101","","0","0","byol_l_j5_aug_no_t0","1","0","1","1","0","standard","1","1","3","0.5","0","","","","","","","","2.675876307952787","2.675876307952787","4.035986152829872","2.601671515723997","2.5171622557383864","0.23147187810978911","17448","17448","17448","1.818480471398029","1.818480471398029","24100","17700","11900","0.9556602997999508","0.9556602997999508","2.225888810876364","2.225888810876364","1711.7523185320945","","1223.09","1223.09","1318","1254","717","72.98946430821368","0.16443486955193803","","","64.62","","","","","","","64.62","","","","","","","","","","","100000","0.8797096822595224","","","","","","0.08047059214205364","","","","","","0.28640505537944844","","0","","","","","",""
"robust-haze-29682","dwv8f067","robust-haze-29682","finished","-","maxa-schwarzer","","2020-06-17T16:52:44.000Z","2","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1","1.25","none","false","1","","0","true","0","0.25","0","256","1","1","nature","true","krull","1","84","","","444","0","50000","0","false","krull","1","27000","84","","","444","0","84","0","1","0","1","0","krull","0","0","","0.5","1","0","","84","5","1","256","true","1","10","true","","1","0","1","","1","","10","100000","1","50000","0","-1","custom","0","0","1","bn","0","0.00015","valid","1","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","444","","0","0","byol_l_j5_aug_no_t0","1","0","1","1","0","standard","1","1","3","0.5","0","","","","","","","","1.7037397417401043","1.7037397417401043","2.2183344975585886","1.766206032454996","1.2889297956481305","0.13914217549888658","3902.55","3902.55","3902.55","1.838492221779019","1.838492221779019","4698","3820.5","2478","1.0442002718622565","1.0442002718622565","2.1588290398126464","2.1588290398126464","563.4014976018435","","1564.65","1564.65","1875","1481.5","1095","227.34358908929013","0.19112537459563464","","","331.17","","","","","","","331.17","","","","","","","","","","","100000","3.0473466376509517","","","","","","0.3030600307586603","","","","","","0.3288886832626304","","0","","","","","",""
