"Name","ID","Name","State","Notes","User","Tags","Created","Runtime","Sweep","agent.eps_eval","agent.eps_final","agent.eps_init","algo.amortization_decay_constant","algo.amortization_loss_weight","algo.batch_size","algo.clip_grad_norm","algo.discount","algo.double_dqn","algo.eps_steps","algo.learning_rate","algo.min_steps_learn","algo.model_nce_weight","algo.model_rl_weight","algo.n_step_return","algo.nce_loss_weight","algo.pri_alpha","algo.pri_beta_steps","algo.prioritized_replay","algo.replay_ratio","algo.replay_size","algo.reward_loss_weight","algo.target_update_interval","algo.target_update_tau","alternating","amortization_decay_constant","amortization_loss_weight","async_sample","aug_prob","augmentation","batch_b","batch_size","batch_t","beluga","buffered_nce","c1","classifier","control","cosine_nce","debug","debug_cuda_idx","der","detach_model","dirichlet_alpha","distributional","dqn_hidden_size","dueling","dynamics_blocks","encoder","env.episodic_lives","env.game","env.grayscale","env.imagesize","env.max_start_noops","env.num_img_obs","env.seed","env.stack_actions","eps_steps","eval_augmentation","eval_env.episodic_lives","eval_env.game","eval_env.grayscale","eval_env.horizon","eval_env.imagesize","eval_env.max_start_noops","eval_env.num_img_obs","eval_env.seed","eval_env.stack_actions","eval_imagesize","eval_simulations","fasteval","film","final_eval_only","frame_dropout","game","global_local_nce","global_nce","gpu_per_run","grad_scale_factor","grayscale","hard_neg_factor","hyperthread_offset","imagesize","jumps","keep_last_frame","latent_size","learn_model","local_nce","max_grad_norm","model.dueling","model.framestack","model_nce_weight","model_rl_weight","momentum_encoder","n_cpu_core","n_gpu","n_socket","n_step","n_steps","nce","nce_loss_decay_steps","nce_loss_weight","nce_loss_weight_final","nce_type","no_rl_augmentation","no_search_control","noisy_nets","norm_type","num_simulations","optim.eps","padding","prioritized_replay","q_dirichlet","replay_ratio","reward_loss_weight","run_slot","runner.log_interval_steps","runner.n_steps","sample_gpu_per_run","sampler.batch_B","sampler.batch_T","sampler.eval_max_steps","sampler.eval_max_trajectories","sampler.eval_n_envs","sampler.max_decorrelation_steps","search_epsilon","seed","set_affinity","shared_encoder","stack_actions","tag","target_augmentation","target_encoder_sn","target_update_interval","target_update_tau","time_contrastive","transition_model","use_all_targets","virtual_loss_c","virtual_threads","visit_temp","AmortizationLoss","CumCompletedTrajs","CumEvalTime","CumReplayRatio","CumSteps","CumTime (s)","CumTrainTime","CumUpdates","DiscountedReturn","DiscountedReturnAverage","DiscountedReturnMax","DiscountedReturnMedian","DiscountedReturnMin","DiscountedReturnStd","GameScore","GameScoreAverage","GameScoreBest","GameScoreDERNormalized","GameScoreDERNormalizedBest","GameScoreMax","GameScoreMedian","GameScoreMin","GameScoreNatureNormalized","GameScoreNatureNormalizedBest","GameScoreNormalized","GameScoreNormalizedBest","GameScoreStd","Iteration","Length","LengthAverage","LengthMax","LengthMedian","LengthMin","LengthStd","ModelNCELoss","NCEAcc","NCELoss","NonzeroRewards","NonzeroRewardsAverage","NonzeroRewardsMax","NonzeroRewardsMedian","NonzeroRewardsMin","NonzeroRewardsStd","ReplayRatio","Return","ReturnAverage","ReturnMax","ReturnMedian","ReturnMin","ReturnStd","RewardLoss","StepsInEval","StepsPerSecond","TrajsInEval","UpdatesPerSecond","cum_steps","gradNorm","gradNormAverage","gradNormMax","gradNormMedian","gradNormMin","gradNormStd","loss","lossAverage","lossMax","lossMedian","lossMin","lossStd","modelGradNorm","modelLoss","modelRLLoss","tdAbsErr","tdAbsErrAverage","tdAbsErrMax","tdAbsErrMedian","tdAbsErrMin","tdAbsErrStd"
"gallant-feather-28210","xpm2lm34","gallant-feather-28210","finished","-","ankeshanand","","2020-06-16T01:56:50.000Z","4957","","","","","","","32","10","0.99","true","2500","0.0001","1600","","","10","","0.5","100000","true","32","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","256","1","4","nature","true","krull","1","84","0","","444","0","2500","0","false","krull","1","27000","84","0","","444","0","84","0","1","0","1","0","krull","0","0","","0.5","1","0","","84","0","1","256","true","0","10","true","","1","1","0","","1","","10","100000","0","50000","1","-1","custom","0","0","0","in","0","0.00015","valid","0","0","32","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","444","","0","0","","1","0","1","1","0","standard","0","1","3","0.5","0","","","","","","","","1.7578544332893342","1.7578544332893342","1.949349518357767","1.861471259928155","1.1934257137874855","0.16918900291285446","4369.08","4369.08","4369.08","2.2106741124850418","2.2106741124850418","5445","4536","2904","1.2555867693701857","1.2555867693701857","2.5958594847775176","2.5958594847775176","454.3936548852769","","1486.46","1486.46","2356","1474","1120","137.81142332912754","0","","","381.36","","","","","","","381.36","","","","","","","","","","","100000","10.533409436655043","","","","","","1.2511220008283854","","","","","","0","","0","","","","","",""
"jumping-forest-28182","1anxcno8","jumping-forest-28182","finished","-","ankeshanand","","2020-06-16T01:56:01.000Z","4449","","","","","","","32","10","0.99","true","2500","0.0001","1600","","","10","","0.5","100000","true","32","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","256","1","4","nature","true","road_runner","1","84","0","","444","0","2500","0","false","road_runner","1","27000","84","0","","444","0","84","0","1","0","1","0","road_runner","0","0","","0.5","1","0","","84","0","1","256","true","0","10","true","","1","1","0","","1","","10","100000","0","50000","1","-1","custom","0","0","0","in","0","0.00015","valid","0","0","32","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","444","","0","0","","1","0","1","1","0","standard","0","1","3","0.5","0","","","","","","","","4.430761945692509","4.430761945692509","6.232463577535228","4.395850101622494","3.520771186151323","0.35876825975203647","19944","19944","19944","2.078792303279971","2.078792303279971","26300","21700","5700","1.0924611548052945","1.0924611548052945","2.5445203293546945","2.5445203293546945","3493.4888006117894","","1678.36","1678.36","27001","910","455","4462.606315865203","0","","","80.69","","","","","","","80.69","","","","","","","","","","","100000","3.231964091205597","","","","","","0.39141017535179856","","","","","","0","","0","","","","","",""
"stoic-plant-28159","g0s3jugf","stoic-plant-28159","finished","-","ankeshanand","","2020-06-16T01:55:04.000Z","4541","","","","","","","32","10","0.99","true","2500","0.0001","1600","","","10","","0.5","100000","true","32","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","256","1","4","nature","true","krull","1","84","0","","101","0","2500","0","false","krull","1","27000","84","0","","101","0","84","0","1","0","1","0","krull","0","0","","0.5","1","0","","84","0","1","256","true","0","10","true","","1","1","0","","1","","10","100000","0","50000","1","-1","custom","0","0","0","in","0","0.00015","valid","0","0","32","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","101","","0","0","","1","0","1","1","0","standard","0","1","3","0.5","0","","","","","","","","1.5680454438151543","1.5680454438151543","1.9148818785023856","1.528792661180723","1.2165139398745155","0.11627572686835314","4184.46","4184.46","4184.46","2.0633905065815714","2.0633905065815714","5094","4329","2277","1.1719347530584503","1.1719347530584503","2.422913348946136","2.422913348946136","371.82271097930527","","1420.87","1420.87","1504","1457","975","82.30451445698468","0","","","364.46","","","","","","","364.46","","","","","","","","","","","100000","12.779072222042084","","","","","","1.3964847968280316","","","","","","0","","0","","","","","",""
"twilight-totem-28249","1iiyo1n2","twilight-totem-28249","finished","-","ankeshanand","","2020-06-16T01:57:33.000Z","5892","","","","","","","32","10","0.99","true","2500","0.0001","1600","","","10","","0.5","100000","true","32","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","256","1","4","nature","true","boxing","1","84","0","","88","0","2500","0","false","boxing","1","27000","84","0","","88","0","84","0","1","0","1","0","boxing","0","0","","0.5","1","0","","84","0","1","256","true","0","10","true","","1","1","0","","1","","10","100000","0","50000","1","-1","custom","0","0","0","in","0","0.00015","valid","0","0","32","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","88","","0","0","","1","0","1","1","0","standard","0","1","3","0.5","0","","","","","","","","-0.7237436158239349","-0.7237436158239349","3.7527998008541834","-0.94794961177051","-1.3399182056621144","0.8044682097400252","29.16","29.16","29.16","290.59999999999997","290.59999999999997","49","26","9","0.405299860529986","0.405299860529986","2.4216666666666664","2.4216666666666664","8.312304133030745","","1785","1785","1785","1785","1785","0","0","","","76.16","","","","","","","25.36","","","","","","","","","","","100000","0.9219363381564616","","","","","","0.16875824507400394","","","","","","0","","0","","","","","",""
"earthy-sky-28256","3i6iv2d0","earthy-sky-28256","finished","-","ankeshanand","","2020-06-16T01:57:56.000Z","5617","","","","","","","32","10","0.99","true","2500","0.0001","1600","","","10","","0.5","100000","true","32","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","256","1","4","nature","true","krull","1","84","0","","123","0","2500","0","false","krull","1","27000","84","0","","123","0","84","0","1","0","1","0","krull","0","0","","0.5","1","0","","84","0","1","256","true","0","10","true","","1","1","0","","1","","10","100000","0","50000","1","-1","custom","0","0","0","in","0","0.00015","valid","0","0","32","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","123","","0","0","","1","0","1","1","0","standard","0","1","3","0.5","0","","","","","","","","1.424130042839248","1.424130042839248","1.9475649952759004","1.420058556669857","1.18232627712629","0.0741066220608581","4046.85","4046.85","4046.85","1.9536098923015557","1.9536098923015557","4896","3996","2808","1.1095831445400997","1.1095831445400997","2.2940046838407495","2.2940046838407495","363.1795527008645","","1464.15","1464.15","1994","1479","1080","98.94719551356673","0","","","352.62","","","","","","","352.62","","","","","","","","","","","100000","11.156736776065827","","","","","","1.340632549551129","","","","","","0","","0","","","","","",""
"wild-firebrand-28276","2u4oxy6t","wild-firebrand-28276","finished","-","ankeshanand","","2020-06-16T01:59:41.000Z","4084","","","","","","","32","10","0.99","true","2500","0.0001","1600","","","10","","0.5","100000","true","32","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","256","1","4","nature","true","boxing","1","84","0","","420","0","2500","0","false","boxing","1","27000","84","0","","420","0","84","0","1","0","1","0","boxing","0","0","","0.5","1","0","","84","0","1","256","true","0","10","true","","1","1","0","","1","","10","100000","0","50000","1","-1","custom","0","0","0","in","0","0.00015","valid","0","0","32","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","420","","0","0","","1","0","1","1","0","standard","0","1","3","0.5","0","","","","","","","","0.3522143987986528","0.3522143987986528","1.9520654265220896","0.35922172552085424","-0.2155916599766572","0.23386732682788036","24.56","24.56","24.56","244.59999999999997","244.59999999999997","53","25","-2","0.34114365411436537","0.34114365411436537","2.038333333333333","2.038333333333333","9.532386899407724","","1785","1785","1785","1785","1785","0","0","","","68.99","","","","","","","21.89","","","","","","","","","","","100000","0.7998252829134465","","","","","","0.16678390628434717","","","","","","0","","0","","","","","",""
"morning-universe-28213","1v0gz4m8","morning-universe-28213","finished","-","ankeshanand","","2020-06-16T01:56:54.000Z","4832","","","","","","","32","10","0.99","true","2500","0.0001","1600","","","10","","0.5","100000","true","32","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","256","1","4","nature","true","road_runner","1","84","0","","123","0","2500","0","false","road_runner","1","27000","84","0","","123","0","84","0","1","0","1","0","road_runner","0","0","","0.5","1","0","","84","0","1","256","true","0","10","true","","1","1","0","","1","","10","100000","0","50000","1","-1","custom","0","0","0","in","0","0.00015","valid","0","0","32","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","123","","0","0","","1","0","1","1","0","standard","0","1","3","0.5","0","","","","","","","","6.023990975828883","6.023990975828883","8.027858920871386","5.949518050613745","5.460166776272583","0.3554662229977726","13345","13345","13345","1.3905720394222243","1.3905720394222243","16000","14800","5200","0.7307829327779453","0.7307829327779453","1.702112721005936","1.702112721005936","2419.3129189916713","","855.98","855.98","955","898","454","100.80634702239736","0","","","64.04","","","","","","","64.04","","","","","","","","","","","100000","2.866301703095436","","","","","","0.3259755828499794","","","","","","0","","0","","","","","",""
"earthy-field-28155","1abrhih3","earthy-field-28155","finished","-","ankeshanand","","2020-06-16T01:55:02.000Z","4736","","","","","","","32","10","0.99","true","2500","0.0001","1600","","","10","","0.5","100000","true","32","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","256","1","4","nature","true","road_runner","1","84","0","","420","0","2500","0","false","road_runner","1","27000","84","0","","420","0","84","0","1","0","1","0","road_runner","0","0","","0.5","1","0","","84","0","1","256","true","0","10","true","","1","1","0","","1","","10","100000","0","50000","1","-1","custom","0","0","0","in","0","0.00015","valid","0","0","32","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","420","","0","0","","1","0","1","1","0","standard","0","1","3","0.5","0","","","","","","","","6.0135845296745085","6.0135845296745085","6.730018158193032","6.127595599338793","2.808358496409676","0.4685559586062841","12657","12657","12657","1.3188194190957918","1.3188194190957918","19400","12000","8600","0.693075004795703","0.693075004795703","1.6142848024510117","1.6142848024510117","1784.5030120456508","","698.15","698.15","1025","653","511","111.07280270165153","0","","","52.4","","","","","","","52.4","","","","","","","","","","","100000","1.786451819831133","","","","","","0.16879614762999118","","","","","","0","","0","","","","","",""
"dry-deluge-28266","th2fh1nb","dry-deluge-28266","finished","-","ankeshanand","","2020-06-16T01:58:28.000Z","5698","","","","","","","32","10","0.99","true","2500","0.0001","1600","","","10","","0.5","100000","true","32","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","256","1","4","nature","true","jamesbond","1","84","0","","101","0","2500","0","false","jamesbond","1","27000","84","0","","101","0","84","0","1","0","1","0","jamesbond","0","0","","0.5","1","0","","84","0","1","256","true","0","10","true","","1","1","0","","1","","10","100000","0","50000","1","-1","custom","0","0","0","in","0","0.00015","valid","0","0","32","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","101","","0","0","","1","0","1","1","0","standard","0","1","3","0.5","0","","","","","","","","0.360795242944165","0.360795242944165","0.3871316352375009","0.37672429249252465","0.04709653395183305","0.05871688529019753","461.5","461.5","461.5","1.5865737344093909","1.5865737344093909","600","500","150","0.7896658754792769","0.7896658754792769","1.5796201607012417","1.5796201607012417","85.68984770671494","","1567.2","1567.2","1999","1645","686","248.49430576977016","0","","","9.23","","","","","","","9.23","","","","","","","","","","","100000","0.08796016888041049","","","","","","0.0055793364988872786","","","","","","0","","0","","","","","",""
"prime-rain-28265","gkrs1etv","prime-rain-28265","finished","-","ankeshanand","","2020-06-16T01:58:26.000Z","5838","","","","","","","32","10","0.99","true","2500","0.0001","1600","","","10","","0.5","100000","true","32","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","256","1","4","nature","true","krull","1","84","0","","88","0","2500","0","false","krull","1","27000","84","0","","88","0","84","0","1","0","1","0","krull","0","0","","0.5","1","0","","84","0","1","256","true","0","10","true","","1","1","0","","1","","10","100000","0","50000","1","-1","custom","0","0","0","in","0","0.00015","valid","0","0","32","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","88","","0","0","","1","0","1","1","0","standard","0","1","3","0.5","0","","","","","","","","1.1650508058557707","1.1650508058557707","1.5512285017819325","1.1069335622208285","0.8649909357176612","0.12343132904317058","3123.45","3123.45","3123.45","1.216952532907858","1.216952532907858","3969","3420","1899","0.6911871318531942","0.6911871318531942","1.4289929742388756","1.4289929742388756","592.3714607406405","","1318.11","1318.11","1489","1437.5","945","169.24803662081283","0","","","277.21","","","","","","","277.21","","","","","","","","","","","100000","9.366955306577683","","","","","","1.2459028461813926","","","","","","0","","0","","","","","",""
