"Name","ID","Name","State","Notes","User","Tags","Created","Runtime","Sweep","agent.eps_eval","agent.eps_final","agent.eps_init","algo.amortization_decay_constant","algo.amortization_loss_weight","algo.batch_size","algo.clip_grad_norm","algo.discount","algo.double_dqn","algo.eps_steps","algo.learning_rate","algo.min_steps_learn","algo.model_nce_weight","algo.model_rl_weight","algo.n_step_return","algo.nce_loss_weight","algo.pri_alpha","algo.pri_beta_steps","algo.prioritized_replay","algo.replay_ratio","algo.replay_size","algo.reward_loss_weight","algo.target_update_interval","algo.target_update_tau","alternating","amortization_decay_constant","amortization_loss_weight","async_sample","aug_prob","augmentation","batch_b","batch_size","batch_t","beluga","buffered_nce","c1","classifier","control","cosine_nce","debug","debug_cuda_idx","der","detach_model","dirichlet_alpha","distributional","dqn_hidden_size","dueling","dynamics_blocks","encoder","env.episodic_lives","env.game","env.grayscale","env.imagesize","env.num_img_obs","env.stack_actions","eps_steps","eval_augmentation","eval_env.episodic_lives","eval_env.game","eval_env.grayscale","eval_env.horizon","eval_env.imagesize","eval_env.num_img_obs","eval_env.stack_actions","eval_imagesize","eval_simulations","fasteval","film","final_eval_only","frame_dropout","game","global_local_nce","global_nce","gpu_per_run","grad_scale_factor","grayscale","hard_neg_factor","hyperthread_offset","imagesize","jumps","keep_last_frame","latent_size","learn_model","local_nce","max_grad_norm","model.dueling","model.framestack","model_nce_weight","model_rl_weight","momentum_encoder","n_cpu_core","n_gpu","n_socket","n_step","n_steps","nce","nce_loss_decay_steps","nce_loss_weight","nce_loss_weight_final","nce_type","no_rl_augmentation","no_search_control","noisy_nets","norm_type","num_simulations","optim.eps","padding","prioritized_replay","q_dirichlet","replay_ratio","reward_loss_weight","run_slot","runner.log_interval_steps","runner.n_steps","sample_gpu_per_run","sampler.batch_B","sampler.batch_T","sampler.eval_max_steps","sampler.eval_max_trajectories","sampler.eval_n_envs","sampler.max_decorrelation_steps","search_epsilon","seed","set_affinity","shared_encoder","stack_actions","tag","target_augmentation","target_encoder_sn","target_update_interval","target_update_tau","time_contrastive","transition_model","use_all_targets","virtual_loss_c","virtual_threads","visit_temp","AmortizationLoss","CumCompletedTrajs","CumEvalTime","CumReplayRatio","CumSteps","CumTime (s)","CumTrainTime","CumUpdates","DiscountedReturn","DiscountedReturnAverage","DiscountedReturnMax","DiscountedReturnMedian","DiscountedReturnMin","DiscountedReturnStd","GameScore","GameScoreAverage","GameScoreBest","GameScoreDERNormalized","GameScoreDERNormalizedBest","GameScoreMax","GameScoreMedian","GameScoreMin","GameScoreNatureNormalized","GameScoreNatureNormalizedBest","GameScoreNormalized","GameScoreNormalizedBest","GameScoreStd","Iteration","Length","LengthAverage","LengthMax","LengthMedian","LengthMin","LengthStd","ModelNCELoss","NCEAcc","NCELoss","NonzeroRewards","NonzeroRewardsAverage","NonzeroRewardsMax","NonzeroRewardsMedian","NonzeroRewardsMin","NonzeroRewardsStd","ReplayRatio","Return","ReturnAverage","ReturnMax","ReturnMedian","ReturnMin","ReturnStd","RewardLoss","StepsInEval","StepsPerSecond","TrajsInEval","UpdatesPerSecond","cum_steps","gradNorm","gradNormAverage","gradNormMax","gradNormMedian","gradNormMin","gradNormStd","loss","lossAverage","lossMax","lossMedian","lossMin","lossStd","modelGradNorm","modelLoss","modelRLLoss","tdAbsErr","tdAbsErrAverage","tdAbsErrMax","tdAbsErrMedian","tdAbsErrMin","tdAbsErrStd"
"lively-fire-26254","2l2xfh2e","lively-fire-26254","finished","-","ankeshanand","","2020-06-13T07:22:50.000Z","5100","","","","","","","32","10","0.99","true","2500","0.0001","1600","","","10","","0.5","100000","true","32","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","512","1","4","nature","true","krull","1","84","","0","2500","0","false","krull","1","27000","84","","0","84","0","1","0","0","0","krull","0","0","","0.5","1","0","","84","0","1","256","true","0","10","true","","1","1","0","","1","","10","100000","0","50000","1","-1","custom","0","0","0","in","0","0.00015","valid","0","0","32","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","420","","0","0","","1","0","1","1","0","standard","0","1","3","0.5","0","","","","","","","","1.8802414264970193","1.8802414264970193","2.4890280324191565","1.9264882281525453","0.7924715778106051","0.3811308157952974","4893.08","4893.08","5173.43","2.628703629836458","2.8523573992820106","7884","5143.5","2232","1.493013140009062","1.6200407793384686","3.086725995316159","3.3493489461358315","1326.4721458063111","","1472.9","1472.9","3002","1457","1036","295.22372872111754","0","","","419.91","","","","","","","419.91","","","","","","","","","","","100000","14.530774485635757","","","","","","1.7401492438018322","","","","","","0","","0","","","","","",""
"ruby-dragon-26180","pdzclb0x","ruby-dragon-26180","finished","-","ankeshanand","","2020-06-13T07:19:35.000Z","4333","","","","","","","32","10","0.99","true","2500","0.0001","1600","","","10","","0.5","100000","true","32","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","512","1","4","nature","true","road_runner","1","84","","0","2500","0","false","road_runner","1","27000","84","","0","84","0","1","0","0","0","road_runner","0","0","","0.5","1","0","","84","0","1","256","true","0","10","true","","1","1","0","","1","","10","100000","0","50000","1","-1","custom","0","0","0","in","0","0.00015","valid","0","0","32","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","88","","0","0","","1","0","1","1","0","standard","0","1","3","0.5","0","","","","","","","","6.5948323112935725","6.5948323112935725","9.746756670537922","6.336071519982424","4.202683430908553","1.376132030419411","20437","20437","20437","2.130208061740627","2.130208061740627","25800","20350","15000","1.1194815159902445","1.1194815159902445","2.6074551605284992","2.6074551605284992","2367.0088719732335","","881.6","881.6","951","882","847","22.762688769123915","0","","","82.01","","","","","","","82.01","","","","","","","","","","","100000","2.8208445624828338","","","","","","0.3940397209968418","","","","","","0","","0","","","","","",""
"fragrant-waterfall-26226","i1p6ob12","fragrant-waterfall-26226","finished","-","ankeshanand","","2020-06-13T07:19:57.000Z","4384","","","","","","","32","10","0.99","true","2500","0.0001","1600","","","10","","0.5","100000","true","32","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","512","1","4","nature","true","road_runner","1","84","","0","2500","0","false","road_runner","1","27000","84","","0","84","0","1","0","0","0","road_runner","0","0","","0.5","1","0","","84","0","1","256","true","0","10","true","","1","1","0","","1","","10","100000","0","50000","1","-1","custom","0","0","0","in","0","0.00015","valid","0","0","32","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","420","","0","0","","1","0","1","1","0","standard","0","1","3","0.5","0","","","","","","","","6.618783983650942","6.618783983650942","10.642920165142632","6.1852321823266525","4.065173268165617","1.6510014459576412","19211","19211","19211","2.002346560984513","2.002346560984513","28500","19250","10200","1.0522868652544464","1.0522868652544464","2.450947852173358","2.450947852173358","3652.776888888781","","853.8","853.8","947","850.5","718","32.126313202731495","0","","","78.52","","","","","","","78.52","","","","","","","","","","","100000","2.36388131685853","","","","","","0.29645524101257326","","","","","","0","","0","","","","","",""
"lively-frost-26229","3l94f2nj","lively-frost-26229","finished","-","ankeshanand","","2020-06-13T07:19:57.000Z","5152","","","","","","","32","10","0.99","true","2500","0.0001","1600","","","10","","0.5","100000","true","32","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","512","1","4","nature","true","krull","1","84","","0","2500","0","false","krull","1","27000","84","","0","84","0","1","0","0","0","krull","0","0","","0.5","1","0","","84","0","1","256","true","0","10","true","","1","1","0","","1","","10","100000","0","50000","1","-1","custom","0","0","0","in","0","0.00015","valid","0","0","32","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","101","","0","0","","1","0","1","1","0","standard","0","1","3","0.5","0","","","","","","","","1.9560456536307984","1.9560456536307984","2.5259160746715597","2.000017588547828","1.1491455265929484","0.27282199756117487","4104","4104","4104","1.9992022337455129","1.9992022337455129","5447","4312.5","2169","1.135478024467603","1.135478024467603","2.3475409836065575","2.3475409836065575","843.7657020761154","","1337.55","1337.55","2041","1432.5","858","210.98376122346477","0","","","349.36","","","","","","","349.36","","","","","","","","","","","100000","11.440645150470734","","","","","","1.3884353792846202","","","","","","0","","0","","","","","",""
"zesty-wood-26251","3obf3ezr","zesty-wood-26251","finished","-","ankeshanand","","2020-06-13T07:22:13.000Z","5346","","","","","","","32","10","0.99","true","2500","0.0001","1600","","","10","","0.5","100000","true","32","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","512","1","4","nature","true","krull","1","84","","0","2500","0","false","krull","1","27000","84","","0","84","0","1","0","0","0","krull","0","0","","0.5","1","0","","84","0","1","256","true","0","10","true","","1","1","0","","1","","10","100000","0","50000","1","-1","custom","0","0","0","in","0","0.00015","valid","0","0","32","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","444","","0","0","","1","0","1","1","0","standard","0","1","3","0.5","0","","","","","","","","1.1944857139846428","1.1944857139846428","1.9552191868120936","1.2639953490547082","0.46377890446313447","0.32842892618166863","4068.47","4068.47","6037.55","1.970857598723574","3.541723175109693","10695","3410","1164","1.119379247847757","2.011576801087449","2.3142576112412176","4.158829039812646","1831.8986022976271","","2214.79","2214.79","5859","1757","980","1068.7386705364413","0","","","355.23","","","","","","","355.23","","","","","","","","","","","100000","12.915991459417343","","","","","","1.3833355571031571","","","","","","0","","0","","","","","",""
"lyric-tree-26162","3mwg6cof","lyric-tree-26162","finished","-","ankeshanand","","2020-06-13T07:19:30.000Z","4668","","","","","","","32","10","0.99","true","2500","0.0001","1600","","","10","","0.5","100000","true","32","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","512","1","4","nature","true","road_runner","1","84","","0","2500","0","false","road_runner","1","27000","84","","0","84","0","1","0","0","0","road_runner","0","0","","0.5","1","0","","84","0","1","256","true","0","10","true","","1","1","0","","1","","10","100000","0","50000","1","-1","custom","0","0","0","in","0","0.00015","valid","0","0","32","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","123","","0","0","","1","0","1","1","0","standard","0","1","3","0.5","0","","","","","","","","6.817367373955324","6.817367373955324","12.033428714953995","6.5325091349110185","4.567297703501506","1.6355917673070777","17818","17818","17818","1.8570683631433489","1.8570683631433489","29600","17000","5000","0.9759392726973776","0.9759392726973776","2.273121848471309","2.273121848471309","4338.649098509812","","852.15","852.15","966","893","366","122.36718310069904","0","","","71.68","","","","","","","71.68","","","","","","","","","","","100000","1.7612063962042332","","","","","","0.2396764413893223","","","","","","0","","0","","","","","",""
"volcanic-night-26167","163xecz8","volcanic-night-26167","finished","-","ankeshanand","","2020-06-13T07:19:32.000Z","5026","","","","","","","32","10","0.99","true","2500","0.0001","1600","","","10","","0.5","100000","true","32","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","512","1","4","nature","true","krull","1","84","","0","2500","0","false","krull","1","27000","84","","0","84","0","1","0","0","0","krull","0","0","","0.5","1","0","","84","0","1","256","true","0","10","true","","1","1","0","","1","","10","100000","0","50000","1","-1","custom","0","0","0","in","0","0.00015","valid","0","0","32","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","123","","0","0","","1","0","1","1","0","standard","0","1","3","0.5","0","","","","","","","","1.562049993416029","1.562049993416029","2.0861724628988823","1.539360921133079","0.24520920409447317","0.31574912020840507","3620.75","3620.75","3846.14","1.6136816912644596","1.7934902273633824","5319","3802.5","1212","0.9165156320797464","1.0186406887177164","1.894847775175644","2.105985948477751","861.9721036669342","","1378.39","1378.39","2580","1435.5","723","296.25326647988203","0","","","313.09","","","","","","","313.09","","","","","","","","","","","100000","10.56904808716774","","","","","","1.180895931071043","","","","","","0","","0","","","","","",""
"jumping-tree-26211","1oc28eyj","jumping-tree-26211","finished","-","ankeshanand","","2020-06-13T07:19:46.000Z","5182","","","","","","","32","10","0.99","true","2500","0.0001","1600","","","10","","0.5","100000","true","32","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","512","1","4","nature","true","krull","1","84","","0","2500","0","false","krull","1","27000","84","","0","84","0","1","0","0","0","krull","0","0","","0.5","1","0","","84","0","1","256","true","0","10","true","","1","1","0","","1","","10","100000","0","50000","1","-1","custom","0","0","0","in","0","0.00015","valid","0","0","32","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","88","","0","0","","1","0","1","1","0","standard","0","1","3","0.5","0","","","","","","","","1.405706623348474","1.405706623348474","1.9770226531111388","1.4428555604619429","0.520458157561241","0.337991159837955","3223.62","3223.62","3376.74","1.2968647786198644","1.4190187475069802","5307","3220.5","1479","0.7365745355686452","0.8059537834164022","1.5228290398126465","1.6662669789227165","887.8638159087237","","1443.54","1443.54","2110","1443","758","282.4362023537351","0","","","279.68","","","","","","","279.68","","","","","","","","","","","100000","10.54728947300911","","","","","","1.0898137051299217","","","","","","0","","0","","","","","",""
"desert-bush-26184","8gwak01i","desert-bush-26184","finished","-","ankeshanand","","2020-06-13T07:19:36.000Z","4618","","","","","","","32","10","0.99","true","2500","0.0001","1600","","","10","","0.5","100000","true","32","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","512","1","4","nature","true","road_runner","1","84","","0","2500","0","false","road_runner","1","27000","84","","0","84","0","1","0","0","0","road_runner","0","0","","0.5","1","0","","84","0","1","256","true","0","10","true","","1","1","0","","1","","10","100000","0","50000","1","-1","custom","0","0","0","in","0","0.00015","valid","0","0","32","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","444","","0","0","","1","0","1","1","0","standard","0","1","3","0.5","0","","","","","","","","5.332108197069342","5.332108197069342","8.344300807995788","4.9214107998844145","3.0790097207912543","1.4066103371825505","11746","11746","11746","1.2238097721228556","1.2238097721228556","19600","11400","2400","0.6431448850401469","0.6431448850401469","1.4979894044807558","1.4979894044807558","3531.8952419345624","","809.23","809.23","986","910","377","153.3692182284307","0","","","50.89","","","","","","","50.89","","","","","","","","","","","100000","1.9216106724500657","","","","","","0.23630231825709344","","","","","","0","","0","","","","","",""
"blooming-dew-26148","2lneluva","blooming-dew-26148","finished","-","ankeshanand","","2020-06-13T07:19:24.000Z","5706","","","","","","","32","10","0.99","true","2500","0.0001","1600","","","10","","0.5","100000","true","32","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","512","1","4","nature","true","boxing","1","84","","0","2500","0","false","boxing","1","27000","84","","0","84","0","1","0","0","0","boxing","0","0","","0.5","1","0","","84","0","1","256","true","0","10","true","","1","1","0","","1","","10","100000","0","50000","1","-1","custom","0","0","0","in","0","0.00015","valid","0","0","32","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","88","","0","0","","1","0","1","1","0","standard","0","1","3","0.5","0","","","","","","","","-0.1415144591866849","-0.1415144591866849","2.736558470635108","0.10071631881572526","-4.020941814057302","1.4455142359580124","15.33","15.33","19.52","152.29999999999998","194.19999999999996","38","16","-12","0.21241283124128313","0.27085076708507666","1.2691666666666668","1.6183333333333332","10.051920214565971","","1782","1782","1786","1782","1778","2.23606797749979","0","","","70.84","","","","","","","13.28","","","","","","","","","","","100000","0.8546178010672331","","","","","","0.1704008577957749","","","","","","0","","0","","","","","",""
