"Name","ID","Name","State","Notes","User","Tags","Created","Runtime","Sweep","agent.eps_eval","agent.eps_final","agent.eps_init","algo.amortization_decay_constant","algo.amortization_loss_weight","algo.batch_size","algo.clip_grad_norm","algo.discount","algo.double_dqn","algo.eps_steps","algo.learning_rate","algo.min_steps_learn","algo.model_nce_weight","algo.model_rl_weight","algo.n_step_return","algo.nce_loss_weight","algo.pri_alpha","algo.pri_beta_steps","algo.prioritized_replay","algo.replay_ratio","algo.replay_size","algo.reward_loss_weight","algo.target_update_interval","algo.target_update_tau","alternating","amortization_decay_constant","amortization_loss_weight","async_sample","aug_prob","augmentation","batch_b","batch_size","batch_t","beluga","buffered_nce","c1","classifier","control","cosine_nce","debug","debug_cuda_idx","der","detach_model","dirichlet_alpha","distributional","dueling","dynamics_blocks","encoder","env.episodic_lives","env.game","env.grayscale","env.imagesize","env.num_img_obs","env.stack_actions","eps_steps","eval_augmentation","eval_env.episodic_lives","eval_env.game","eval_env.grayscale","eval_env.horizon","eval_env.imagesize","eval_env.num_img_obs","eval_env.stack_actions","eval_imagesize","eval_simulations","fasteval","film","final_eval_only","frame_dropout","game","global_local_nce","global_nce","gpu_per_run","grad_scale_factor","grayscale","hard_neg_factor","hyperthread_offset","imagesize","jumps","keep_last_frame","latent_size","learn_model","local_nce","max_grad_norm","model.dueling","model.framestack","model_nce_weight","model_rl_weight","momentum_encoder","n_cpu_core","n_gpu","n_socket","n_step","n_steps","nce","nce_loss_decay_steps","nce_loss_weight","nce_loss_weight_final","nce_type","no_rl_augmentation","no_search_control","noisy_nets","norm_type","num_simulations","optim.eps","padding","q_dirichlet","replay_ratio","reward_loss_weight","run_slot","runner.log_interval_steps","runner.n_steps","sample_gpu_per_run","sampler.batch_B","sampler.batch_T","sampler.eval_max_steps","sampler.eval_max_trajectories","sampler.eval_n_envs","sampler.max_decorrelation_steps","search_epsilon","seed","set_affinity","shared_encoder","stack_actions","tag","target_augmentation","target_encoder_sn","target_update_interval","target_update_tau","time_contrastive","transition_model","use_all_targets","virtual_loss_c","virtual_threads","visit_temp","AmortizationLoss","CumCompletedTrajs","CumEvalTime","CumReplayRatio","CumSteps","CumTime (s)","CumTrainTime","CumUpdates","DiscountedReturn","DiscountedReturnAverage","DiscountedReturnMax","DiscountedReturnMedian","DiscountedReturnMin","DiscountedReturnStd","GameScore","GameScoreAverage","GameScoreBest","GameScoreDERNormalized","GameScoreDERNormalizedBest","GameScoreMax","GameScoreMedian","GameScoreMin","GameScoreNatureNormalized","GameScoreNatureNormalizedBest","GameScoreNormalized","GameScoreNormalizedBest","GameScoreStd","Iteration","Length","LengthAverage","LengthMax","LengthMedian","LengthMin","LengthStd","ModelNCELoss","NCEAcc","NCELoss","NonzeroRewards","NonzeroRewardsAverage","NonzeroRewardsMax","NonzeroRewardsMedian","NonzeroRewardsMin","NonzeroRewardsStd","ReplayRatio","Return","ReturnAverage","ReturnMax","ReturnMedian","ReturnMin","ReturnStd","RewardLoss","StepsInEval","StepsPerSecond","TrajsInEval","UpdatesPerSecond","cum_steps","gradNorm","gradNormAverage","gradNormMax","gradNormMedian","gradNormMin","gradNormStd","loss","lossAverage","lossMax","lossMedian","lossMin","lossStd","modelGradNorm","modelLoss","modelRLLoss","tdAbsErr","tdAbsErrAverage","tdAbsErrMax","tdAbsErrMedian","tdAbsErrMin","tdAbsErrStd"
"dutiful-sun-25109","bmlygcaa","dutiful-sun-25109","finished","-","ankeshanand","","2020-06-12T09:37:46.000Z","30610","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","32","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","","0","4","nature","true","up_n_down","1","84","","0","50000","0","false","up_n_down","1","27000","84","","0","84","0","1","0","0","0","up_n_down","0","0","","0.5","1","0","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","0","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","0","32","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","101","","0","0","","1","0","1","1","0","standard","0","1","3","0.5","0","","","","","","","","5.495698458268822","5.495698458268822","6.563051683814865","5.40959905834586","5.031461827922559","0.31992500565388254","48970.4","48970.4","48970.4","20.66424914675768","20.66424914675768","119920","43770","5490","6.11377578067806","6.11377578067806","4.340310758257316","4.340310758257316","27147.564712879863","","13948.18","13948.18","27001","13051","2653","7047.622944482771","0","","","943.31","","","","","","","943.31","","","","","","","","","","","100000","0.2520568012699485","","","","","","1.0249474886357783","","","","","","0","","0","","","","","",""
"legendary-river-25376","2wxe2pfk","legendary-river-25376","finished","-","ankeshanand","","2020-06-12T18:22:24.000Z","10985","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","32","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","","1","4","nature","true","boxing","1","84","","0","50000","0","false","boxing","1","27000","84","","0","84","0","1","0","0","0","boxing","0","0","","0.5","1","0","","84","0","1","256","true","0","10","true","","1","1","0","","1","","10","100000","0","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","0","32","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","123","","0","0","","1","0","1","1","0","standard","0","1","3","0.5","0","","","","","","","","0.8404064574921152","0.8404064574921152","3.7848486885075543","1.2982103654777974","-1.8215340190478928","1.5319907973373568","51.05","51.05","51.05","509.49999999999994","509.49999999999994","74","51","26","0.710599721059972","0.710599721059972","4.245833333333333","4.245833333333333","10.358933342772314","","1781.46","1781.46","1786","1781","1778","2.3808401878328582","0","","","64.12","","","","","","","41.28","","","","","","","","","","","100000","0.12200246369671076","","","","","","0.8585266798555851","","","","","","0","","0","","","","","",""
"cerulean-lake-25038","3kiwmp4f","cerulean-lake-25038","finished","-","ankeshanand","","2020-06-12T09:31:37.000Z","28411","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","32","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","","0","4","nature","true","boxing","1","84","","0","50000","0","false","boxing","1","27000","84","","0","84","0","1","0","0","0","boxing","0","0","","0.5","1","0","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","0","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","0","32","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","123","","0","0","","1","0","1","1","0","standard","0","1","3","0.5","0","","","","","","","","1.7287167899444649","1.7287167899444649","4.503775546700222","1.5585565521571596","-1.495187517175811","1.631334062896597","49.71","49.71","49.71","496.1","496.1","93","56","1","0.6919107391910739","0.6919107391910739","4.134166666666666","4.134166666666666","23.32693507514436","","1466.01","1466.01","1786","1405","985","263.1648720859226","0","","","81.48","","","","","","","33.84","","","","","","","","","","","100000","0.101849305716902","","","","","","0.8797476945966483","","","","","","0","","0","","","","","",""
"expert-thunder-25440","f31aeie8","expert-thunder-25440","finished","-","ankeshanand","","2020-06-12T18:22:43.000Z","13884","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","32","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","","1","4","nature","true","boxing","1","84","","0","50000","0","false","boxing","1","27000","84","","0","84","0","1","0","0","0","boxing","0","0","","0.5","1","0","","84","0","1","256","true","0","10","true","","1","1","0","","1","","10","100000","0","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","0","32","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","420","","0","0","","1","0","1","1","0","standard","0","1","3","0.5","0","","","","","","","","1.5133709451089257","1.5133709451089257","3.3251435581940068","1.5897064405651484","-0.1649494285238856","0.906508008400104","40.89","40.89","40.89","407.9","407.9","63","41","14","0.5688981868898186","0.5688981868898186","3.3991666666666664","3.3991666666666664","11.381471785318451","","1781.47","1781.47","1785","1782","1778","2.2246572769754898","0","","","64.06","","","","","","","34.34","","","","","","","","","","","100000","0.10448983516711742","","","","","","0.7476221752852201","","","","","","0","","0","","","","","",""
"chocolate-fire-25995","v1q3xuys","chocolate-fire-25995","finished","-","ankeshanand","","2020-06-13T01:33:08.000Z","4723","","","","","","","32","10","0.99","true","2500","0.0001","2000","","","10","","0.5","100000","true","32","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","1","4","nature","true","road_runner","1","84","","0","2500","0","false","road_runner","1","27000","84","","0","84","0","1","0","0","0","road_runner","0","0","","0.5","1","0","","84","0","1","256","true","0","10","true","","1","1","0","","1","","10","100000","0","50000","1","-1","custom","0","0","0","in","0","0.00015","valid","0","32","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","88","","0","0","","1","0","1","1","0","standard","0","1","3","0.5","0","","","","","","","","6.9097110790916245","6.9097110790916245","11.414958259810469","6.469091466522275","3.9188961099902393","1.473714350479946","22133","22133","22133","2.307086614173228","2.307086614173228","35200","20800","10300","1.2124359431092595","1.2124359431092595","2.823961192315057","2.823961192315057","5254.503877627269","","880.59","880.59","995","896","608","81.1716816383645","0","","","89.12","","","","","","","89.12","","","","","","","","","","","100000","0.9046921978242696","","","","","","0.12285539553731216","","","","","","0","","0","","","","","",""
"devoted-dream-26058","rmbpvf2t","devoted-dream-26058","finished","-","ankeshanand","","2020-06-13T01:34:09.000Z","5743","","","","","","","32","10","0.99","true","2500","0.0001","2000","","","10","","0.5","100000","true","32","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","1","4","nature","true","krull","1","84","","0","2500","0","false","krull","1","27000","84","","0","84","0","1","0","0","0","krull","0","0","","0.5","1","0","","84","0","1","256","true","0","10","true","","1","1","0","","1","","10","100000","0","50000","1","-1","custom","0","0","0","in","0","0.00015","valid","0","32","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","88","","0","0","","1","0","1","1","0","standard","0","1","3","0.5","0","","","","","","","","1.0697027619815558","1.0697027619815558","1.765493303916894","1.1098114685052736","0.35911129410235876","0.29921309390120265","4570.16","4570.16","5094.63","2.3710889509373754","2.7894934184284006","10665","4180.5","891","1.3466968735840508","1.5843362029904848","2.784224824355972","3.2755316159250585","2228.374289566275","","3380.47","3380.47","8719","3088","1106","1667.577239320566","0","","","396.66","","","","","","","396.66","","","","","","","","","","","100000","4.102295388771593","","","","","","0.43128594094850126","","","","","","0","","0","","","","","",""
"logical-lion-25156","22fotzjn","logical-lion-25156","finished","-","ankeshanand","","2020-06-12T10:16:28.000Z","26826","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","32","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","","0","4","nature","true","road_runner","1","84","","0","50000","0","false","road_runner","1","27000","84","","0","84","0","1","0","0","0","road_runner","0","0","","0.5","1","0","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","0","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","0","32","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","444","","0","0","","1","0","1","1","0","standard","0","1","3","0.5","0","","","","","","","","3.270182990958823","3.270182990958823","4.445351352567379","3.289075823013881","2.5097663376815325","0.45095904054420977","20165","20165","20165","2.1018407467278513","2.1018407467278513","26800","19900","15200","1.1045737305088923","1.1045737305088923","2.572732495053297","2.572732495053297","2623.370923068257","","2407.2","2407.2","11210","1350.5","1019","2326.705494900461","0","","","75.94","","","","","","","75.94","","","","","","","","","","","100000","0.25870044184699653","","","","","","0.9648186993718147","","","","","","0","","0","","","","","",""
"electric-sky-25987","3oj273ye","electric-sky-25987","finished","-","ankeshanand","","2020-06-13T01:33:04.000Z","5134","","","","","","","32","10","0.99","true","2500","0.0001","2000","","","10","","0.5","100000","true","32","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","1","4","nature","true","krull","1","84","","0","2500","0","false","krull","1","27000","84","","0","84","0","1","0","0","0","krull","0","0","","0.5","1","0","","84","0","1","256","true","0","10","true","","1","1","0","","1","","10","100000","0","50000","1","-1","custom","0","0","0","in","0","0.00015","valid","0","32","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","420","","0","0","","1","0","1","1","0","standard","0","1","3","0.5","0","","","","","","","","1.6002599991851745","1.6002599991851745","2.099158448136252","1.5773950924069051","1.1177296556105756","0.1981627641687658","4100.64","4100.64","4100.64","1.996521739130435","1.996521739130435","5085","4176","2646","1.1339555958314456","1.1339555958314456","2.344393442622951","2.344393442622951","587.201439371533","","1378.34","1378.34","1506","1437.5","1059","124.70478900186632","0","","","360.48","","","","","","","360.48","","","","","","","","","","","100000","3.6669149218603967","","","","","","0.48941392181338744","","","","","","0","","0","","","","","",""
"generous-paper-25127","1dogou96","generous-paper-25127","finished","-","ankeshanand","","2020-06-12T09:41:58.000Z","27530","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","32","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","","0","4","nature","true","boxing","1","84","","0","50000","0","false","boxing","1","27000","84","","0","84","0","1","0","0","0","boxing","0","0","","0.5","1","0","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","0","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","0","32","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","101","","0","0","","1","0","1","1","0","standard","0","1","3","0.5","0","","","","","","","","1.124357004866316","1.124357004866316","3.3922189533546576","1.018733380479688","-0.6514911890226144","1.045179879647873","26.55","26.55","36.39","264.5","362.9","57","26.5","-3","0.3688981868898187","0.506136680613668","2.2041666666666666","3.0241666666666664","12.891373084353738","","1781.81","1781.81","1786","1782","1778","2.423613005411549","0","","","87.48","","","","","","","21.68","","","","","","","","","","","100000","0.10412782963328064","","","","","","0.8204097749769688","","","","","","0","","0","","","","","",""
"skilled-forest-26031","2dop11lq","skilled-forest-26031","finished","-","ankeshanand","","2020-06-13T01:33:31.000Z","6509","","","","","","","32","10","0.99","true","2500","0.0001","2000","","","10","","0.5","100000","true","32","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","1","4","nature","true","breakout","1","84","","0","2500","0","false","breakout","1","27000","84","","0","84","0","1","0","0","0","breakout","0","0","","0.5","1","0","","84","0","1","256","true","0","10","true","","1","1","0","","1","","10","100000","0","50000","1","-1","custom","0","0","0","in","0","0.00015","valid","0","32","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","420","","0","0","","1","0","1","1","0","standard","0","1","3","0.5","0","","","","","","","","2.078184726764985","2.078184726764985","2.6568935580243735","2.1502192586467244","1.6027735917331951","0.2606593856895879","64.83","64.83","64.83","315.65000000000003","315.65000000000003","238","13","11","0.15802252816020024","0.15802252816020024","2.1920138888888885","2.1920138888888885","92.2406694468335","","3917.5","3917.5","27001","1108.5","271","5814.49500214765","0","","","18.69","","","","","","","18.69","","","","","","","","","","","100000","0.21034581946507097","","","","","","0.011124820645889847","","","","","","0","","0","","","","","",""
