"Name","ID","Name","State","Notes","User","Tags","Created","Runtime","Sweep","agent.eps_eval","agent.eps_final","agent.eps_init","algo.amortization_decay_constant","algo.amortization_loss_weight","algo.batch_size","algo.clip_grad_norm","algo.discount","algo.double_dqn","algo.eps_steps","algo.learning_rate","algo.min_steps_learn","algo.model_nce_weight","algo.model_rl_weight","algo.n_step_return","algo.nce_loss_weight","algo.pri_alpha","algo.pri_beta_steps","algo.prioritized_replay","algo.replay_ratio","algo.replay_size","algo.reward_loss_weight","algo.target_update_interval","algo.target_update_tau","alternating","amortization_decay_constant","amortization_loss_weight","async_sample","aug_prob","augmentation","batch_b","batch_size","batch_t","beluga","buffered_nce","c1","classifier","control","cosine_nce","debug","debug_cuda_idx","der","detach_model","dirichlet_alpha","distributional","dqn_hidden_size","dueling","dynamics_blocks","encoder","env.episodic_lives","env.game","env.grayscale","env.imagesize","env.num_img_obs","env.stack_actions","eps_steps","eval_augmentation","eval_env.episodic_lives","eval_env.game","eval_env.grayscale","eval_env.horizon","eval_env.imagesize","eval_env.num_img_obs","eval_env.stack_actions","eval_imagesize","eval_simulations","fasteval","film","final_eval_only","frame_dropout","game","global_local_nce","global_nce","gpu_per_run","grad_scale_factor","grayscale","hard_neg_factor","hyperthread_offset","imagesize","jumps","keep_last_frame","latent_size","learn_model","local_nce","max_grad_norm","model.dueling","model.framestack","model_nce_weight","model_rl_weight","momentum_encoder","n_cpu_core","n_gpu","n_socket","n_step","n_steps","nce","nce_loss_decay_steps","nce_loss_weight","nce_loss_weight_final","nce_type","no_rl_augmentation","no_search_control","noisy_nets","norm_type","num_simulations","optim.eps","padding","prioritized_replay","q_dirichlet","replay_ratio","reward_loss_weight","run_slot","runner.log_interval_steps","runner.n_steps","sample_gpu_per_run","sampler.batch_B","sampler.batch_T","sampler.eval_max_steps","sampler.eval_max_trajectories","sampler.eval_n_envs","sampler.max_decorrelation_steps","search_epsilon","seed","set_affinity","shared_encoder","stack_actions","tag","target_augmentation","target_encoder_sn","target_update_interval","target_update_tau","time_contrastive","transition_model","use_all_targets","virtual_loss_c","virtual_threads","visit_temp","AmortizationLoss","CumCompletedTrajs","CumEvalTime","CumReplayRatio","CumSteps","CumTime (s)","CumTrainTime","CumUpdates","DiscountedReturn","DiscountedReturnAverage","DiscountedReturnMax","DiscountedReturnMedian","DiscountedReturnMin","DiscountedReturnStd","GameScore","GameScoreAverage","GameScoreBest","GameScoreDERNormalized","GameScoreDERNormalizedBest","GameScoreMax","GameScoreMedian","GameScoreMin","GameScoreNatureNormalized","GameScoreNatureNormalizedBest","GameScoreNormalized","GameScoreNormalizedBest","GameScoreStd","Iteration","Length","LengthAverage","LengthMax","LengthMedian","LengthMin","LengthStd","ModelNCELoss","NCEAcc","NCELoss","NonzeroRewards","NonzeroRewardsAverage","NonzeroRewardsMax","NonzeroRewardsMedian","NonzeroRewardsMin","NonzeroRewardsStd","ReplayRatio","Return","ReturnAverage","ReturnMax","ReturnMedian","ReturnMin","ReturnStd","RewardLoss","StepsInEval","StepsPerSecond","TrajsInEval","UpdatesPerSecond","cum_steps","gradNorm","gradNormAverage","gradNormMax","gradNormMedian","gradNormMin","gradNormStd","loss","lossAverage","lossMax","lossMedian","lossMin","lossStd","modelGradNorm","modelLoss","modelRLLoss","tdAbsErr","tdAbsErrAverage","tdAbsErrMax","tdAbsErrMedian","tdAbsErrMin","tdAbsErrStd"
"cool-durian-27245","dzrjwjsh","cool-durian-27245","finished","-","maxa-schwarzer","","2020-06-14T22:10:06.000Z","2","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","0","0.25","0","","1","1","nature","true","boxing","1","84","","0","50000","0","false","boxing","1","27000","84","","0","84","0","1","0","1","0","boxing","0","1","","0.5","1","0","","84","5","1","256","true","0","10","true","","1","0","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","bn","0","0.00015","valid","","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","101","","0","0","g_uat_aug_no_dist","1","0","1","1","0","standard","1","1","3","0.5","0","","","","","","","","3.175791062593955","3.175791062593955","6.282913423651563","3.4207150616055655","-2.6236299540239254","1.9374378216668229","78.22","78.22","78.22","781.2","781.2","94","77","53","1.0895397489539749","1.0895397489539749","6.510000000000001","6.510000000000001","8.814283862004899","","1174.07","1174.07","1642","1135","864","160.13096234020455","0.3430973623994738","","","65.23","","","","","","","40.25","","","","","","","","","","","100000","2.026326433834806","","","","","","0.08123336819791002","","","","","","1.3398215365841986","","0","","","","","",""
"sunny-sky-26759","97y7g7lz","sunny-sky-26759","finished","-","maxa-schwarzer","","2020-06-14T01:10:56.000Z","3","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","0","0.25","0","","1","1","nature","true","krull","1","84","","0","50000","0","false","krull","1","27000","84","","0","84","0","1","0","1","0","krull","0","1","","0.5","1","0","","84","5","1","256","true","0","10","true","","1","0","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","bn","0","0.00015","valid","","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","420","","0","0","g_uat_aug_no_dist","1","0","1","1","0","standard","1","1","3","0.5","0","","","","","","","","2.5363894468845434","2.5363894468845434","3.6300490437766793","2.523948230274489","1.6116356169652355","0.396911483859633","5982.87","5982.87","5982.87","3.49810131631432","3.49810131631432","14598","5808","3105","1.9868010874490256","1.9868010874490256","4.107606557377049","4.107606557377049","1791.624328116807","","1324.62","1324.62","3254","1231.5","795","344.9579910655789","0.12525082963585157","","","510.88","","","","","","","510.88","","","","","","","","","","","100000","8.754584339958429","","","","","","0.8393515887365677","","","","","","0.9803260030312464","","0","","","","","",""
"noble-star-26757","dc4d0ipl","noble-star-26757","finished","-","maxa-schwarzer","","2020-06-14T01:10:47.000Z","2","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","0","0.25","0","","1","1","nature","true","krull","1","84","","0","50000","0","false","krull","1","27000","84","","0","84","0","1","0","1","0","krull","0","1","","0.5","1","0","","84","5","1","256","true","0","10","true","","1","0","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","bn","0","0.00015","valid","","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","444","","0","0","g_uat_aug_no_dist","1","0","1","1","0","standard","1","1","3","0.5","0","","","","","","","","2.0740485798877364","2.0740485798877364","2.6944893003342454","2.222403372804908","0.7862332806988673","0.4258979121430321","5263.83","5263.83","5263.83","2.9244754686876746","2.9244754686876746","9990","5097","2133","1.6610013593112822","1.6610013593112822","3.434032786885246","3.434032786885246","1287.2884917919523","","1544.88","1544.88","4127","1424.5","929","485.9434181054416","0.11153900950758253","","","464.87","","","","","","","464.87","","","","","","","","","","","100000","6.357218172683567","","","","","","0.6027881946107373","","","","","","0.9273741311997176","","0","","","","","",""
"distinctive-eon-27193","aias6m0v","distinctive-eon-27193","finished","-","maxa-schwarzer","","2020-06-14T22:05:17.000Z","2","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","0","0.25","0","","1","1","nature","true","krull","1","84","","0","50000","0","false","krull","1","27000","84","","0","84","0","1","0","1","0","krull","0","1","","0.5","1","0","","84","5","1","256","true","0","10","true","","1","0","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","ln","0","0.00015","valid","","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","420","","0","0","g_uat_aug_no_dist","1","0","1","1","0","standard","1","1","3","0.5","0","","","","","","","","2.294541964944405","2.294541964944405","2.768884266051698","2.318797031200297","1.5842450090065194","0.289077304189187","4884.41","4884.41","4884.41","2.6217869964100515","2.6217869964100515","6816","5176.5","1552","1.4890847304032624","1.4890847304032624","3.078604215456674","3.078604215456674","1104.6899030497202","","1347.34","1347.34","2063","1439","720","213.58498168176524","0.11013283837934724","","","422.66","","","","","","","422.66","","","","","","","","","","","100000","6.511399264466762","","","","","","0.6611064856762067","","","","","","0.993116137170978","","0","","","","","",""
"radiant-valley-27194","eqxcg72e","radiant-valley-27194","finished","-","maxa-schwarzer","","2020-06-14T22:05:22.000Z","2","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","0","0.25","0","","1","1","nature","true","krull","1","84","","0","50000","0","false","krull","1","27000","84","","0","84","0","1","0","1","0","krull","0","1","","0.5","1","0","","84","5","1","256","true","0","10","true","","1","0","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","ln","0","0.00015","valid","","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","123","","0","0","g_uat_aug_no_dist","1","0","1","1","0","standard","1","1","3","0.5","0","","","","","","","","1.0361402180100234","1.0361402180100234","1.734849767772216","0.87051964003563","0.4449350315528053","0.3140607038155258","4814.06","4814.06","4814.06","2.565664140406861","2.565664140406861","13287","4288.5","1098","1.4572088808337111","1.4572088808337111","3.0127025761124124","3.0127025761124124","2597.163398094159","","3417.76","3417.76","9117","3036.5","1055","1850.234326348963","0.11244242871289609","","","417.92","","","","","","","417.92","","","","","","","","","","","100000","3.123491842612624","","","","","","0.37033179348749107","","","","","","0.9665009281551464","","0","","","","","",""
"amber-pyramid-27192","3cwb7dez","amber-pyramid-27192","finished","-","maxa-schwarzer","","2020-06-14T22:05:12.000Z","2","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","0","0.25","0","","1","1","nature","true","krull","1","84","","0","50000","0","false","krull","1","27000","84","","0","84","0","1","0","1","0","krull","0","1","","0.5","1","0","","84","5","1","256","true","0","10","true","","1","0","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","ln","0","0.00015","valid","","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","444","","0","0","g_uat_aug_no_dist","1","0","1","1","0","standard","1","1","3","0.5","0","","","","","","","","1.8673292170505713","1.8673292170505713","2.6434271410097936","1.9533920330250196","0.6927382105647847","0.3331263141496848","4746.02","4746.02","4746.02","2.511384124451536","2.511384124451536","6696","4599","2745","1.426379700951518","1.426379700951518","2.94896487119438","2.94896487119438","840.3358135888295","","1501.9","1501.9","2112","1484","917","217.88077014734455","0.11967599294882966","","","417.51","","","","","","","417.51","","","","","","","","","","","100000","5.963281517413258","","","","","","0.6003236202539876","","","","","","1.0037631617976353","","0","","","","","",""
"stilted-frost-27191","uewtakvm","stilted-frost-27191","finished","-","maxa-schwarzer","","2020-06-14T22:05:07.000Z","2","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","0","0.25","0","","1","1","nature","true","krull","1","84","","0","50000","0","false","krull","1","27000","84","","0","84","0","1","0","1","0","krull","0","1","","0.5","1","0","","84","5","1","256","true","0","10","true","","1","0","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","ln","0","0.00015","valid","","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","101","","0","0","g_uat_aug_no_dist","1","0","1","1","0","standard","1","1","3","0.5","0","","","","","","","","2.0047551477814234","2.0047551477814234","2.8192326631025657","1.9021171949773168","1.5582015805547509","0.3237443376537663","4561.92","4561.92","4561.92","2.364515357000399","2.364515357000399","5522","4616.5","3204","1.3429632985953783","1.3429632985953783","2.776505854800937","2.776505854800937","524.8984793271933","","1427.21","1427.21","1495","1452","1121","73.35752108679792","0.09924959095450468","","","396.15","","","","","","","396.15","","","","","","","","","","","100000","4.950202279961109","","","","","","0.40853048510230144","","","","","","0.8151234436169267","","0","","","","","",""
"good-shape-26752","3xll06yb","good-shape-26752","finished","-","maxa-schwarzer","","2020-06-14T01:10:16.000Z","2","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","0","0.25","0","","1","1","nature","true","krull","1","84","","0","50000","0","false","krull","1","27000","84","","0","84","0","1","0","1","0","krull","0","1","","0.5","1","0","","84","5","1","256","true","0","10","true","","1","0","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","bn","0","0.00015","valid","","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","101","","0","0","g_uat_aug_no_dist","1","0","1","1","0","standard","1","1","3","0.5","0","","","","","","","","1.9550025710100811","1.9550025710100811","2.317275760733108","2.046155526211324","1.349947632189068","0.2191334136014766","4536.89","4536.89","4536.89","2.3445472676505785","2.3445472676505785","5913","4761","2322","1.3316221114635254","1.3316221114635254","2.753058548009368","2.753058548009368","820.5874712058429","","1385.91","1385.91","1718","1414.5","841","199.6999296444543","0.115755506428238","","","395.05","","","","","","","395.05","","","","","","","","","","","100000","5.795474502046407","","","","","","0.5396894134986214","","","","","","0.9327398980891332","","0","","","","","",""
"legendary-gorge-26756","jxzvgn9n","legendary-gorge-26756","finished","-","maxa-schwarzer","","2020-06-14T01:10:41.000Z","3","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","0","0.25","0","","1","1","nature","true","krull","1","84","","0","50000","0","false","krull","1","27000","84","","0","84","0","1","0","1","0","krull","0","1","","0.5","1","0","","84","5","1","256","true","0","10","true","","1","0","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","bn","0","0.00015","valid","","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","88","","0","0","g_uat_aug_no_dist","1","0","1","1","0","standard","1","1","3","0.5","0","","","","","","","","2.0528604544223548","2.0528604544223548","2.6711153360344966","2.045482277002446","1.60409963850273","0.2500248120453421","4277.16","4277.16","4277.16","2.137343438372557","2.137343438372557","5886","4639.5","2790","1.213937471681015","1.213937471681015","2.5097517564402807","2.5097517564402807","871.2853346636796","","1272.28","1272.28","1491","1304.5","906","170.73687826594465","0.11111271546473726","","","368.46","","","","","","","368.46","","","","","","","","","","","100000","4.663668604272604","","","","","","0.4044114443091676","","","","","","0.8664367203093134","","0","","","","","",""
"polar-salad-27195","ao90n259","polar-salad-27195","finished","-","maxa-schwarzer","","2020-06-14T22:05:27.000Z","2","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","0","0.25","0","","1","1","nature","true","krull","1","84","","0","50000","0","false","krull","1","27000","84","","0","84","0","1","0","1","0","krull","0","1","","0.5","1","0","","84","5","1","256","true","0","10","true","","1","0","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","ln","0","0.00015","valid","","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","88","","0","0","g_uat_aug_no_dist","1","0","1","1","0","standard","1","1","3","0.5","0","","","","","","","","1.8486533585387803","1.8486533585387803","2.329479799341521","1.9240213201315508","1.112828091104607","0.27923353111421617","4219.66","4219.66","4219.66","2.091471878739529","2.091471878739529","5265","4308.5","1980","1.187884005437245","1.187884005437245","2.455887587822014","2.455887587822014","646.2813198600126","","1383.42","1383.42","2031","1434","873","152.09550815195036","0.1032855346345692","","","366.16","","","","","","","366.16","","","","","","","","","","","100000","4.610220018289983","","","","","","0.4181161415521521","","","","","","1.113442348882556","","0","","","","","",""
