"Name","ID","Name","State","Notes","User","Tags","Created","Runtime","Sweep","agent.eps_eval","agent.eps_final","agent.eps_init","algo.amortization_decay_constant","algo.amortization_loss_weight","algo.batch_size","algo.clip_grad_norm","algo.discount","algo.double_dqn","algo.eps_steps","algo.learning_rate","algo.min_steps_learn","algo.model_nce_weight","algo.model_rl_weight","algo.n_step_return","algo.nce_loss_weight","algo.pri_alpha","algo.pri_beta_steps","algo.prioritized_replay","algo.replay_ratio","algo.replay_size","algo.reward_loss_weight","algo.target_update_interval","algo.target_update_tau","alternating","amortization_decay_constant","amortization_loss_weight","async_sample","aug_prob","augmentation","batch_b","batch_size","batch_t","beluga","buffered_nce","c1","classifier","control","cosine_nce","debug","debug_cuda_idx","der","detach_model","dirichlet_alpha","dueling","dynamics_blocks","encoder","env.episodic_lives","env.game","env.grayscale","env.imagesize","env.num_img_obs","env.stack_actions","eval_augmentation","eval_env.episodic_lives","eval_env.game","eval_env.grayscale","eval_env.horizon","eval_env.imagesize","eval_env.num_img_obs","eval_env.stack_actions","eval_imagesize","eval_simulations","fasteval","film","frame_dropout","game","global_local_nce","global_nce","gpu_per_run","grayscale","hyperthread_offset","imagesize","jumps","keep_last_frame","latent_size","learn_model","local_nce","max_grad_norm","model.dueling","model.framestack","model_nce_weight","model_rl_weight","momentum_encoder","n_cpu_core","n_gpu","n_socket","n_step","n_steps","nce","nce_loss_decay_steps","nce_loss_weight","nce_loss_weight_final","nce_type","no_rl_augmentation","no_search_control","noisy_nets","norm_type","num_simulations","optim.eps","padding","q_dirichlet","replay_ratio","reward_loss_weight","run_slot","runner.log_interval_steps","runner.n_steps","sample_gpu_per_run","sampler.batch_B","sampler.batch_T","sampler.eval_max_steps","sampler.eval_max_trajectories","sampler.eval_n_envs","sampler.max_decorrelation_steps","search_epsilon","seed","set_affinity","shared_encoder","stack_actions","tag","target_augmentation","target_encoder_sn","target_update_interval","target_update_tau","time_contrastive","transition_model","virtual_loss_c","virtual_threads","visit_temp","AmortizationLoss","CumCompletedTrajs","CumEvalTime","CumReplayRatio","CumSteps","CumTime (s)","CumTrainTime","CumUpdates","DiscountedReturn","DiscountedReturnAverage","DiscountedReturnMax","DiscountedReturnMedian","DiscountedReturnMin","DiscountedReturnStd","GameScore","GameScoreAverage","GameScoreBest","GameScoreDERNormalized","GameScoreDERNormalizedBest","GameScoreMax","GameScoreMedian","GameScoreMin","GameScoreNatureNormalized","GameScoreNatureNormalizedBest","GameScoreNormalized","GameScoreNormalizedBest","GameScoreStd","Iteration","Length","LengthAverage","LengthMax","LengthMedian","LengthMin","LengthStd","ModelNCELoss","NCEAcc","NCELoss","NonzeroRewards","NonzeroRewardsAverage","NonzeroRewardsMax","NonzeroRewardsMedian","NonzeroRewardsMin","NonzeroRewardsStd","ReplayRatio","Return","ReturnAverage","ReturnMax","ReturnMedian","ReturnMin","ReturnStd","RewardLoss","StepsInEval","StepsPerSecond","TrajsInEval","UpdatesPerSecond","cum_steps","gradNorm","gradNormAverage","gradNormMax","gradNormMedian","gradNormMin","gradNormStd","loss","lossAverage","lossMax","lossMedian","lossMin","lossStd","modelGradNorm","modelLoss","modelRLLoss","tdAbsErr","tdAbsErrAverage","tdAbsErrMax","tdAbsErrMedian","tdAbsErrMin","tdAbsErrStd"
"dutiful-water-20657","xya8wm4n","dutiful-water-20657","finished","-","maxa-schwarzer","","2020-06-04T22:26:25.000Z","2","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","4","nature","true","bank_heist","1","84","","0","0","false","bank_heist","1","27000","84","","0","84","0","1","0","0","bank_heist","1","0","","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","ln","0","0.00015","valid","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","445","","0","0","one-way-gl","0","0","2000","1","1","standard","1","3","0.5","0","","","","","","","","4.302604976156511","4.302604976156511","5.094987703378531","4.284318080866104","3.886763533118167","0.18791328296519788","165.6","165.6","190.2","4.114130434782609","4.782608695652175","210","170","120","0.3643802647412756","0.4235860409145608","0.20489917444850456","0.23819190688861824","22.729716232280595","","1438.22","1438.22","7009","789","579","1331.891906875329","0","","","16.55","","","","","","","16.55","","","","","","","","","","","100000","0.5400823011253029","","","","","","0.6417047517217696","","","","","","0","","0","","","","","",""
"laced-hill-20656","54r0nzo4","laced-hill-20656","finished","-","maxa-schwarzer","","2020-06-04T22:26:20.000Z","2","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","4","nature","true","freeway","1","84","","0","0","false","freeway","1","27000","84","","0","84","0","1","0","0","freeway","1","0","","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","ln","0","0.00015","valid","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","447","","0","0","one-way-gl","0","0","2000","1","1","standard","1","3","0.5","0","","","","","","","","0.9435892893888826","0.9435892893888826","1.3712278677599317","0.989920433127966","0.344492546085194","0.3425966382226499","26.97","26.97","26.97","0.9666666666666668","0.9666666666666668","31","27","22","0.89009900990099","0.89009900990099","0.9111486486486484","0.9111486486486484","2.2954520252011363","","2044.5","2044.5","2048","2044","2040","2.247220505424423","0","","","26.97","","","","","","","26.97","","","","","","","","","","","100000","1.4991521725535393","","","","","","0.4712399853080511","","","","","","0","","0","","","","","",""
"feasible-wave-20655","flq19uxt","feasible-wave-20655","finished","-","maxa-schwarzer","","2020-06-04T22:26:15.000Z","2","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","4","nature","true","battle_zone","1","84","","0","0","false","battle_zone","1","27000","84","","0","84","0","1","0","0","battle_zone","1","0","","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","ln","0","0.00015","valid","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","447","","0","0","one-way-gl","0","0","2000","1","1","standard","1","3","0.5","0","","","","","","","","0.23992231668781672","0.23992231668781672","0.8522844295628245","0.317674419017016","2.6123034817409516e-10","0.2080701131530215","11880","11880","11880","1.22607732529686","1.22607732529686","32000","10000","2000","0.3976608187134502","0.3976608187134502","0.2733472112554734","0.2733472112554734","7283.241036791244","","2632","2632","27001","2200","1181","2837.2461860050144","0","","","9.57","","","","","","","9.57","","","","","","","","","","","100000","1.2555879861414432","","","","","","0.41536836829558016","","","","","","0","","0","","","","","",""
"eager-puddle-20654","2h1w5947","eager-puddle-20654","finished","-","maxa-schwarzer","","2020-06-04T22:26:08.000Z","3","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","4","nature","true","pong","1","84","","0","0","false","pong","1","27000","84","","0","84","0","1","0","0","pong","1","0","","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","ln","0","0.00015","valid","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","444","","0","0","one-way-gl","0","0","2000","1","1","standard","1","3","0.5","0","","","","","","","","-0.15042569230702751","-0.15042569230702751","0.6036109450502503","-0.14752303829060004","-0.2777911820307637","0.1450635028252618","-12.96","-12.96","-11.54","5.528571428571433","6.54285714285715","-6","-14","-16","0.19545454545454544","0.23131313131313136","0.2192634560906515","0.2594900849858357","2.5958428303732104","","3293.64","3293.64","3720","3527","2610","404.9241538856382","0","","","29.04","","","","","","","-12.96","","","","","","","","","","","100000","5.0961875879347325","","","","","","0.615613495260477","","","","","","0","","0","","","","","",""
"playful-darkness-20653","b9utv6hf","playful-darkness-20653","finished","-","maxa-schwarzer","","2020-06-04T22:26:04.000Z","2","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","4","nature","true","road_runner","1","84","","0","0","false","road_runner","1","27000","84","","0","84","0","1","0","0","road_runner","1","0","","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","ln","0","0.00015","valid","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","446","","0","0","one-way-gl","0","0","2000","1","1","standard","1","3","0.5","0","","","","","","","","3.435529924521918","3.435529924521918","7.132920000664842","3.404761126100846","1.4120721309692386","1.1697913625297562","4049","4049","4049","0.4210773322208896","0.4210773322208896","8700","4000","800","0.22128744073881232","0.22128744073881232","0.5154145656475394","0.5154145656475394","1378.730938218186","","428.63","428.63","674","420","307","84.1518454937264","0","","","19.26","","","","","","","19.26","","","","","","","","","","","100000","1.9467868513673543","","","","","","0.8835550168424845","","","","","","0","","0","","","","","",""
"zesty-flower-20652","crkgcswq","zesty-flower-20652","finished","-","maxa-schwarzer","","2020-06-04T22:26:01.000Z","2","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","4","nature","true","seaquest","1","84","","0","0","false","seaquest","1","27000","84","","0","84","0","1","0","0","seaquest","1","0","","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","ln","0","0.00015","valid","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","447","","0","0","one-way-gl","0","0","2000","1","1","standard","1","3","0.5","0","","","","","","","","1.2946724848172506","1.2946724848172506","1.6087051462850508","1.3332294576063155","0.7662014506214403","0.1867743359457967","252.6","252.6","280.8","0.6447322366118304","0.7434371718585928","440","220","140","0.035303587856485734","0.04070837166513339","0.004387145330738837","0.005058792987236314","77.07943954129402","","888","888","1563","850","492","241.59842714719812","0","","","12.6","","","","","","","12.6","","","","","","","","","","","100000","1.4494392196014525","","","","","","0.600178308789432","","","","","","0","","0","","","","","",""
"scarlet-bee-20651","t381u6wx","scarlet-bee-20651","finished","-","maxa-schwarzer","","2020-06-04T22:25:57.000Z","2","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","4","nature","true","road_runner","1","84","","0","0","false","road_runner","1","27000","84","","0","84","0","1","0","0","road_runner","1","0","","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","ln","0","0.00015","valid","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","448","","0","0","one-way-gl","0","0","2000","1","1","standard","1","3","0.5","0","","","","","","","","4.320831311702186","4.320831311702186","7.215850280206481","4.145290228960869","1.371485401020002","1.2690679560298568","8216","8216","8591","0.8556604265526412","0.8947697762945195","18800","8050","1100","0.449672521991724","0.4702255350634403","1.0473606944533096","1.095232016340078","3848.602863377826","","618.66","618.66","1091","603.5","218","189.2788007147129","0","","","36.11","","","","","","","36.11","","","","","","","","","","","100000","2.3257764795303344","","","","","","1.005211722137034","","","","","","0","","0","","","","","",""
"good-sound-20650","cgdyaoox","good-sound-20650","finished","-","maxa-schwarzer","","2020-06-04T22:25:54.000Z","2","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","4","nature","true","freeway","1","84","","0","0","false","freeway","1","27000","84","","0","84","0","1","0","0","freeway","1","0","","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","ln","0","0.00015","valid","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","445","","0","0","one-way-gl","0","0","2000","1","1","standard","1","3","0.5","0","","","","","","","","1.3588923955668772","1.3588923955668772","1.4333128097543335","1.360877220916889","0.562732167219574","0.08673903263154913","28.35","28.35","29.1","1.0161290322580647","1.0430107526881722","30","28","26","0.9356435643564356","0.9603960396039604","0.9577702702702704","0.983108108108108","1.0136567466356647","","2044.53","2044.53","2048","2045","2040","2.188401242916847","0","","","28.35","","","","","","","28.35","","","","","","","","","","","100000","1.2200176098547877","","","","","","0.47704063129648566","","","","","","0","","0","","","","","",""
"different-jazz-20649","b4eu6we0","different-jazz-20649","finished","-","maxa-schwarzer","","2020-06-04T22:25:49.000Z","3","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","4","nature","true","asterix","1","84","","0","0","false","asterix","1","27000","84","","0","84","0","1","0","0","asterix","1","0","","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","ln","0","0.00015","valid","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","447","","0","0","one-way-gl","0","0","2000","1","1","standard","1","3","0.5","0","","","","","","","","6.040797317269713","6.040797317269713","8.493263582730213","6.208561110731518","4.1302374017918755","1.1395114614098598","566","566","566","1.3650306748466257","1.3650306748466257","1050","500","250","0.06135815236125474","0.06135815236125474","0.04292621754910591","0.04292621754910591","183.69540005128056","","342.73","342.73","530","324","158","95.85018049017955","0","","","11.25","","","","","","","11.25","","","","","","","","","","","100000","1.0508258875131606","","","","","","0.8229911179944873","","","","","","0","","0","","","","","",""
"legendary-totem-20648","xva7ea8i","legendary-totem-20648","finished","-","maxa-schwarzer","","2020-06-04T22:25:46.000Z","2","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","4","nature","true","battle_zone","1","84","","0","0","false","battle_zone","1","27000","84","","0","84","0","1","0","0","battle_zone","1","0","","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","ln","0","0.00015","valid","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","444","","0","0","one-way-gl","0","0","2000","1","1","standard","1","3","0.5","0","","","","","","","","0.3780713588219908","0.3780713588219908","0.899265351003929","0.31711706188312533","0.007086667085996509","0.2954345557158238","11110","11110","14640","1.126909306339026","1.581536717924941","30000","10000","2000","0.3654970760233918","0.5129490392648287","0.25123824563922187","0.35259493216567367","5381.254500578838","","2110.11","2110.11","27001","1610.5","644","2574.870897326699","0","","","8.91","","","","","","","8.91","","","","","","","","","","","100000","1.2241047426022589","","","","","","0.45083011219501495","","","","","","0","","0","","","","","",""
