"Name","ID","Name","State","Notes","User","Tags","Created","Runtime","Sweep","agent.eps_eval","agent.eps_final","agent.eps_init","algo.amortization_decay_constant","algo.amortization_loss_weight","algo.batch_size","algo.clip_grad_norm","algo.discount","algo.double_dqn","algo.eps_steps","algo.learning_rate","algo.min_steps_learn","algo.model_nce_weight","algo.model_rl_weight","algo.n_step_return","algo.nce_loss_weight","algo.pri_alpha","algo.pri_beta_steps","algo.prioritized_replay","algo.replay_ratio","algo.replay_size","algo.reward_loss_weight","algo.target_update_interval","algo.target_update_tau","alternating","amortization_decay_constant","amortization_loss_weight","async_sample","aug_prob","augmentation","batch_b","batch_size","batch_t","beluga","buffered_nce","c1","classifier","control","cosine_nce","debug","debug_cuda_idx","der","detach_model","dirichlet_alpha","distributional","dqn_hidden_size","dueling","dynamics_blocks","encoder","env.episodic_lives","env.game","env.grayscale","env.imagesize","env.num_img_obs","env.stack_actions","eps_steps","eval_augmentation","eval_env.episodic_lives","eval_env.game","eval_env.grayscale","eval_env.horizon","eval_env.imagesize","eval_env.num_img_obs","eval_env.stack_actions","eval_imagesize","eval_simulations","fasteval","film","final_eval_only","frame_dropout","game","global_local_nce","global_nce","gpu_per_run","grad_scale_factor","grayscale","hard_neg_factor","hyperthread_offset","imagesize","jumps","keep_last_frame","latent_size","learn_model","local_nce","max_grad_norm","model.dueling","model.framestack","model_nce_weight","model_rl_weight","momentum_encoder","n_cpu_core","n_gpu","n_socket","n_step","n_steps","nce","nce_loss_decay_steps","nce_loss_weight","nce_loss_weight_final","nce_type","no_rl_augmentation","no_search_control","noisy_nets","norm_type","num_simulations","optim.eps","padding","prioritized_replay","q_dirichlet","replay_ratio","reward_loss_weight","run_slot","runner.log_interval_steps","runner.n_steps","sample_gpu_per_run","sampler.batch_B","sampler.batch_T","sampler.eval_max_steps","sampler.eval_max_trajectories","sampler.eval_n_envs","sampler.max_decorrelation_steps","search_epsilon","seed","set_affinity","shared_encoder","stack_actions","tag","target_augmentation","target_encoder_sn","target_update_interval","target_update_tau","time_contrastive","transition_model","use_all_targets","virtual_loss_c","virtual_threads","visit_temp","AmortizationLoss","CumCompletedTrajs","CumEvalTime","CumReplayRatio","CumSteps","CumTime (s)","CumTrainTime","CumUpdates","DiscountedReturn","DiscountedReturnAverage","DiscountedReturnMax","DiscountedReturnMedian","DiscountedReturnMin","DiscountedReturnStd","GameScore","GameScoreAverage","GameScoreBest","GameScoreDERNormalized","GameScoreDERNormalizedBest","GameScoreMax","GameScoreMedian","GameScoreMin","GameScoreNatureNormalized","GameScoreNatureNormalizedBest","GameScoreNormalized","GameScoreNormalizedBest","GameScoreStd","Iteration","Length","LengthAverage","LengthMax","LengthMedian","LengthMin","LengthStd","ModelNCELoss","NCEAcc","NCELoss","NonzeroRewards","NonzeroRewardsAverage","NonzeroRewardsMax","NonzeroRewardsMedian","NonzeroRewardsMin","NonzeroRewardsStd","ReplayRatio","Return","ReturnAverage","ReturnMax","ReturnMedian","ReturnMin","ReturnStd","RewardLoss","StepsInEval","StepsPerSecond","TrajsInEval","UpdatesPerSecond","cum_steps","gradNorm","gradNormAverage","gradNormMax","gradNormMedian","gradNormMin","gradNormStd","loss","lossAverage","lossMax","lossMedian","lossMin","lossStd","modelGradNorm","modelLoss","modelRLLoss","tdAbsErr","tdAbsErrAverage","tdAbsErrMax","tdAbsErrMedian","tdAbsErrMin","tdAbsErrStd"
"rural-glitter-26763","3c9rmxg2","rural-glitter-26763","finished","-","ankeshanand","","2020-06-14T01:33:33.000Z","10725","","","","","","","32","10","0.99","true","2500","0.0001","1600","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","512","1","4","nature","true","krull","1","84","","0","2500","0","false","krull","1","27000","84","","0","84","0","1","0","0","0","krull","1","0","","0.5","1","0","","84","0","1","256","true","0","10","true","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","0","in","0","0.00015","valid","0","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","88","","0","0","","0","0","1","1","1","standard","0","1","3","0.5","0","","","","","","","","1.8590948270762653","1.8590948270762653","2.593006772543095","1.8303343334420004","1.1253242523713962","0.34354867448474596","4286.1","4286.1","4511.61","2.144475468687675","2.3243797367371357","6015","4681.5","1716","1.2179882193022205","1.3201676483914817","2.5181264637002347","2.729377049180328","960.7935210023016","","1317.04","1317.04","1493","1424","841","183.67394589325943","0","","","367.47","","","","","","","367.47","","","","","","","","","","","100000","16.63349407849312","","","","","","0.9647865717105568","","","","","","0","","0","","","","","",""
"super-brook-26478","2w3u23eq","super-brook-26478","finished","-","ankeshanand","","2020-06-13T21:15:26.000Z","15849","","","","","","","32","10","0.99","true","2500","0.0001","1600","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","256","1","4","nature","true","krull","1","84","","0","2500","0","false","krull","1","27000","84","","0","84","0","1","0","0","0","krull","1","0","","0.5","1","0","","84","0","1","256","true","0","10","true","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","0","in","0","0.00015","valid","1","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","88","","0","0","","0","0","1","1","1","standard","0","1","3","0.5","0","","","","","","","","1.9519659769204996","1.9519659769204996","2.5873071044514138","1.8780539215894647","1.1409509804242643","0.3699552086888287","4228.55","4228.55","4596.77","2.098564020741923","2.3923175109692862","5232","4419.5","2409","1.1919120978704123","1.3587539646579068","2.464215456674473","2.809152224824357","719.8264843002097","","1371.51","1371.51","1498","1451.5","968","156.77751720192538","0","","","361.26","","","","","","","361.26","","","","","","","","","","","100000","4.77076139825508","","","","","","0.2768155875094468","","","","","","0","","0","","","","","",""
"morning-pine-26404","3gr9fs9j","morning-pine-26404","finished","-","ankeshanand","","2020-06-13T09:07:42.000Z","8439","","","","","","","32","10","0.99","true","2500","0.0001","1600","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","512","1","4","nature","true","krull","1","84","","0","2500","0","false","krull","1","27000","84","","0","84","0","1","0","0","0","krull","1","0","","0.5","1","0","","84","0","1","256","true","0","10","true","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","0","in","0","0.00015","valid","0","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","420","","0","0","","0","0","1","1","1","standard","0","1","3","0.5","0","","","","","","","","1.7925819235924114","1.7925819235924114","2.3631275468315773","1.8246814050058384","0.8643864012150572","0.33919869751269094","4185.26","4185.26","4185.26","2.0640287195851617","2.0640287195851617","5313","4304.5","1542","1.1722972360670594","1.1722972360670594","2.423662763466042","2.423662763466042","724.5310706933141","","1366.51","1366.51","1513","1437.5","740","147.4913892401858","0","","","364.21","","","","","","","364.21","","","","","","","","","","","100000","16.699630536556246","","","","","","0.9810392678894102","","","","","","0","","0","","","","","",""
"decent-eon-26539","1lzfx5hi","decent-eon-26539","finished","-","ankeshanand","","2020-06-13T21:15:41.000Z","15457","","","","","","","32","10","0.99","true","2500","0.0001","1600","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","256","1","4","nature","true","krull","1","84","","0","2500","0","false","krull","1","27000","84","","0","84","0","1","0","0","0","krull","1","0","","0.5","1","0","","84","0","1","256","true","0","10","true","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","0","in","0","0.00015","valid","1","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","444","","0","0","","0","0","1","1","1","standard","0","1","3","0.5","0","","","","","","","","1.7665965782313626","1.7665965782313626","2.5669883279113663","1.777981961112647","0.8750292616554934","0.3112100056662774","3767.44","3767.44","4464.38","1.7307060231352214","2.286701236537694","5988","3903","444","0.9829814227458088","1.2987675577707296","2.032262295081967","2.6851334894613585","1040.85549736743","","1307.15","1307.15","2203","1396","482","295.4794874437141","0","","","326.21","","","","","","","326.21","","","","","","","","","","","100000","5.315850532309711","","","","","","0.3299615016609896","","","","","","0","","0","","","","","",""
"vital-paper-26270","rlsjvvci","vital-paper-26270","finished","-","ankeshanand","","2020-06-13T07:33:11.000Z","9746","","","","","","","32","10","0.99","true","2500","0.0001","1600","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","512","1","4","nature","true","krull","1","84","","0","2500","0","false","krull","1","27000","84","","0","84","0","1","0","0","0","krull","1","0","","0.5","1","0","","84","0","1","256","true","0","10","true","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","0","in","0","0.00015","valid","0","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","123","","0","0","","0","0","1","1","1","standard","0","1","3","0.5","0","","","","","","","","1.564170449006686","1.564170449006686","2.1073561053885124","1.515136532932642","1.198718589981709","0.24645254326279836","3602.62","3602.62","4141.76","1.5992181890706023","2.0293258875149585","5313","3546","1442","0.9083008608971452","1.1525872224739466","1.8778641686182669","2.382913348946136","892.5097733918659","","1261.64","1261.64","1510","1418.5","774","229.84749378664108","0","","","315.94","","","","","","","315.94","","","","","","","","","","","100000","15.582598814082148","","","","","","0.9054678691908716","","","","","","0","","0","","","","","",""
"northern-glitter-26333","dw9ahsf1","northern-glitter-26333","finished","-","ankeshanand","","2020-06-13T07:35:38.000Z","12413","","","","","","","32","10","0.99","true","2500","0.0001","1600","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","512","1","4","nature","true","krull","1","84","","0","2500","0","false","krull","1","27000","84","","0","84","0","1","0","0","0","krull","1","0","","0.5","1","0","","84","0","1","256","true","0","10","true","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","0","in","0","0.00015","valid","0","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","444","","0","0","","0","0","1","1","1","standard","0","1","3","0.5","0","","","","","","","","1.626514479249452","1.626514479249452","2.4165460354802413","1.506913527972288","1.0669394240250285","0.3796724438688097","3524.38","3524.38","4534.68","1.5368009573195054","2.3427842042281615","5445","3226.5","1674","0.8728500226551881","1.330620752152243","1.8045714285714287","2.750988290398127","848.9326920315885","","1173.1","1173.1","1633","1093","718","181.51559161680856","0","","","305.67","","","","","","","305.67","","","","","","","","","","","100000","17.657123500156402","","","","","","1.0678569176524877","","","","","","0","","0","","","","","",""
"rosy-planet-26325","16ij4j6u","rosy-planet-26325","finished","-","ankeshanand","","2020-06-13T07:34:06.000Z","11794","","","","","","","32","10","0.99","true","2500","0.0001","1600","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","512","1","4","nature","true","krull","1","84","","0","2500","0","false","krull","1","27000","84","","0","84","0","1","0","0","0","krull","1","0","","0.5","1","0","","84","0","1","256","true","0","10","true","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","0","in","0","0.00015","valid","0","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","101","","0","0","","0","0","1","1","1","standard","0","1","3","0.5","0","","","","","","","","1.6737047503274625","1.6737047503274625","2.3839886207658503","1.6369576441323843","0.334376856889913","0.4180772529395817","3329.6","3329.6","3580.74","1.381412046270443","1.5817630634224171","6374","3379.5","20","0.7845944721341187","0.8983869506116899","1.6221077283372365","1.857367681498829","989.504573006108","","1328.12","1328.12","2088","1412.5","226","329.3660358931989","0","","","286.06","","","","","","","286.06","","","","","","","","","","","100000","16.169270747852327","","","","","","0.9256852045729757","","","","","","0","","0","","","","","",""
"lilac-wildflower-26546","2zwqxosj","lilac-wildflower-26546","finished","-","ankeshanand","","2020-06-13T21:15:45.000Z","15071","","","","","","","32","10","0.99","true","2500","0.0001","1600","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","256","1","4","nature","true","krull","1","84","","0","2500","0","false","krull","1","27000","84","","0","84","0","1","0","0","0","krull","1","0","","0.5","1","0","","84","0","1","256","true","0","10","true","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","0","in","0","0.00015","valid","1","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","123","","0","0","","0","0","1","1","1","standard","0","1","3","0.5","0","","","","","","","","1.5227245962827438","1.5227245962827438","2.0853966107179476","1.630945342342387","0.4201526926543198","0.2974069428051207","3319.15","3319.15","3319.15","1.3730753889110492","1.3730753889110492","4326","3349","60","0.7798595378341641","0.7798595378341641","1.6123185011709602","1.6123185011709602","711.8595138789675","","1362.7","1362.7","1618","1441.5","225","204.0512435639636","0","","","288.69","","","","","","","288.69","","","","","","","","","","","100000","4.431772956774384","","","","","","0.2043870270756539","","","","","","0","","0","","","","","",""
"eager-yogurt-26444","3bauo8go","eager-yogurt-26444","finished","-","ankeshanand","","2020-06-13T21:15:15.000Z","8555","","","","","","","32","10","0.99","true","2500","0.0001","1600","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","256","1","4","nature","true","krull","1","84","","0","2500","0","false","krull","1","27000","84","","0","84","0","1","0","0","0","krull","1","0","","0.5","1","0","","84","0","1","256","true","0","10","true","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","0","in","0","0.00015","valid","1","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","420","","0","0","","0","0","1","1","1","standard","0","1","3","0.5","0","","","","","","","","1.743511398626025","1.743511398626025","2.4616416458911003","1.7226730387095308","1.2037808470890894","0.36130821248295186","3291.24","3291.24","4398.43","1.3508097327483046","2.2340885520542484","5232","3043","1225","0.7672134118713184","1.2688853647485276","1.5861733021077282","2.623353629976581","849.3924431027157","","1206.14","1206.14","2022","1106.5","676","258.048910867688","0","","","288.9","","","","","","","288.9","","","","","","","","","","","100000","5.838723012738675","","","","","","0.33229107574482913","","","","","","0","","0","","","","","",""
"faithful-wave-26529","7y3tinxw","faithful-wave-26529","finished","-","ankeshanand","","2020-06-13T21:15:37.000Z","16143","","","","","","","32","10","0.99","true","2500","0.0001","1600","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","256","1","4","nature","true","krull","1","84","","0","2500","0","false","krull","1","27000","84","","0","84","0","1","0","0","0","krull","1","0","","0.5","1","0","","84","0","1","256","true","0","10","true","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","0","in","0","0.00015","valid","1","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","101","","0","0","","0","0","1","1","1","standard","0","1","3","0.5","0","","","","","","","","1.2723718278473517","1.2723718278473517","1.9950163165118624","1.218486617411836","0.7922919752656209","0.21381191522116696","3273.62","3273.62","3273.62","1.336753091344236","1.336753091344236","4170","3297","1764","0.7592297236067059","0.7592297236067059","1.5696674473067915","1.5696674473067915","470.0415253996183","","1426.83","1426.83","1567","1457.5","1068","110.30394870538406","0","","","283.79","","","","","","","283.79","","","","","","","","","","","100000","4.120192216107994","","","","","","0.22876878134817816","","","","","","0","","0","","","","","",""
