"Name","ID","Name","State","Notes","User","Tags","Created","Runtime","Sweep","agent.eps_eval","agent.eps_final","agent.eps_init","algo.amortization_decay_constant","algo.amortization_loss_weight","algo.batch_size","algo.clip_grad_norm","algo.discount","algo.double_dqn","algo.eps_steps","algo.learning_rate","algo.min_steps_learn","algo.model_nce_weight","algo.model_rl_weight","algo.n_step_return","algo.nce_loss_weight","algo.pri_alpha","algo.pri_beta_steps","algo.prioritized_replay","algo.replay_ratio","algo.replay_size","algo.reward_loss_weight","algo.target_update_interval","algo.target_update_tau","alternating","amortization_decay_constant","amortization_loss_weight","async_sample","aug_prob","augmentation","batch_b","batch_size","batch_t","beluga","buffered_nce","byol","c1","classifier","control","cosine_nce","debug","debug_cuda_idx","der","detach_model","dirichlet_alpha","distributional","dqn_hidden_size","dueling","dynamics_blocks","encoder","env.episodic_lives","env.game","env.grayscale","env.imagesize","env.max_start_noops","env.num_img_obs","env.seed","env.stack_actions","eps_steps","eval_augmentation","eval_env.episodic_lives","eval_env.game","eval_env.grayscale","eval_env.horizon","eval_env.imagesize","eval_env.max_start_noops","eval_env.num_img_obs","eval_env.seed","eval_env.stack_actions","eval_imagesize","eval_simulations","fasteval","film","final_eval_only","frame_dropout","game","global_local_nce","global_nce","gpu_per_run","grad_scale_factor","grayscale","hard_neg_factor","hyperthread_offset","imagesize","jumps","keep_last_frame","latent_size","learn_model","local_nce","max_grad_norm","model.dueling","model.framestack","model_nce_weight","model_rl_weight","momentum_encoder","n_cpu_core","n_gpu","n_socket","n_step","n_steps","nce","nce_loss_decay_steps","nce_loss_weight","nce_loss_weight_final","nce_type","no_rl_augmentation","no_search_control","noisy_nets","norm_type","num_simulations","optim.eps","padding","prioritized_replay","q_dirichlet","replay_ratio","reward_loss_weight","run_slot","runner.log_interval_steps","runner.n_steps","sample_gpu_per_run","sampler.batch_B","sampler.batch_T","sampler.eval_max_steps","sampler.eval_max_trajectories","sampler.eval_n_envs","sampler.max_decorrelation_steps","search_epsilon","seed","set_affinity","shared_encoder","stack_actions","tag","target_augmentation","target_encoder_sn","target_update_interval","target_update_tau","time_contrastive","transition_model","use_all_targets","virtual_loss_c","virtual_threads","visit_temp","AmortizationLoss","CumCompletedTrajs","CumEvalTime","CumReplayRatio","CumSteps","CumTime (s)","CumTrainTime","CumUpdates","DiscountedReturn","DiscountedReturnAverage","DiscountedReturnMax","DiscountedReturnMedian","DiscountedReturnMin","DiscountedReturnStd","GameScore","GameScoreAverage","GameScoreBest","GameScoreDERNormalized","GameScoreDERNormalizedBest","GameScoreMax","GameScoreMedian","GameScoreMin","GameScoreNatureNormalized","GameScoreNatureNormalizedBest","GameScoreNormalized","GameScoreNormalizedBest","GameScoreStd","Iteration","Length","LengthAverage","LengthMax","LengthMedian","LengthMin","LengthStd","ModelNCELoss","NCEAcc","NCELoss","NonzeroRewards","NonzeroRewardsAverage","NonzeroRewardsMax","NonzeroRewardsMedian","NonzeroRewardsMin","NonzeroRewardsStd","ReplayRatio","Return","ReturnAverage","ReturnMax","ReturnMedian","ReturnMin","ReturnStd","RewardLoss","StepsInEval","StepsPerSecond","TrajsInEval","UpdatesPerSecond","cum_steps","gradNorm","gradNormAverage","gradNormMax","gradNormMedian","gradNormMin","gradNormStd","loss","lossAverage","lossMax","lossMedian","lossMin","lossStd","modelGradNorm","modelLoss","modelRLLoss","tdAbsErr","tdAbsErrAverage","tdAbsErrMax","tdAbsErrMedian","tdAbsErrMin","tdAbsErrStd"
"neat-terrain-28502","lyqte5wi","neat-terrain-28502","finished","-","ankeshanand","","2020-06-16T07:54:46.000Z","7437","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","32","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","1","false","0","","1.25","bilinear","false","0","","0","true","1","0.25","1","256","1","4","nature","true","boxing","1","84","","","101","0","50000","0","false","boxing","1","27000","84","","","101","0","84","0","1","0","1","0","boxing","1","0","","0.5","1","0","","84","0","1","256","true","0","10","true","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","1","0","32","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","101","","0","0","","0","0","2000","1","1","standard","0","1","3","0.5","0","","","","","","","","1.1900187532043862","1.1900187532043862","4.071497198598795","1.4459695053768922","-4.40975475652367","1.8435181470860256","29.48","29.48","29.48","293.79999999999995","293.79999999999995","52","28","7","0.4097629009762901","0.4097629009762901","2.4483333333333333","2.4483333333333333","7.287633360700853","","1781.83","1781.83","1785","1782","1778","2.154321238812819","0","","","53.6","","","","","","","26.8","","","","","","","","","","","100000","2.161951561844349","","","","","","0.793203666946292","","","","","","0","","0","","","","","",""
"swift-dragon-28463","1ghft88k","swift-dragon-28463","finished","-","ankeshanand","","2020-06-16T07:54:33.000Z","10298","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","32","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","1","false","0","","1.25","bilinear","false","0","","0","true","1","0.25","1","256","1","4","nature","true","krull","1","84","","","88","0","50000","0","false","krull","1","27000","84","","","88","0","84","0","1","0","1","0","krull","1","0","","0.5","1","0","","84","0","1","256","true","0","10","true","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","1","0","32","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","88","","0","0","","0","0","2000","1","1","standard","0","1","3","0.5","0","","","","","","","","1.7844540505028883","1.7844540505028883","2.4457355121854434","1.749182050182802","1.106821503581517","0.25041326583834367","4047.44","4047.44","4047.44","1.9540805743917031","1.9540805743917031","5571","4231","2108","1.109850475758949","1.109850475758949","2.2945573770491805","2.2945573770491805","787.5379269597115","","1377.12","1377.12","2075","1432.5","871","225.9114994859713","0","","","349.63","","","","","","","349.63","","","","","","","","","","","100000","0.8782362061083316","","","","","","0.4309265759199858","","","","","","0","","0","","","","","",""
"swift-dream-28437","275w5lim","swift-dream-28437","finished","-","ankeshanand","","2020-06-16T07:54:26.000Z","11664","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","32","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","1","false","0","","1.25","bilinear","false","0","","0","true","1","0.25","1","256","1","4","nature","true","krull","1","84","","","444","0","50000","0","false","krull","1","27000","84","","","444","0","84","0","1","0","1","0","krull","1","0","","0.5","1","0","","84","0","1","256","true","0","10","true","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","1","0","32","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","444","","0","0","","0","0","2000","1","1","standard","0","1","3","0.5","0","","","","","","","","1.5704623326147935","1.5704623326147935","2.228607408793007","1.4993534891926843","1.037490123354406","0.32545355424686784","3528.75","3528.75","3528.75","1.5402871958516156","1.5402871958516156","4860","3511.5","1596","0.8748300860897146","0.8748300860897146","1.808665105386417","1.808665105386417","666.0043299408796","","1424.06","1424.06","1942","1438.5","980","173.16228342222797","0","","","299.81","","","","","","","299.81","","","","","","","","","","","100000","0.8018045491069555","","","","","","0.44536328887343407","","","","","","0","","0","","","","","",""
"copper-bush-28517","3l1hodwv","copper-bush-28517","finished","-","ankeshanand","","2020-06-16T07:54:58.000Z","6213","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","32","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","1","false","0","","1.25","bilinear","false","0","","0","true","1","0.25","1","256","1","4","nature","true","krull","1","84","","","420","0","50000","0","false","krull","1","27000","84","","","420","0","84","0","1","0","1","0","krull","1","0","","0.5","1","0","","84","0","1","256","true","0","10","true","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","1","0","32","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","420","","0","0","","0","0","2000","1","1","standard","0","1","3","0.5","0","","","","","","","","1.582969300600408","1.582969300600408","2.0732576364496595","1.5695196780677665","1.2636983441426373","0.21840147206117053","3023.39","3023.39","3023.39","1.1371280414838452","1.1371280414838452","4877","3000","1776","0.6458495695514272","0.6458495695514272","1.3352599531615923","1.3352599531615923","736.5122795310341","","1262.94","1262.94","2058","1226","858","247.51395192998717","0","","","262.1","","","","","","","262.1","","","","","","","","","","","100000","1.0059805518895388","","","","","","0.4383329511098564","","","","","","0","","0","","","","","",""
"genial-disco-28481","2b9nawvz","genial-disco-28481","finished","-","ankeshanand","","2020-06-16T07:54:39.000Z","7149","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","32","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","1","false","0","","1.25","bilinear","false","0","","0","true","1","0.25","1","256","1","4","nature","true","krull","1","84","","","123","0","50000","0","false","krull","1","27000","84","","","123","0","84","0","1","0","1","0","krull","1","0","","0.5","1","0","","84","0","1","256","true","0","10","true","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","1","0","32","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","123","","0","0","","0","0","2000","1","1","standard","0","1","3","0.5","0","","","","","","","","1.6285543492580137","1.6285543492580137","2.4415491267694973","1.623124262899727","0.6536956586625059","0.38667267545001105","3021.1","3021.1","3021.1","1.135301156761069","1.135301156761069","4578","3072","1074","0.644811961939284","0.644811961939284","1.3331147540983606","1.3331147540983606","769.4837295225935","","1298.18","1298.18","1715","1407.5","709","218.94777368130508","0","","","262.45","","","","","","","262.45","","","","","","","","","","","100000","1.0946825236946345","","","","","","0.5036870379060506","","","","","","0","","0","","","","","",""
"stellar-jazz-28428","jy36jbsh","stellar-jazz-28428","finished","-","ankeshanand","","2020-06-16T07:54:23.000Z","6422","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","32","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","1","false","0","","1.25","bilinear","false","0","","0","true","1","0.25","1","256","1","4","nature","true","krull","1","84","","","101","0","50000","0","false","krull","1","27000","84","","","101","0","84","0","1","0","1","0","krull","1","0","","0.5","1","0","","84","0","1","256","true","0","10","true","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","1","0","32","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","101","","0","0","","0","0","2000","1","1","standard","0","1","3","0.5","0","","","","","","","","1.3039333777423736","1.3039333777423736","1.7821768199101933","1.2759806294161695","0.9561451633276612","0.2173061990940365","2993.13","2993.13","2993.13","1.1129876346230556","1.1129876346230556","4419","3154.5","1494","0.632138649750793","0.632138649750793","1.306913348946136","1.306913348946136","681.548144374262","","1351.13","1351.13","2316","1448.5","824","252.45667568911705","0","","","263.24","","","","","","","263.24","","","","","","","","","","","100000","0.9342596328034996","","","","","","0.4616224316716194","","","","","","0","","0","","","","","",""
"treasured-valley-28543","1fsaa6j2","treasured-valley-28543","finished","-","ankeshanand","","2020-06-16T07:59:43.000Z","8327","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","32","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","1","false","0","","1.25","bilinear","false","0","","0","true","1","0.25","1","256","1","4","nature","true","boxing","1","84","","","420","0","50000","0","false","boxing","1","27000","84","","","420","0","84","0","1","0","1","0","boxing","1","0","","0.5","1","0","","84","0","1","256","true","0","10","true","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","1","0","32","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","420","","0","0","","0","0","2000","1","1","standard","0","1","3","0.5","0","","","","","","","","1.1711983791341647","1.1711983791341647","3.7189091204503297","1.1568152008541135","-2.3441753898375692","1.286606248865798","15.1","15.1","15.1","150","150","34","15","-4","0.20920502092050208","0.20920502092050208","1.25","1.25","8.580792504192138","","1781.82","1781.82","1785","1782","1778","2.123110925034299","0","","","64.95","","","","","","","13.47","","","","","","","","","","","100000","1.6502774520754817","","","","","","0.7754630381822586","","","","","","0","","0","","","","","",""
"helpful-dream-28450","iqrj3523","helpful-dream-28450","finished","-","ankeshanand","","2020-06-16T07:54:30.000Z","10794","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","32","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","1","false","0","","1.25","bilinear","false","0","","0","true","1","0.25","1","256","1","4","nature","true","crazy_climber","1","84","","","444","0","50000","0","false","crazy_climber","1","27000","84","","","444","0","84","0","1","0","1","0","crazy_climber","1","0","","0.5","1","0","","84","0","1","256","true","0","10","true","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","1","0","32","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","444","","0","0","","0","0","2000","1","1","standard","0","1","3","0.5","0","","","","","","","","6.836839409125803","6.836839409125803","7.1788014133747176","6.822240305293068","6.099389768059215","0.1720052677649883","41457","41457","41457","5.675788188277088","5.675788188277088","99800","34500","15300","0.29690048150209297","0.29690048150209297","1.2246645561282132","1.2246645561282132","19419.434878492215","","4636.94","4636.94","14176","4328.5","1644","1582.6226639347738","0","","","287.25","","","","","","","287.25","","","","","","","","","","","100000","0.8422458015859127","","","","","","0.6065545604541898","","","","","","0","","0","","","","","",""
"glad-voice-28526","2lc4uv4y","glad-voice-28526","finished","-","ankeshanand","","2020-06-16T07:55:12.000Z","6878","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","32","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","1","false","0","","1.25","bilinear","false","0","","0","true","1","0.25","1","256","1","4","nature","true","jamesbond","1","84","","","88","0","50000","0","false","jamesbond","1","27000","84","","","88","0","84","0","1","0","1","0","jamesbond","1","0","","0.5","1","0","","84","0","1","256","true","0","10","true","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","1","0","32","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","88","","0","0","","0","0","2000","1","1","standard","0","1","3","0.5","0","","","","","","","","0.3622468026383248","0.3622468026383248","0.444120993491795","0.350970058827886","0.14042385728066198","0.06443441908061995","356.5","356.5","356.5","1.201393983859134","1.201393983859134","600","350","150","0.5979550849004929","0.5979550849004929","1.1961285609934258","1.1961285609934258","86.50289012512819","","1548.14","1548.14","2538","1552.5","926","315.8545557689488","0","","","7.13","","","","","","","7.13","","","","","","","","","","","100000","0.9928446212694048","","","","","","0.3311089660875499","","","","","","0","","0","","","","","",""
"rose-water-28538","q7jemspm","rose-water-28538","finished","-","ankeshanand","","2020-06-16T07:56:08.000Z","12303","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","32","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","1","false","0","","1.25","bilinear","false","0","","0","true","1","0.25","1","256","1","4","nature","true","boxing","1","84","","","123","0","50000","0","false","boxing","1","27000","84","","","123","0","84","0","1","0","1","0","boxing","1","0","","0.5","1","0","","84","0","1","256","true","0","10","true","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","1","0","32","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","123","","0","0","","0","0","2000","1","1","standard","0","1","3","0.5","0","","","","","","","","0.0145765377138658","0.0145765377138658","0.6032192848057941","0.009070021493635077","-0.3766067468606892","0.20398656718452335","14.17","14.17","14.17","140.7","140.7","28","14","-1","0.19623430962343097","0.19623430962343097","1.1725","1.1725","5.331144342446563","","1781.6","1781.6","1785","1782","1778","2.1587033144922905","0","","","38.99","","","","","","","13.15","","","","","","","","","","","100000","1.6352072386205196","","","","","","0.7798438160717487","","","","","","0","","0","","","","","",""
