"Name","ID","Name","State","Notes","User","Tags","Created","Runtime","Sweep","agent.eps_eval","agent.eps_final","agent.eps_init","algo.amortization_decay_constant","algo.amortization_loss_weight","algo.batch_size","algo.clip_grad_norm","algo.discount","algo.double_dqn","algo.eps_steps","algo.learning_rate","algo.min_steps_learn","algo.model_nce_weight","algo.model_rl_weight","algo.n_step_return","algo.nce_loss_weight","algo.pri_alpha","algo.pri_beta_steps","algo.prioritized_replay","algo.replay_ratio","algo.replay_size","algo.reward_loss_weight","algo.target_update_interval","algo.target_update_tau","alternating","amortization_decay_constant","amortization_loss_weight","async_sample","aug_prob","augmentation","batch_b","batch_size","batch_t","beluga","buffered_nce","c1","classifier","control","cosine_nce","debug","debug_cuda_idx","der","detach_model","dirichlet_alpha","dueling","dynamics_blocks","encoder","env.episodic_lives","env.game","env.grayscale","env.imagesize","env.num_img_obs","env.stack_actions","eps_steps","eval_augmentation","eval_env.episodic_lives","eval_env.game","eval_env.grayscale","eval_env.horizon","eval_env.imagesize","eval_env.num_img_obs","eval_env.stack_actions","eval_imagesize","eval_simulations","fasteval","film","frame_dropout","game","global_local_nce","global_nce","gpu_per_run","grad_scale_factor","grayscale","hard_neg_factor","hyperthread_offset","imagesize","jumps","keep_last_frame","latent_size","learn_model","local_nce","max_grad_norm","model.dueling","model.framestack","model_nce_weight","model_rl_weight","momentum_encoder","n_cpu_core","n_gpu","n_socket","n_step","n_steps","nce","nce_loss_decay_steps","nce_loss_weight","nce_loss_weight_final","nce_type","no_rl_augmentation","no_search_control","noisy_nets","norm_type","num_simulations","optim.eps","padding","q_dirichlet","replay_ratio","reward_loss_weight","run_slot","runner.log_interval_steps","runner.n_steps","sample_gpu_per_run","sampler.batch_B","sampler.batch_T","sampler.eval_max_steps","sampler.eval_max_trajectories","sampler.eval_n_envs","sampler.max_decorrelation_steps","search_epsilon","seed","set_affinity","shared_encoder","stack_actions","tag","target_augmentation","target_encoder_sn","target_update_interval","target_update_tau","time_contrastive","transition_model","use_all_targets","virtual_loss_c","virtual_threads","visit_temp","AmortizationLoss","CumCompletedTrajs","CumEvalTime","CumReplayRatio","CumSteps","CumTime (s)","CumTrainTime","CumUpdates","DiscountedReturn","DiscountedReturnAverage","DiscountedReturnMax","DiscountedReturnMedian","DiscountedReturnMin","DiscountedReturnStd","GameScore","GameScoreAverage","GameScoreBest","GameScoreDERNormalized","GameScoreDERNormalizedBest","GameScoreMax","GameScoreMedian","GameScoreMin","GameScoreNatureNormalized","GameScoreNatureNormalizedBest","GameScoreNormalized","GameScoreNormalizedBest","GameScoreStd","Iteration","Length","LengthAverage","LengthMax","LengthMedian","LengthMin","LengthStd","ModelNCELoss","NCEAcc","NCELoss","NonzeroRewards","NonzeroRewardsAverage","NonzeroRewardsMax","NonzeroRewardsMedian","NonzeroRewardsMin","NonzeroRewardsStd","ReplayRatio","Return","ReturnAverage","ReturnMax","ReturnMedian","ReturnMin","ReturnStd","RewardLoss","StepsInEval","StepsPerSecond","TrajsInEval","UpdatesPerSecond","cum_steps","gradNorm","gradNormAverage","gradNormMax","gradNormMedian","gradNormMin","gradNormStd","loss","lossAverage","lossMax","lossMedian","lossMin","lossStd","modelGradNorm","modelLoss","modelRLLoss","tdAbsErr","tdAbsErrAverage","tdAbsErrMax","tdAbsErrMedian","tdAbsErrMin","tdAbsErrStd"
"ruby-wildflower-24392","0p7mhg87","ruby-wildflower-24392","finished","-","maxa-schwarzer","","2020-06-11T15:42:08.000Z","3","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","0","0.25","0","1","nature","true","krull","1","84","","0","","0","false","krull","1","27000","84","","0","84","0","1","0","0","krull","1","0","","0.5","1","0","","84","5","1","256","true","0","10","false","","1","0","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","bn","0","0.00015","valid","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","448","","0","0","uat_fixed","0","0","2000","1","0","standard","1","1","3","0.5","0","","","","","","","","1.758784552110635","1.758784552110635","3.105342415004817","1.6491101898069174","1.0309246284893798","0.39637793921831727","3558.42","3558.42","3558.42","1.5639569206222577","1.5639569206222577","4744","3571.5","1436","0.8882736746714998","0.8882736746714998","1.836459016393443","1.836459016393443","649.9693712783703","","1420.83","1420.83","1983","1453.5","720","205.95849363403295","0.20008934436067935","","","309.32","","","","","","","309.32","","","","","","","","","","","100000","0.9943900681555272","","","","","","0.2697820515006781","","","","","","0.5938347579538822","","0","","","","","",""
"trim-surf-24468","mzx8ub17","trim-surf-24468","finished","-","maxa-schwarzer","","2020-06-11T15:49:29.000Z","3","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","0","0.25","0","1","nature","true","road_runner","1","84","","0","50000","0","false","road_runner","1","27000","84","","0","84","0","1","0","0","road_runner","1","0","","0.5","1","0","","84","5","1","256","true","0","10","false","","1","0","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","bn","0","0.00015","valid","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","444","","0","0","uat_fixed","0","0","2000","1","0","standard","1","1","3","0.5","0","","","","","","","","2.209754403662688","2.209754403662688","3.5016348431479094","2.1330863204903188","0.9355611006806556","0.6595395706097145","12195","12195","12195","1.2706367002137977","1.2706367002137977","19900","11800","1400","0.6677536926913485","0.6677536926913485","1.555307333886513","1.555307333886513","3643.4976327699183","","1266.84","1266.84","7963","1149.5","328","840.0300675571083","0.5897144842375069","","","45.52","","","","","","","45.52","","","","","","","","","","","100000","0.9561973706670104","","","","","","0.9219140248462556","","","","","","0.9366079539000988","","0","","","","","",""
"clean-resonance-24394","vs1wnz4r","clean-resonance-24394","finished","-","maxa-schwarzer","","2020-06-11T15:42:20.000Z","3","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","0","0.25","0","1","nature","true","krull","1","84","","0","","0","false","krull","1","27000","84","","0","84","0","1","0","0","krull","1","0","","0.5","1","0","","84","5","1","256","true","0","10","false","","1","0","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","bn","0","0.00015","valid","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","445","","0","0","uat_fixed","0","0","2000","1","0","standard","1","1","3","0.5","0","","","","","","","","1.524888548831823","1.524888548831823","2.755009023220557","1.556691870412758","0.6647070322357079","0.4156141208393791","3101.85","3101.85","3101.85","1.1997207818109292","1.1997207818109292","4141","3149.5","1383","0.6814000906207521","0.6814000906207521","1.4087587822014052","1.4087587822014052","561.26646746443","","1367.26","1367.26","1742","1444.5","720","167.1266358184715","0.16998172292262315","","","266.73","","","","","","","266.73","","","","","","","","","","","100000","1.1713195543587207","","","","","","0.3305062282014638","","","","","","0.6199757805719972","","0","","","","","",""
"sweet-music-24469","kvgmlvxg","sweet-music-24469","finished","-","maxa-schwarzer","","2020-06-11T15:49:35.000Z","3","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","0","0.25","0","1","nature","true","road_runner","1","84","","0","50000","0","false","road_runner","1","27000","84","","0","84","0","1","0","0","road_runner","1","0","","0.5","1","0","","84","5","1","256","true","0","10","false","","1","0","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","bn","0","0.00015","valid","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","445","","0","0","uat_fixed","0","0","2000","1","0","standard","1","1","3","0.5","0","","","","","","","","2.435727959378142","2.435727959378142","4.16183480927649","2.4283310757951604","0.8041691688912262","0.8731729570557354","10495","10495","10495","1.0933409813839494","1.0933409813839494","16300","10100","7100","0.5745800334329013","0.5745800334329013","1.3382906746664964","1.3382906746664964","1644.4679990805537","","1023.02","1023.02","1208","1023.5","886","55.42237454313917","0.5292650601282716","","","43.95","","","","","","","43.95","","","","","","","","","","","100000","1.6828334462180734","","","","","","0.9077167092375458","","","","","","0.8775325902618468","","0","","","","","",""
"absurd-glitter-24458","f9sbo2xs","absurd-glitter-24458","finished","-","maxa-schwarzer","","2020-06-11T15:48:32.000Z","2","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","0","0.25","0","1","nature","true","jamesbond","1","84","","0","50000","0","false","jamesbond","1","27000","84","","0","84","0","1","0","0","jamesbond","1","0","","0.5","1","0","","84","5","1","256","true","0","10","false","","1","0","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","bn","0","0.00015","valid","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","447","","0","0","uat_fixed","0","0","2000","1","0","standard","1","1","3","0.5","0","","","","","","","","0.3587209032914211","0.3587209032914211","0.42674404147236544","0.3814818918506124","0.17514208254703778","0.05898199322375688","377","377","377","1.276595744680851","1.276595744680851","650","350","200","0.6353843344896841","0.6353843344896841","1.2710007304601898","1.2710007304601898","100.1049449328054","","1364.49","1364.49","1988","1360","828","290.85572007440385","0.34771094681061804","","","7.54","","","","","","","7.54","","","","","","","","","","","100000","0.6921970029987394","","","","","","0.3709491368036717","","","","","","0.7197118890166283","","0","","","","","",""
"driven-meadow-24391","0uzia65e","driven-meadow-24391","finished","-","maxa-schwarzer","","2020-06-11T15:42:02.000Z","4","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","0","0.25","0","1","nature","true","krull","1","84","","0","","0","false","krull","1","27000","84","","0","84","0","1","0","0","krull","1","0","","0.5","1","0","","84","5","1","256","true","0","10","false","","1","0","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","bn","0","0.00015","valid","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","447","","0","0","uat_fixed","0","0","2000","1","0","standard","1","1","3","0.5","0","","","","","","","","1.3530104381051222","1.3530104381051222","2.1049152791082006","1.3651909259106545","0.31062916292299886","0.36550516738778704","2918.93","2918.93","2918.93","1.0537933785400877","1.0537933785400877","3945","3113.5","60","0.5985183507023107","0.5985183507023107","1.2374051522248242","1.2374051522248242","736.1950727218974","","1303.22","1303.22","1495","1437","223","233.4634695193233","0.17955318865459413","","","250.74","","","","","","","250.74","","","","","","","","","","","100000","1.0717954109460115","","","","","","0.36007067577019336","","","","","","0.6277080268651247","","0","","","","","",""
"easy-shape-24393","749nv7ej","easy-shape-24393","finished","-","maxa-schwarzer","","2020-06-11T15:42:14.000Z","3","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","0","0.25","0","1","nature","true","krull","1","84","","0","","0","false","krull","1","27000","84","","0","84","0","1","0","0","krull","1","0","","0.5","1","0","","84","5","1","256","true","0","10","false","","1","0","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","bn","0","0.00015","valid","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","446","","0","0","uat_fixed","0","0","2000","1","0","standard","1","1","3","0.5","0","","","","","","","","1.1228033760350251","1.1228033760350251","2.1044940077769394","0.9855206402785492","0.595952149919629","0.4649170506634547","2754.55","2754.55","2754.55","0.9226565616274433","0.9226565616274433","5130","2916","828","0.5240371545083825","0.5240371545083825","1.083419203747073","1.083419203747073","841.4010384471842","","1836.3","1836.3","4070","1778.5","931","578.9758285110009","0.2196756424564868","","","240.04","","","","","","","240.04","","","","","","","","","","","100000","1.1197883589312434","","","","","","0.4635322981543839","","","","","","0.6658190791293979","","0","","","","","",""
"jolly-monkey-24471","5xv0c3f3","jolly-monkey-24471","finished","-","maxa-schwarzer","","2020-06-11T15:49:46.000Z","3","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","0","0.25","0","1","nature","true","road_runner","1","84","","0","50000","0","false","road_runner","1","27000","84","","0","84","0","1","0","0","road_runner","1","0","","0.5","1","0","","84","5","1","256","true","0","10","false","","1","0","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","bn","0","0.00015","valid","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","447","","0","0","uat_fixed","0","0","2000","1","0","standard","1","1","3","0.5","0","","","","","","","","2.6438421765419475","2.6438421765419475","3.8330828130153254","2.833116677353344","0.6016829414605409","0.7932228548680823","7711","7711","7711","0.8029931689002451","0.8029931689002451","12800","8000","2600","0.4219944643884794","0.4219944643884794","0.982893980979128","0.982893980979128","2632.029445124047","","858.28","858.28","1190","869","441","220.19755130336944","0.5307619163587689","","","33.88","","","","","","","33.88","","","","","","","","","","","100000","1.1182515086732805","","","","","","0.8834374009028078","","","","","","0.8723157324418426","","0","","","","","",""
"jolly-blaze-24472","9jw6s9uw","jolly-blaze-24472","finished","-","maxa-schwarzer","","2020-06-11T15:49:51.000Z","3","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","0","0.25","0","1","nature","true","road_runner","1","84","","0","50000","0","false","road_runner","1","27000","84","","0","84","0","1","0","0","road_runner","1","0","","0.5","1","0","","84","5","1","256","true","0","10","false","","1","0","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","bn","0","0.00015","valid","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","448","","0","0","uat_fixed","0","0","2000","1","0","standard","1","1","3","0.5","0","","","","","","","","2.0765406324050835","2.0765406324050835","4.306698194067502","1.9012944524638056","0.9749797258992094","0.784429878621845","7554","7554","7554","0.7866193878083121","0.7866193878083121","12000","8200","1300","0.4133896029157874","0.4133896029157874","0.9628518542158676","0.9628518542158676","2689.067496363749","","875.13","875.13","1261","970","359","218.5414676897728","0.5322564761221409","","","32.1","","","","","","","32.1","","","","","","","","","","","100000","1.9826643398083748","","","","","","0.9528514637641609","","","","","","0.8436630507975816","","0","","","","","",""
"dutiful-bird-24453","82k2e5ug","dutiful-bird-24453","finished","-","maxa-schwarzer","","2020-06-11T15:48:02.000Z","3","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","0","0.25","0","1","nature","true","jamesbond","1","84","","0","50000","0","false","jamesbond","1","27000","84","","0","84","0","1","0","0","jamesbond","1","0","","0.5","1","0","","84","5","1","256","true","0","10","false","","1","0","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","bn","0","0.00015","valid","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","444","","0","0","uat_fixed","0","0","2000","1","0","standard","1","1","3","0.5","0","","","","","","","","0.2730391212776327","0.2730391212776327","0.4152476892638505","0.3462015326030626","0","0.14356983202188145","280.5","280.5","280.5","0.9225972120322816","0.9225972120322816","500","300","0","0.4591929888625159","0.4591929888625159","0.918553688823959","0.918553688823959","99.47235796943792","","1258.41","1258.41","1963","1236","639","267.2255637097619","0.32599664786532523","","","5.61","","","","","","","5.61","","","","","","","","","","","100000","0.6638010761618615","","","","","","0.36799620768018065","","","","","","0.6297275545932353","","0","","","","","",""
