"Name","ID","Name","State","Notes","User","Tags","Created","Runtime","Sweep","agent.eps_eval","agent.eps_final","agent.eps_init","algo.amortization_decay_constant","algo.amortization_loss_weight","algo.batch_size","algo.clip_grad_norm","algo.discount","algo.double_dqn","algo.eps_steps","algo.learning_rate","algo.min_steps_learn","algo.model_nce_weight","algo.model_rl_weight","algo.n_step_return","algo.nce_loss_weight","algo.pri_alpha","algo.pri_beta_steps","algo.prioritized_replay","algo.replay_ratio","algo.replay_size","algo.reward_loss_weight","algo.target_update_interval","algo.target_update_tau","alternating","amortization_decay_constant","amortization_loss_weight","async_sample","aug_prob","augmentation","batch_b","batch_size","batch_t","beluga","buffered_nce","c1","classifier","control","cosine_nce","debug","debug_cuda_idx","der","detach_model","dirichlet_alpha","distributional","dqn_hidden_size","dueling","dynamics_blocks","encoder","env.episodic_lives","env.game","env.grayscale","env.imagesize","env.num_img_obs","env.stack_actions","eps_steps","eval_augmentation","eval_env.episodic_lives","eval_env.game","eval_env.grayscale","eval_env.horizon","eval_env.imagesize","eval_env.num_img_obs","eval_env.stack_actions","eval_imagesize","eval_simulations","fasteval","film","final_eval_only","frame_dropout","game","global_local_nce","global_nce","gpu_per_run","grad_scale_factor","grayscale","hard_neg_factor","hyperthread_offset","imagesize","jumps","keep_last_frame","latent_size","learn_model","local_nce","max_grad_norm","model.dueling","model.framestack","model_nce_weight","model_rl_weight","momentum_encoder","n_cpu_core","n_gpu","n_socket","n_step","n_steps","nce","nce_loss_decay_steps","nce_loss_weight","nce_loss_weight_final","nce_type","no_rl_augmentation","no_search_control","noisy_nets","norm_type","num_simulations","optim.eps","padding","prioritized_replay","q_dirichlet","replay_ratio","reward_loss_weight","run_slot","runner.log_interval_steps","runner.n_steps","sample_gpu_per_run","sampler.batch_B","sampler.batch_T","sampler.eval_max_steps","sampler.eval_max_trajectories","sampler.eval_n_envs","sampler.max_decorrelation_steps","search_epsilon","seed","set_affinity","shared_encoder","stack_actions","tag","target_augmentation","target_encoder_sn","target_update_interval","target_update_tau","time_contrastive","transition_model","use_all_targets","virtual_loss_c","virtual_threads","visit_temp","AmortizationLoss","CumCompletedTrajs","CumEvalTime","CumReplayRatio","CumSteps","CumTime (s)","CumTrainTime","CumUpdates","DiscountedReturn","DiscountedReturnAverage","DiscountedReturnMax","DiscountedReturnMedian","DiscountedReturnMin","DiscountedReturnStd","GameScore","GameScoreAverage","GameScoreBest","GameScoreDERNormalized","GameScoreDERNormalizedBest","GameScoreMax","GameScoreMedian","GameScoreMin","GameScoreNatureNormalized","GameScoreNatureNormalizedBest","GameScoreNormalized","GameScoreNormalizedBest","GameScoreStd","Iteration","Length","LengthAverage","LengthMax","LengthMedian","LengthMin","LengthStd","ModelNCELoss","NCEAcc","NCELoss","NonzeroRewards","NonzeroRewardsAverage","NonzeroRewardsMax","NonzeroRewardsMedian","NonzeroRewardsMin","NonzeroRewardsStd","ReplayRatio","Return","ReturnAverage","ReturnMax","ReturnMedian","ReturnMin","ReturnStd","RewardLoss","StepsInEval","StepsPerSecond","TrajsInEval","UpdatesPerSecond","cum_steps","gradNorm","gradNormAverage","gradNormMax","gradNormMedian","gradNormMin","gradNormStd","loss","lossAverage","lossMax","lossMedian","lossMin","lossStd","modelGradNorm","modelLoss","modelRLLoss","tdAbsErr","tdAbsErrAverage","tdAbsErrMax","tdAbsErrMedian","tdAbsErrMin","tdAbsErrStd"
"effortless-plant-27401","s8r8ji4x","effortless-plant-27401","finished","-","maxa-schwarzer","","2020-06-15T16:00:14.000Z","3","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","0","0.25","0","","1","1","nature","true","kung_fu_master","1","84","","0","50000","0","false","kung_fu_master","1","27000","84","","0","84","0","1","0","1","0","kung_fu_master","0","1","","0.5","1","0","","84","5","1","256","true","0","10","true","","1","0","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","bn","0","0.00015","valid","","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","444","","0","0","g_uat_both_aug_no_dist","1","0","1","1","0","standard","both","1","3","0.5","0","","","","","","","","1.0764180676326256","1.0764180676326256","1.3662560477955454","1.1983841861995297","0.3415419051363713","0.2461287449568711","18577","18577","18577","1.300327947982623","1.300327947982623","49300","15350","4400","0.796058492492884","0.796058492492884","0.8149596490759772","0.8149596490759772","7479.14239736081","","3059.23","3059.23","6672","2666","1407","931.1217949871004","0.15499590278342365","","","105.79","","","","","","","105.79","","","","","","","","","","","100000","0.9633511659119278","","","","","","0.03246434045525675","","","","","","0.6051965560311452","","0","","","","","",""
"fresh-haze-27363","nnvbkd6h","fresh-haze-27363","finished","-","maxa-schwarzer","","2020-06-15T15:56:07.000Z","2","","","","","","","32","10","0.99","true","10000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","0","0.25","0","","1","1","nature","true","kung_fu_master","1","84","","0","10000","0","false","kung_fu_master","1","27000","84","","0","84","0","1","0","1","0","kung_fu_master","0","1","","0.5","1","0","","84","5","1","256","true","0","10","true","","1","0","0","","1","","10","100000","1","50000","1","-1","custom","0","0","0","bn","0","0.00015","valid","","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","101","","0","0","eps10k_g_uat_aug_no_dist","1","0","1","1","0","standard","1","1","3","0.5","0","","","","","","","","0.9268207424029756","0.9268207424029756","1.566561518063478","0.7234040075315622","0.16970525714005874","0.4655875262943225","18263","18263","18263","1.2780388426701497","1.2780388426701497","37500","18000","5300","0.7824131412554592","0.7824131412554592","0.8009903104396338","0.8009903104396338","7152.5891116434195","","2488.48","2488.48","4263","2515.5","1119","725.2147885971439","1.4464985461711883","","","92.92","","","","","","","92.92","","","","","","","","","","","100000","0.3530725247463211","","","","","","0.04053675463399268","","","","","","0.06469570160437216","","0","","","","","",""
"electric-pyramid-27566","yssn6s2q","electric-pyramid-27566","finished","-","maxa-schwarzer","","2020-06-15T16:17:26.000Z","3","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","0","0.25","0","","1","1","nature","true","bank_heist","1","84","","0","50000","0","false","bank_heist","1","27000","84","","0","84","0","1","0","1","0","bank_heist","0","1","","0.5","1","0","","84","5","1","256","true","0","10","true","","1","0","1","","1","","10","100000","1","50000","1","-1","custom","0","0","1","bn","0","0.00015","valid","","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","444","","0","0","g_uat_momentum_aug_no_dist","1","0","1","1","0","standard","1","1","3","0.5","0","","","","","","","","4.082997202930756","4.082997202930756","4.329774495972814","4.105942088857033","3.3176580265124405","0.1023252107483038","586.9","586.9","586.9","15.5625","15.5625","730","580","430","1.3783393501805052","1.3783393501805052","0.7750710515631343","0.7750710515631343","55.54628700462344","","1763.41","1763.41","1997","1769.5","1424","128.65606048686553","0.04574095026275463","","","58.63","","","","","","","58.63","","","","","","","","","","","100000","0.7820208608636633","","","","","","0.013907956064827158","","","","","","0.9494172648341396","","0","","","","","",""
"iconic-puddle-27605","cf6s03bc","iconic-puddle-27605","finished","-","maxa-schwarzer","","2020-06-15T16:21:39.000Z","2","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","0","0.25","0","","1","1","nature","true","kung_fu_master","1","84","","0","50000","0","false","kung_fu_master","1","27000","84","","0","84","0","1","0","1","0","kung_fu_master","0","1","","0.5","1","0","","84","5","1","256","true","0","10","true","","1","0","1","","1","","10","100000","1","50000","1","-1","custom","0","0","1","bn","0","0.00015","valid","","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","123","","0","0","g_uat_momentum_aug_no_dist","1","0","1","1","0","standard","1","1","3","0.5","0","","","","","","","","0.997431165649893","0.997431165649893","1.3322195599402962","1.0385460050449171","0.294569896545365","0.18802455971823165","17588","17588","17588","1.230124364689514","1.230124364689514","39400","15150","3100","0.7530799817482563","0.7530799817482563","0.770960681205456","0.770960681205456","6206.307759046436","","2710.74","2710.74","4899","2479","1039","720.226709029872","0.03746357459216015","","","91.33","","","","","","","91.33","","","","","","","","","","","100000","0.8353540172948501","","","","","","0.03213636355295021","","","","","","0.6680610066124937","","0","","","","","",""
"generous-yogurt-27643","u7vvnq6x","generous-yogurt-27643","finished","-","maxa-schwarzer","","2020-06-15T16:25:28.000Z","2","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","32","1000000","","1","1","","0","0","false","1","[""intensity""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","0","0.25","0","","1","1","nature","true","kung_fu_master","1","84","","0","50000","0","false","kung_fu_master","1","27000","84","","0","84","0","1","0","1","0","kung_fu_master","0","1","","0.5","1","0","","84","5","1","256","true","0","10","true","","1","0","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","bn","0","0.00015","valid","","0","32","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","88","","0","0","g_uat_int_32_no_dist","1","0","1","1","0","standard","1","1","3","0.5","0","","","","","","","","1.50505530953104","1.50505530953104","1.7701818467507633","1.548865887787542","0.5934504861118081","0.2332505961321792","17563","17563","17563","1.228349754393935","1.228349754393935","27600","15200","4400","0.7519935684331747","0.7519935684331747","0.7698484727153013","0.7698484727153013","4874.785226038169","","2463.83","2463.83","3289","2327.5","1142","397.6276161183979","0.02345806128746318","","","87.76","","","","","","","87.76","","","","","","","","","","","100000","0.7723981389915571","","","","","","0.03995983614403522","","","","","","0.22263413710731547","","0","","","","","",""
"fanciful-moon-27406","76upd7xp","fanciful-moon-27406","finished","-","maxa-schwarzer","","2020-06-15T16:00:45.000Z","2","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","0","0.25","0","","1","1","nature","true","kung_fu_master","1","84","","0","50000","0","false","kung_fu_master","1","27000","84","","0","84","0","1","0","1","0","kung_fu_master","0","1","","0.5","1","0","","84","5","1","256","true","0","10","true","","1","0","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","bn","0","0.00015","valid","","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","123","","0","0","g_uat_both_aug_no_dist","1","0","1","1","0","standard","both","1","3","0.5","0","","","","","","","","1.2847790498573055","1.2847790498573055","1.4660426260703991","1.362990257769847","0.4714217615267316","0.1830415861263965","17434","17434","17434","1.2191927652687469","1.2191927652687469","33800","16050","7000","0.7463876757273538","0.7463876757273538","0.764109476906103","0.764109476906103","5297.1165741372915","","2679.71","2679.71","4923","2559","1641","574.5803215391213","0.12813375282629855","","","87.18","","","","","","","87.18","","","","","","","","","","","100000","0.8840926202744246","","","","","","0.03344886989431106","","","","","","0.5660600633379071","","0","","","","","",""
"bumbling-surf-27405","f7jcm12w","bumbling-surf-27405","finished","-","maxa-schwarzer","","2020-06-15T16:00:38.000Z","3","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","0","0.25","0","","1","1","nature","true","kung_fu_master","1","84","","0","50000","0","false","kung_fu_master","1","27000","84","","0","84","0","1","0","1","0","kung_fu_master","0","1","","0.5","1","0","","84","5","1","256","true","0","10","true","","1","0","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","bn","0","0.00015","valid","","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","88","","0","0","g_uat_both_aug_no_dist","1","0","1","1","0","standard","both","1","3","0.5","0","","","","","","","","0.819828714342458","0.819828714342458","1.6964138180469404","0.866552008184102","0.04439729173352021","0.594378556327302","17029","17029","17029","1.1904440784803656","1.1904440784803656","31800","16000","6600","0.728787780023032","0.728787780023032","0.7460916993655963","0.7460916993655963","6469.935007401543","","2515.05","2515.05","4208","2342","1474","599.6342947997554","0.15927233420880513","","","85.09","","","","","","","85.09","","","","","","","","","","","100000","1.2187916615922003","","","","","","0.04419526233645738","","","","","","0.5963235197724774","","0","","","","","",""
"lyric-energy-27255","uhwr6un7","lyric-energy-27255","finished","-","maxa-schwarzer","","2020-06-14T22:10:59.000Z","2","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","0","0.25","0","","1","1","nature","true","kung_fu_master","1","84","","0","50000","0","false","kung_fu_master","1","27000","84","","0","84","0","1","0","1","0","kung_fu_master","0","1","","0.5","1","0","","84","5","1","256","true","0","10","true","","1","0","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","bn","0","0.00015","valid","","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","88","","0","0","g_uat_aug_no_dist","1","0","1","1","0","standard","1","1","3","0.5","0","","","","","","","","1.071893396465824","1.071893396465824","1.387356551057194","1.1444077033011366","0.2745381543154435","0.21415130209885835","16214","16214","16214","1.1325917828444874","1.1325917828444874","27000","16100","800","0.6933707059513722","0.6933707059513722","0.7098337025865521","0.7098337025865521","4604.9760042805865","","2670.5","2670.5","3810","2648.5","828","501.0611838887543","0.20421726222266445","","","81.07","","","","","","","81.07","","","","","","","","","","","100000","1.1208417144138365","","","","","","0.03500984836255084","","","","","","0.7358936589743942","","0","","","","","",""
"dulcet-water-27365","ocqj9132","dulcet-water-27365","finished","-","maxa-schwarzer","","2020-06-15T15:56:20.000Z","3","","","","","","","32","10","0.99","true","10000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","0","0.25","0","","1","1","nature","true","kung_fu_master","1","84","","0","10000","0","false","kung_fu_master","1","27000","84","","0","84","0","1","0","1","0","kung_fu_master","0","1","","0.5","1","0","","84","5","1","256","true","0","10","true","","1","0","0","","1","","10","100000","1","50000","1","-1","custom","0","0","0","bn","0","0.00015","valid","","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","123","","0","0","eps10k_g_uat_aug_no_dist","1","0","1","1","0","standard","1","1","3","0.5","0","","","","","","","","1.4269135837648408","1.4269135837648408","1.486363940921043","1.429146110370946","1.2285317445341648","0.04123053757977467","16183","16183","16183","1.1303912660779694","1.1303912660779694","26600","16500","7400","0.692023553440671","0.692023553440671","0.7084545640587602","0.7084545640587602","3780.7685726582104","","3451.98","3451.98","4912","3621","2104","575.5746516308723","1.4599847054362296","","","161.2","","","","","","","161.2","","","","","","","","","","","100000","0.4433024069141597","","","","","","0.05616243192066904","","","","","","0.06359088110753709","","0","","","","","",""
"vivid-sun-27238","x0ikeghi","vivid-sun-27238","finished","-","maxa-schwarzer","","2020-06-14T22:09:29.000Z","2","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","0","0.25","0","","1","1","nature","true","bank_heist","1","84","","0","50000","0","false","bank_heist","1","27000","84","","0","84","0","1","0","1","0","bank_heist","0","1","","0.5","1","0","","84","5","1","256","true","0","10","true","","1","0","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","bn","0","0.00015","valid","","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","444","","0","0","g_uat_aug_no_dist","1","0","1","1","0","standard","1","1","3","0.5","0","","","","","","","","4.50978392663988","4.50978392663988","4.667392211812531","4.632137254415778","2.1563263494932","0.4806576925607216","534.6","534.6","534.6","14.141304347826088","14.141304347826088","680","560","100","1.2524669073405534","1.2524669073405534","0.7042901610502098","0.7042901610502098","120.90012406941524","","1684.8","1684.8","3115","1648.5","1165","240.14428995918263","0.33875409046784044","","","53.3","","","","","","","53.3","","","","","","","","","","","100000","0.8554625147502869","","","","","","0.01577045250978845","","","","","","0.8386693793602288","","0","","","","","",""
