"Name","ID","Name","State","Notes","User","Tags","Created","Runtime","Sweep","agent.eps_eval","agent.eps_final","agent.eps_init","algo.amortization_decay_constant","algo.amortization_loss_weight","algo.batch_size","algo.clip_grad_norm","algo.discount","algo.double_dqn","algo.eps_steps","algo.learning_rate","algo.min_steps_learn","algo.model_nce_weight","algo.model_rl_weight","algo.n_step_return","algo.nce_loss_weight","algo.pri_alpha","algo.pri_beta_steps","algo.prioritized_replay","algo.replay_ratio","algo.replay_size","algo.reward_loss_weight","algo.target_update_interval","algo.target_update_tau","alternating","amortization_decay_constant","amortization_loss_weight","async_sample","aug_prob","augmentation","batch_b","batch_size","batch_t","beluga","buffered_nce","c1","classifier","control","cosine_nce","debug","debug_cuda_idx","der","detach_model","dirichlet_alpha","dueling","dynamics_blocks","encoder","env.episodic_lives","env.game","env.grayscale","env.imagesize","env.num_img_obs","env.stack_actions","eval_augmentation","eval_env.episodic_lives","eval_env.game","eval_env.grayscale","eval_env.horizon","eval_env.imagesize","eval_env.num_img_obs","eval_env.stack_actions","eval_imagesize","eval_simulations","fasteval","film","frame_dropout","game","global_local_nce","global_nce","gpu_per_run","grayscale","hyperthread_offset","imagesize","jumps","keep_last_frame","latent_size","learn_model","local_nce","max_grad_norm","model.dueling","model.framestack","model_nce_weight","model_rl_weight","momentum_encoder","n_cpu_core","n_gpu","n_socket","n_step","n_steps","nce","nce_loss_decay_steps","nce_loss_weight","nce_loss_weight_final","nce_type","no_rl_augmentation","no_search_control","noisy_nets","norm_type","num_simulations","optim.eps","padding","q_dirichlet","replay_ratio","reward_loss_weight","run_slot","runner.log_interval_steps","runner.n_steps","sample_gpu_per_run","sampler.batch_B","sampler.batch_T","sampler.eval_max_steps","sampler.eval_max_trajectories","sampler.eval_n_envs","sampler.max_decorrelation_steps","search_epsilon","seed","set_affinity","shared_encoder","stack_actions","tag","target_augmentation","target_encoder_sn","target_update_interval","target_update_tau","time_contrastive","transition_model","virtual_loss_c","virtual_threads","visit_temp","AmortizationLoss","CumCompletedTrajs","CumEvalTime","CumReplayRatio","CumSteps","CumTime (s)","CumTrainTime","CumUpdates","DiscountedReturn","DiscountedReturnAverage","DiscountedReturnMax","DiscountedReturnMedian","DiscountedReturnMin","DiscountedReturnStd","GameScore","GameScoreAverage","GameScoreDERNormalized","GameScoreMax","GameScoreMedian","GameScoreMin","GameScoreNatureNormalized","GameScoreNormalized","GameScoreStd","Iteration","Length","LengthAverage","LengthMax","LengthMedian","LengthMin","LengthStd","ModelNCELoss","NCEAcc","NCELoss","NonzeroRewards","NonzeroRewardsAverage","NonzeroRewardsMax","NonzeroRewardsMedian","NonzeroRewardsMin","NonzeroRewardsStd","ReplayRatio","Return","ReturnAverage","ReturnMax","ReturnMedian","ReturnMin","ReturnStd","RewardLoss","StepsInEval","StepsPerSecond","TrajsInEval","UpdatesPerSecond","cum_steps","gradNorm","gradNormAverage","gradNormMax","gradNormMedian","gradNormMin","gradNormStd","loss","lossAverage","lossMax","lossMedian","lossMin","lossStd","modelGradNorm","modelLoss","modelRLLoss","tdAbsErr","tdAbsErrAverage","tdAbsErrMax","tdAbsErrMedian","tdAbsErrMin","tdAbsErrStd"
"expert-sunset-20487","knbhjo3a","expert-sunset-20487","finished","-","maxa-schwarzer","","2020-06-03T15:54:11.000Z","2","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","5","","0.5","100000","true","128","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","4","nature","true","seaquest","1","84","","0","0","false","seaquest","1","27000","84","","0","84","0","1","0","0","seaquest","1","0","","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","5","100000","1","50000","1","-1","custom","0","0","1","ln","0","0.00015","valid","0","128","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","448","","0","0","","0","0","2000","1","1","standard","1","3","0.5","","","","","","","","","0.3668001192728386","","","","","","73","","","","","","","","","","505.23","","","","","","","","","3.61","","","","","","","3.61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"still-lion-20486","i3e0ez8z","still-lion-20486","finished","-","maxa-schwarzer","","2020-06-03T15:54:08.000Z","2","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","5","","0.5","100000","true","128","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","4","nature","true","freeway","1","84","","0","0","false","freeway","1","27000","84","","0","84","0","1","0","0","freeway","1","0","","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","5","100000","1","50000","1","-1","custom","0","0","1","ln","0","0.00015","valid","0","128","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","445","","0","0","","0","0","2000","1","1","standard","1","3","0.5","","","","","","","","","0","","","","","","0","","","","","","","","","","2043.78","","","","","","","","","0","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fancy-meadow-20485","gz04r705","fancy-meadow-20485","finished","-","maxa-schwarzer","","2020-06-03T15:54:05.000Z","2","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","5","","0.5","100000","true","128","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","4","nature","true","jamesbond","1","84","","0","0","false","jamesbond","1","27000","84","","0","84","0","1","0","0","jamesbond","1","0","","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","5","100000","1","50000","1","-1","custom","0","0","1","ln","0","0.00015","valid","0","128","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","448","","0","0","","0","0","2000","1","1","standard","1","3","0.5","0","","","","","","","","0.27012115996935226","0.27012115996935226","0.3980367098200691","0.31292746319646425","0","0.11045342881514936","199.5","199.5","0.6254585473220836","450","200","0","0.3113018075588826","0.622717311906501","96.04556210465948","","1038.9","1038.9","1791","1013","594","255.10419439907292","0","","","3.99","","","","","","","3.99","","","","","","","","","","","100000","0.8976178621575236","","","","","","0.4261499989086762","","","","","","0","","0","","","","","",""
"splendid-donkey-20484","5xgalto3","splendid-donkey-20484","finished","-","maxa-schwarzer","","2020-06-03T15:54:01.000Z","3","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","5","","0.5","100000","true","128","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","4","nature","true","amidar","1","84","","0","0","false","amidar","1","27000","84","","0","84","0","1","0","0","amidar","1","0","","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","5","100000","1","50000","1","-1","custom","0","0","1","ln","0","0.00015","valid","0","128","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","446","","0","0","","0","0","2000","1","1","standard","1","3","0.5","","","","","","","","","0.1468981622880381","","","","","","1.81","","","","","","","","","","562.36","","","","","","","","","0.9","","","","","","","0.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"revived-cosmos-20483","i71lv3ug","revived-cosmos-20483","finished","-","maxa-schwarzer","","2020-06-03T15:53:57.000Z","3","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","5","","0.5","100000","true","128","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","4","nature","true","jamesbond","1","84","","0","0","false","jamesbond","1","27000","84","","0","84","0","1","0","0","jamesbond","1","0","","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","5","100000","1","50000","1","-1","custom","0","0","1","ln","0","0.00015","valid","0","128","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","445","","0","0","","0","0","2000","1","1","standard","1","3","0.5","0","","","","","","","","0.21144505963080237","0.21144505963080237","0.41724641029399534","0.23092829738139123","0","0.12994455386883616","133","133","0.3815113719735877","400","150","0","0.1898849735256527","0.3798392987582177","72.8766080440082","","821.48","821.48","1281","772.5","527","202.2831915904038","0","","","2.66","","","","","","","2.66","","","","","","","","","","","100000","0.9641778083588928","","","","","","0.4185053816054016","","","","","","0","","0","","","","","",""
"noble-valley-20482","nzjcz6pb","noble-valley-20482","finished","-","maxa-schwarzer","","2020-06-03T15:53:54.000Z","2","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","5","","0.5","100000","true","128","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","4","nature","true","freeway","1","84","","0","0","false","freeway","1","27000","84","","0","84","0","1","0","0","freeway","1","0","","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","5","100000","1","50000","1","-1","custom","0","0","1","ln","0","0.00015","valid","0","128","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","447","","0","0","","0","0","2000","1","1","standard","1","3","0.5","","","","","","","","","3.3349424635315317e-10","","","","","","0.01","","","","","","","","","","2044.14","","","","","","","","","0.01","","","","","","","0.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"glorious-smoke-20481","r9qmhqkz","glorious-smoke-20481","finished","-","maxa-schwarzer","","2020-06-03T15:53:50.000Z","3","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","5","","0.5","100000","true","128","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","4","nature","true","pong","1","84","","0","0","false","pong","1","27000","84","","0","84","0","1","0","0","pong","1","0","","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","5","100000","1","50000","1","-1","custom","0","0","1","ln","0","0.00015","valid","0","128","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","444","","0","0","","0","0","2000","1","1","standard","1","3","0.5","0","","","","","","","","-0.1566911933307592","-0.1566911933307592","0.650874573405862","-0.1760831140457862","-0.5358178551937032","0.3287708403643339","-2.63","-2.63","12.90714285714287","6","-3","-12","0.4563131313131314","0.5118980169971672","4.406029959044764","","3001.29","3001.29","6690","3052.5","2320","423.8967396666315","0","","","37.71","","","","","","","-2.63","","","","","","","","","","","100000","4.9755306508973245","","","","","","0.6400713996477425","","","","","","0","","0","","","","","",""
"lively-surf-20480","ierierhw","lively-surf-20480","finished","-","maxa-schwarzer","","2020-06-03T15:53:46.000Z","3","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","5","","0.5","100000","true","128","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","4","nature","true","assault","1","84","","0","0","false","assault","1","27000","84","","0","84","0","1","0","0","assault","1","0","","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","5","100000","1","50000","1","-1","custom","0","0","1","ln","0","0.00015","valid","0","128","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","444","","0","0","","0","0","2000","1","1","standard","1","3","0.5","0","","","","","","","","3.607591938608207","3.607591938608207","4.85258633960432","3.6809926134690727","1.7203305017918031","0.5924144278120912","336.21","336.21","0.545067049808429","504","336","168","0.03628451189185742","0.21903387220939177","87.11811464902118","","564.57","564.57","893","580.5","283","113.7190621663756","0","","","16.01","","","","","","","16.01","","","","","","","","","","","100000","1.9244115288242696","","","","","","0.7830375261802226","","","","","","0","","0","","","","","",""
"autumn-forest-20479","7wjozd4s","autumn-forest-20479","finished","-","maxa-schwarzer","","2020-06-03T15:53:41.000Z","3","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","5","","0.5","100000","true","128","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","4","nature","true","kangaroo","1","84","","0","0","false","kangaroo","1","27000","84","","0","84","0","1","0","0","kangaroo","1","0","","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","5","100000","1","50000","1","-1","custom","0","0","1","ln","0","0.00015","valid","0","128","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","444","","0","0","","0","0","2000","1","1","standard","1","3","0.5","0","","","","","","","","0.1641549727596371","0.1641549727596371","0.22363928418500623","0.21256015194947775","0.00951420223135018","0.08756369953878052","3654","3654","4.952564278839544","6200","4100","400","0.5385765550239234","1.2075092189071404","1708.2985687519615","","1653.15","1653.15","2461","1745","580","528.8079873640336","0","","","18.27","","","","","","","18.27","","","","","","","","","","","100000","1.847611477561295","","","","","","0.3863980447931215","","","","","","0","","0","","","","","",""
"firm-wildflower-20478","wgr9ejz0","firm-wildflower-20478","finished","-","maxa-schwarzer","","2020-06-03T15:53:37.000Z","2","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","5","","0.5","100000","true","128","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","4","nature","true","asterix","1","84","","0","0","false","asterix","1","27000","84","","0","84","0","1","0","0","asterix","1","0","","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","5","100000","1","50000","1","-1","custom","0","0","1","ln","0","0.00015","valid","0","128","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","445","","0","0","","0","0","2000","1","1","standard","1","3","0.5","0","","","","","","","","7.850831362202832","7.850831362202832","10.348164053196102","8.334972936810253","5.2445475953396965","1.2132716776804156","762.5","762.5","2.1184815950920246","1150","750","300","0.09522578421234056","0.06662004268505903","226.5364209128413","","340.93","340.93","538","336","203","79.99665680514406","0","","","15","","","","","","","15","","","","","","","","","","","100000","0.9394189853549004","","","","","","0.872923796929419","","","","","","0","","0","","","","","",""
