"Name","ID","Name","State","Notes","User","Tags","Created","Runtime","Sweep","agent.eps_eval","agent.eps_final","agent.eps_init","algo.amortization_decay_constant","algo.amortization_loss_weight","algo.batch_size","algo.clip_grad_norm","algo.discount","algo.double_dqn","algo.eps_steps","algo.learning_rate","algo.min_steps_learn","algo.model_nce_weight","algo.model_rl_weight","algo.n_step_return","algo.nce_loss_weight","algo.pri_alpha","algo.pri_beta_steps","algo.prioritized_replay","algo.replay_ratio","algo.replay_size","algo.reward_loss_weight","algo.target_update_interval","algo.target_update_tau","alternating","amortization_decay_constant","amortization_loss_weight","async_sample","aug_prob","augmentation","batch_b","batch_size","batch_t","beluga","buffered_nce","c1","classifier","control","cosine_nce","debug","debug_cuda_idx","der","detach_model","dirichlet_alpha","dueling","dynamics_blocks","encoder","env.episodic_lives","env.game","env.grayscale","env.imagesize","env.num_img_obs","env.stack_actions","eval_augmentation","eval_env.episodic_lives","eval_env.game","eval_env.grayscale","eval_env.horizon","eval_env.imagesize","eval_env.num_img_obs","eval_env.stack_actions","eval_imagesize","eval_simulations","fasteval","film","frame_dropout","game","global_local_nce","global_nce","gpu_per_run","grad_scale_factor","grayscale","hyperthread_offset","imagesize","jumps","keep_last_frame","latent_size","learn_model","local_nce","max_grad_norm","model.dueling","model.framestack","model_nce_weight","model_rl_weight","momentum_encoder","n_cpu_core","n_gpu","n_socket","n_step","n_steps","nce","nce_loss_decay_steps","nce_loss_weight","nce_loss_weight_final","nce_type","no_rl_augmentation","no_search_control","noisy_nets","norm_type","num_simulations","optim.eps","padding","q_dirichlet","replay_ratio","reward_loss_weight","run_slot","runner.log_interval_steps","runner.n_steps","sample_gpu_per_run","sampler.batch_B","sampler.batch_T","sampler.eval_max_steps","sampler.eval_max_trajectories","sampler.eval_n_envs","sampler.max_decorrelation_steps","search_epsilon","seed","set_affinity","shared_encoder","stack_actions","tag","target_augmentation","target_encoder_sn","target_update_interval","target_update_tau","time_contrastive","transition_model","use_all_targets","virtual_loss_c","virtual_threads","visit_temp","AmortizationLoss","CumCompletedTrajs","CumEvalTime","CumReplayRatio","CumSteps","CumTime (s)","CumTrainTime","CumUpdates","DiscountedReturn","DiscountedReturnAverage","DiscountedReturnMax","DiscountedReturnMedian","DiscountedReturnMin","DiscountedReturnStd","GameScore","GameScoreAverage","GameScoreBest","GameScoreDERNormalized","GameScoreDERNormalizedBest","GameScoreMax","GameScoreMedian","GameScoreMin","GameScoreNatureNormalized","GameScoreNatureNormalizedBest","GameScoreNormalized","GameScoreNormalizedBest","GameScoreStd","Iteration","Length","LengthAverage","LengthMax","LengthMedian","LengthMin","LengthStd","ModelNCELoss","NCEAcc","NCELoss","NonzeroRewards","NonzeroRewardsAverage","NonzeroRewardsMax","NonzeroRewardsMedian","NonzeroRewardsMin","NonzeroRewardsStd","ReplayRatio","Return","ReturnAverage","ReturnMax","ReturnMedian","ReturnMin","ReturnStd","RewardLoss","StepsInEval","StepsPerSecond","TrajsInEval","UpdatesPerSecond","cum_steps","gradNorm","gradNormAverage","gradNormMax","gradNormMedian","gradNormMin","gradNormStd","loss","lossAverage","lossMax","lossMedian","lossMin","lossStd","modelGradNorm","modelLoss","modelRLLoss","tdAbsErr","tdAbsErrAverage","tdAbsErrMax","tdAbsErrMedian","tdAbsErrMin","tdAbsErrStd"
"neat-sea-14223","17o6ssri","neat-sea-14223","finished","-","ankeshanand","","2020-05-31T05:28:28.000Z","57503","","0.001","0","0","","","64","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","32","1000000","","2000","1","","0","0","false","1","[""none""]","1","64","","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","4","nature","true","up_n_down","1","84","","0","0","false","up_n_down","1","27000","84","","0","84","0","1","0","0","up_n_down","1","0","","","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","1000000","1","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","0","32","1","","1000000","50000000","","16","2","2800000","100","100","1000","0.01","444","","0","0","","0","0","2000","1","1","standard","","1","3","0.5","0","","","","","","","","","7.139918594269889","8.326377094889612","7.00575304271759","5.954053600184068","0.7121506198203665","","132806.3","","","","259800","129960","20480","","","11.852622806860335","","55522.211837335875","","","14770.11","27001","14627","3189","5722.351341703863","0","","","","","","","","","","","","","","","","","","","","","1000000","1.7225659986642003","","","","","","0.741922874095738","","","","","","0","","0","","","","","",""
"visionary-shape-20234","19i2xo36","visionary-shape-20234","finished","-","ankeshanand","","2020-06-02T10:58:32.000Z","124738","","0.001","0","0","","","64","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","32","1000000","","2000","1","","0","0","false","1","[""none""]","1","64","","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","4","nature","true","up_n_down","1","84","","0","0","false","up_n_down","1","27000","84","","0","84","0","1","0","0","up_n_down","1","0","","","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","1000000","1","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","0","32","1","","1000000","50000000","","16","2","2800000","100","100","1000","0.01","101","","0","0","","0","0","2000","1","1","standard","","1","3","0.5","0","","","","","","","","","6.833708783333818","7.418057492957135","6.907393735654368","6.068883871997917","0.3378491544676509","","117111.7","","","","257880","117905","20100","","","10.446271438556243","","48382.0336086651","","","13330.41","27001","13416","3351","5026.809714112919","0","","","","","","","","","","","","","","","","","","","","","1000000","1.6582089605790378","","","","","","0.7351050414593517","","","","","","0","","0","","","","","",""
"stellar-sea-13290","3op9le2i","stellar-sea-13290","finished","-","ankeshanand","1M steps run","2020-05-28T02:48:59.000Z","74198","","0.001","0","0","","","64","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","32","1000000","","2000","1","","0","0","false","1","[""none""]","1","64","","false","0","1.25","bilinear","false","0","true","0","","1","0.25","0","4","nature","true","up_n_down","1","84","","0","0","false","up_n_down","1","27000","84","","0","84","0","","0","0","up_n_down","1","0","","","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","1000000","1","","1","","custom","0","0","1","in","0","0.00015","valid","0","32","1","","1000000","50000000","","16","2","2000000","100","100","1000","0.01","444","","0","0","","0","","2000","1","1","standard","","1","3","0.5","0","","","","","","","","","6.534045259613171","7.496834175601756","6.47905613920497","5.42974240663667","0.5122764118114462","","111110.60240963857","","","","184840","121010","6660","","","9.908529042602783","","43072.9925823427","","","12929.253012048192","19958","13765","1337","4493.496684549483","0","","","","","","","","","","","","","","","","","","","","","1000000","1.4193260608142615","","","","","","0.7235331940600276","","","","","","0","","0","","","","","",""
"drawn-waterfall-13562","mxuq50ee","drawn-waterfall-13562","finished","-","ankeshanand","1M steps run","2020-05-29T21:28:57.000Z","92217","","0.001","0","0","","","64","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","32","1000000","","2000","1","","0","0","false","1","[""none""]","1","64","","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","4","nature","true","boxing","1","84","","0","0","false","boxing","1","27000","84","","0","84","0","","0","0","boxing","1","0","","","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","1000000","1","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","0","32","1","","1000000","50000000","","16","2","2000000","100","100","1000","0.01","123","","0","0","","0","0","2000","1","1","standard","","1","3","0.5","0","","","","","","","","","10.030877173094629","18.246346472374658","10.2261932462611","2.234305242525369","3.0970810804327056","","92.43","","","","100","94","77","","","7.694166666666668","","5.593308502130023","","","594.7","800","581","456","86.7984446865265","0","","","","","","","","","","","","","","","","","","","","","1000000","1.2278769843681157","","","","","","0.8177711404338479","","","","","","0","","0","","","","","",""
"unique-river-21502","2ukap5kf","unique-river-21502","finished","-","ankeshanand","","2020-06-05T07:23:15.000Z","55673","","0.001","0","0","","","64","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","32","1000000","","2000","1","","0","0","false","1","[""none""]","1","64","2","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","4","nature","true","boxing","1","84","","0","0","false","boxing","1","27000","84","","0","84","0","1","0","0","boxing","1","0","","","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","1000000","1","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","0","32","1","","1000000","50000000","","1","2","2800000","100","100","1000","0.01","420","","0","0","","0","0","2000","1","1","standard","","1","3","0.5","0","","","","","","","","6.697776450457931","6.697776450457931","16.3102770657677","6.077620766833686","0.8079104142393391","3.736923813842775","86.18","86.18","87.8","860.8000000000001","877","100","91","51","1.200557880055788","1.223152022315202","7.173333333333335","7.308333333333334","11.326411611803628","","408.29","408.29","1020","363","231","148.04825530886882","0","","","59.26","","","","","","","43.74","","","","","","","","","","","1000000","1.2869992531785368","","","","","","0.6706927982738614","","","","","","0","","0","","","","","",""
"comfy-meadow-20068","16nbst2x","comfy-meadow-20068","finished","-","ankeshanand","","2020-06-02T03:30:48.000Z","114157","","0.001","0","0","","","64","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","32","1000000","","2000","1","","0","0","false","1","[""none""]","1","64","","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","4","nature","true","boxing","1","84","","0","0","false","boxing","1","27000","84","","0","84","0","1","0","0","boxing","1","0","","","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","1000000","1","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","0","32","1","","1000000","50000000","","16","2","2800000","100","100","1000","0.01","123","","0","0","","0","0","2000","1","1","standard","","1","3","0.5","0","","","","","","","","","4.953944351318192","6.567901427104793","5.455076025646677","-0.4379319243225333","1.4177709834615746","","80.89","","","","98","80.5","40","","","6.732500000000001","","10.366190235568707","","","1154.53","1783","1157","857","180.5280285717428","0","","","","","","","","","","","","","","","","","","","","","1000000","1.1275105857478085","","","","","","0.7341198135063052","","","","","","0","","0","","","","","",""
"wobbly-snow-21721","3amfmxec","wobbly-snow-21721","finished","-","ankeshanand","","2020-06-05T16:29:32.000Z","50180","","0.001","0","0","","","64","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","32","1000000","","2000","1","","0","0","false","1","[""none""]","1","64","2","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","4","nature","true","boxing","1","84","","0","0","false","boxing","1","27000","84","","0","84","0","1","0","0","boxing","1","0","","","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","1000000","1","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","0","32","1","","1000000","50000000","","1","2","2800000","100","100","1000","0.01","123","","0","0","","0","0","2000","1","1","standard","","1","3","0.5","0","","","","","","","","5.084196126337724","5.084196126337724","12.37858377117091","5.206043889209608","-1.5444900775931707","3.305688161472667","77.83","77.83","77.83","777.3","777.3","93","79","30","1.0841004184100418","1.0841004184100418","6.4775","6.4775","10.589669494370446","","1310.2","1310.2","1785","1345","792","255.13337688354304","0","","","100.41","","","","","","","70.19","","","","","","","","","","","1000000","1.6190917545258998","","","","","","0.7695004829934239","","","","","","0","","0","","","","","",""
"atomic-elevator-21707","3etgner5","atomic-elevator-21707","finished","-","ankeshanand","","2020-06-05T15:27:04.000Z","37488","","0.001","0","0","","","64","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","32","1000000","","2000","1","","0","0","false","1","[""none""]","1","64","2","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","4","nature","true","boxing","1","84","","0","0","false","boxing","1","27000","84","","0","84","0","1","0","0","boxing","1","0","","","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","1000000","1","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","0","32","1","","1000000","50000000","","1","2","2800000","100","100","1000","0.01","88","","0","0","","0","0","2000","1","1","standard","","1","3","0.5","0","","","","","","","","3.353410105129546","3.353410105129546","7.009542631726031","3.3065208247368476","-0.8471633092036314","1.8945204761941845","74.47","74.47","75.5","743.7","754","92","76","46","1.0372384937238497","1.0516039051603905","6.197500000000001","6.283333333333334","10.925616687400304","","1757.01","1757.01","1786","1780","1524","57.45563418847624","0","","","104.28","","","","","","","72.54","","","","","","","","","","","1000000","1.3581636149048806","","","","","","0.7449612186086177","","","","","","0","","0","","","","","",""
"earthy-river-13533","1vdfpdy0","earthy-river-13533","finished","-","ankeshanand","1M steps run","2020-05-29T21:28:46.000Z","51149","","0.001","0","0","","","64","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","32","1000000","","2000","1","","0","0","false","1","[""none""]","1","64","","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","4","nature","true","boxing","1","84","","0","0","false","boxing","1","27000","84","","0","84","0","","0","0","boxing","1","0","","","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","1000000","1","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","0","32","1","","1000000","50000000","","16","2","2000000","100","100","1000","0.01","101","","0","0","","0","0","2000","1","1","standard","","1","3","0.5","0","","","","","","","","","1.656161232899445","6.127032200894923","1.733495136801367","-0.7128986940324531","1.2556835789045562","","66.13","","","","94","65","37","","","5.5025","","10.649558676302036","","","1777.15","1786","1782","1599","26.902555640682163","0","","","","","","","","","","","","","","","","","","","","","1000000","1.3483794280233978","","","","","","0.6615885705785454","","","","","","0","","0","","","","","",""
"likely-brook-21550","1wfyoyxh","likely-brook-21550","finished","-","ankeshanand","","2020-06-05T07:23:25.000Z","56832","","0.001","0","0","","","64","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","32","1000000","","2000","1","","0","0","false","1","[""none""]","1","64","2","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","4","nature","true","boxing","1","84","","0","0","false","boxing","1","27000","84","","0","84","0","1","0","0","boxing","0","0","","","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","1000000","0","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","0","32","1","","1000000","50000000","","1","2","2800000","100","100","1000","0.01","420","","0","0","","0","0","2000","1","0","standard","","1","3","0.5","0","","","","","","","","1.6050719267520046","1.6050719267520046","4.85096718420791","1.402740049297495","-1.5207194657211278","1.6076630627686284","65.5","65.5","66.39","654","662.9","99","66","4","0.9121338912133892","0.9245467224546724","5.45","5.524166666666667","17.083032517676713","","1771.04","1771.04","1786","1781","1509","40.77546321012184","0","","","88.38","","","","","","","58.38","","","","","","","","","","","1000000","0.16074296495363116","","","","","","0.7179327667412162","","","","","","0","","0","","","","","",""
