"Name","ID","Name","State","Notes","User","Tags","Created","Runtime","Sweep","agent.eps_eval","agent.eps_final","agent.eps_init","algo.amortization_decay_constant","algo.amortization_loss_weight","algo.batch_size","algo.clip_grad_norm","algo.discount","algo.double_dqn","algo.eps_steps","algo.learning_rate","algo.min_steps_learn","algo.model_nce_weight","algo.model_rl_weight","algo.n_step_return","algo.nce_loss_weight","algo.pri_alpha","algo.pri_beta_steps","algo.prioritized_replay","algo.replay_ratio","algo.replay_size","algo.reward_loss_weight","algo.target_update_interval","algo.target_update_tau","alternating","amortization_decay_constant","amortization_loss_weight","async_sample","aug_prob","augmentation","batch_b","batch_size","batch_t","beluga","buffered_nce","c1","classifier","control","cosine_nce","debug","debug_cuda_idx","der","detach_model","dirichlet_alpha","dueling","dynamics_blocks","encoder","env.episodic_lives","env.game","env.grayscale","env.imagesize","env.num_img_obs","env.stack_actions","eval_augmentation","eval_env.episodic_lives","eval_env.game","eval_env.grayscale","eval_env.horizon","eval_env.imagesize","eval_env.num_img_obs","eval_env.stack_actions","eval_imagesize","eval_simulations","fasteval","film","frame_dropout","game","global_local_nce","global_nce","gpu_per_run","grayscale","hyperthread_offset","imagesize","jumps","keep_last_frame","latent_size","learn_model","local_nce","max_grad_norm","model.dueling","model.framestack","model_nce_weight","model_rl_weight","momentum_encoder","n_cpu_core","n_gpu","n_socket","n_step","n_steps","nce","nce_loss_decay_steps","nce_loss_weight","nce_loss_weight_final","nce_type","no_rl_augmentation","no_search_control","noisy_nets","norm_type","num_simulations","optim.eps","padding","q_dirichlet","replay_ratio","reward_loss_weight","run_slot","runner.log_interval_steps","runner.n_steps","sample_gpu_per_run","sampler.batch_B","sampler.batch_T","sampler.eval_max_steps","sampler.eval_max_trajectories","sampler.eval_n_envs","sampler.max_decorrelation_steps","search_epsilon","seed","set_affinity","shared_encoder","stack_actions","tag","target_augmentation","target_encoder_sn","target_update_interval","target_update_tau","time_contrastive","transition_model","virtual_loss_c","virtual_threads","visit_temp","AmortizationLoss","CumCompletedTrajs","CumEvalTime","CumReplayRatio","CumSteps","CumTime (s)","CumTrainTime","CumUpdates","DiscountedReturn","DiscountedReturnAverage","DiscountedReturnMax","DiscountedReturnMedian","DiscountedReturnMin","DiscountedReturnStd","GameScore","GameScoreAverage","GameScoreBest","GameScoreDERNormalized","GameScoreDERNormalizedBest","GameScoreMax","GameScoreMedian","GameScoreMin","GameScoreNatureNormalized","GameScoreNatureNormalizedBest","GameScoreNormalized","GameScoreNormalizedBest","GameScoreStd","Iteration","Length","LengthAverage","LengthMax","LengthMedian","LengthMin","LengthStd","ModelNCELoss","NCEAcc","NCELoss","NonzeroRewards","NonzeroRewardsAverage","NonzeroRewardsMax","NonzeroRewardsMedian","NonzeroRewardsMin","NonzeroRewardsStd","ReplayRatio","Return","ReturnAverage","ReturnMax","ReturnMedian","ReturnMin","ReturnStd","RewardLoss","StepsInEval","StepsPerSecond","TrajsInEval","UpdatesPerSecond","cum_steps","gradNorm","gradNormAverage","gradNormMax","gradNormMedian","gradNormMin","gradNormStd","loss","lossAverage","lossMax","lossMedian","lossMin","lossStd","modelGradNorm","modelLoss","modelRLLoss","tdAbsErr","tdAbsErrAverage","tdAbsErrMax","tdAbsErrMedian","tdAbsErrMin","tdAbsErrStd"
"polished-waterfall-20664","36qry7py","polished-waterfall-20664","finished","-","ankeshanand","","2020-06-05T05:35:29.000Z","25114","","0.001","0","0","","","64","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","32","1000000","","2000","1","","0","0","false","1","[""none""]","1","64","","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","4","nature","true","alien","1","84","","0","0","false","alien","1","27000","84","","0","84","0","1","0","0","alien","0","0","","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","1000000","0","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","0","32","1","","1000000","50000000","","16","2","2800000","100","100","1000","0.01","123","","0","0","","0","0","2000","1","0","standard","1","3","0.5","0","","","","","","","","","17.948720171372077","19.069252538137658","18.2099801162694","14.30050753452943","0.8761865485205798","","1105.4","","","","2870","850","420","","","0.12719024913404545","","488.26103674161834","","","820.61","1234","809","430","138.33653855724452","0","","","","","","","","","","","","","","","","","","","","","1000000","0.2445207892445661","","","","","","0.3251643259128928","","","","","","0","","0","","","","","",""
"deft-dragon-20663","25cki4yr","deft-dragon-20663","finished","-","ankeshanand","","2020-06-05T05:26:43.000Z","25029","","0.001","0","0","","","64","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","32","1000000","","2000","1","","0","0","false","1","[""none""]","1","64","","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","4","nature","true","krull","1","84","","0","0","false","krull","1","27000","84","","0","84","0","1","0","0","krull","0","0","","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","1000000","0","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","0","32","1","","1000000","50000000","","16","2","2800000","100","100","1000","0.01","444","","0","0","","0","0","2000","1","0","standard","1","3","0.5","0","","","","","","","","","1.6922890672869482","2.962960523670219","1.6474509954501166","0.9102915032376035","0.43587096080877263","","2743.58","","","","4394","3071","70","","","1.0731428571428572","","1246.6088895880696","","","1125.52","1883","1140.5","208","375.33908616076747","0","","","","","","","","","","","","","","","","","","","","","1000000","0.3934271630697697","","","","","","0.17975848737426103","","","","","","0","","0","","","","","",""
"fancy-cosmos-20662","3kzo2qfg","fancy-cosmos-20662","finished","-","ankeshanand","","2020-06-05T04:55:41.000Z","27448","","0.001","0","0","","","64","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","32","1000000","","2000","1","","0","0","false","1","[""none""]","1","64","","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","4","nature","true","private_eye","1","84","","0","0","false","private_eye","1","27000","84","","0","84","0","1","0","0","private_eye","0","0","","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","1000000","0","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","0","32","1","","1000000","50000000","","16","2","2800000","100","100","1000","0.01","444","","0","0","","0","0","2000","1","0","standard","1","3","0.5","0","","","","","","","","","0.7342634201740769","0.7662052175811648","0.7393547538780885","0.6857330477407411","0.01889021389682946","","200","","","","200","200","200","","","0.0025177435496301745","","0","","","2694.36","2698","2694","2690","2.137849386650051","0","","","","","","","","","","","","","","","","","","","","","1000000","0.04656182655837387","","","","","","0.1168925865694508","","","","","","0","","0","","","","","",""
"sleek-cherry-20661","1dgnctep","sleek-cherry-20661","finished","-","ankeshanand","","2020-06-05T04:33:51.000Z","25748","","0.001","0","0","","","64","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","32","1000000","","2000","1","","0","0","false","1","[""none""]","1","64","","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","4","nature","true","road_runner","1","84","","0","0","false","road_runner","1","27000","84","","0","84","0","1","0","0","road_runner","0","0","","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","1000000","0","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","0","32","1","","1000000","50000000","","16","2","2800000","100","100","1000","0.01","420","","0","0","","0","0","2000","1","0","standard","1","3","0.5","0","","","","","","","","","6.758452095867832","9.692875994474722","6.5249851549781805","5.033006124701697","1.2587439250527026","","15916","","","","28900","16100","6100","","","2.03031850386162","","4807.8003286326275","","","856.02","3111","825","440","385.6991568567398","0","","","","","","","","","","","","","","","","","","","","","1000000","0.40425639395881446","","","","","","0.5533237034539878","","","","","","0","","0","","","","","",""
"resilient-wind-20660","3v6vyreq","resilient-wind-20660","finished","-","ankeshanand","","2020-06-05T04:20:08.000Z","24426","","0.001","0","0","","","64","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","32","1000000","","2000","1","","0","0","false","1","[""none""]","1","64","","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","4","nature","true","gopher","1","84","","0","0","false","gopher","1","27000","84","","0","84","0","1","0","0","gopher","0","0","","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","1000000","0","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","0","32","1","","1000000","50000000","","16","2","2800000","100","100","1000","0.01","88","","0","0","","0","0","2000","1","0","standard","1","3","0.5","0","","","","","","","","","0.8326344060056567","1.0837233304682965","0.7986788919521517","0.6524791283664294","0.09677996373188008","","521.8","","","","960","580","160","","","0.12260429718316392","","170.74179336061806","","","982.5","1529","1118.5","668","263.75099999810425","0","","","","","","","","","","","","","","","","","","","","","1000000","0.19046658481109888","","","","","","0.6036386822337657","","","","","","0","","0","","","","","",""
"faithful-fog-20659","3bocoip4","faithful-fog-20659","finished","-","ankeshanand","","2020-06-04T23:10:35.000Z","24919","","0.001","0","0","","","64","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","32","1000000","","2000","1","","0","0","false","1","[""none""]","1","64","","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","4","nature","true","kangaroo","1","84","","0","0","false","kangaroo","1","27000","84","","0","84","0","1","0","0","kangaroo","0","0","","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","1000000","0","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","0","32","1","","1000000","50000000","","16","2","2800000","100","100","1000","0.01","101","","0","0","","0","0","2000","1","0","standard","1","3","0.5","0","","","","","","","","","0.4939461806557018","0.5137956832033073","0.4927904343086161","0.4733558247874377","0.011030674015218737","","1894","","","","2600","1800","1600","","","0.6174991619175327","","219.9181665983963","","","713","947","682","677","72.04692915038086","0","","","","","","","","","","","","","","","","","","","","","1000000","0.04977036330397241","","","","","","0.31696359009683134","","","","","","0","","0","","","","","",""
"still-sponge-20658","3fkjnytw","still-sponge-20658","finished","-","ankeshanand","","2020-06-04T22:36:02.000Z","25029","","0.001","0","0","","","64","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","32","1000000","","2000","1","","0","0","false","1","[""none""]","1","64","","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","4","nature","true","gopher","1","84","","0","0","false","gopher","1","27000","84","","0","84","0","1","0","0","gopher","0","0","","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","1000000","0","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","0","32","1","","1000000","50000000","","16","2","2800000","100","100","1000","0.01","123","","0","0","","0","0","2000","1","0","standard","1","3","0.5","0","","","","","","","","","1.1859760435144684","1.3111290845011896","1.190193427616725","0.8817530794448274","0.07790522611947691","","884","","","","1600","820","360","","","0.29068634275372407","","257.6819745345025","","","1427.82","5636","1371.5","663","500.3384130765896","0","","","","","","","","","","","","","","","","","","","","","1000000","0.21199985229752957","","","","","","0.5490398981678486","","","","","","0","","0","","","","","",""
"dulcet-lion-20617","19mdeoeb","dulcet-lion-20617","finished","-","ankeshanand","","2020-06-04T22:08:50.000Z","26133","","0.001","0","0","","","64","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","32","1000000","","2000","1","","0","0","false","1","[""none""]","1","64","","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","4","nature","true","krull","1","84","","0","0","false","krull","1","27000","84","","0","84","0","1","0","0","krull","0","0","","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","1000000","0","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","0","32","1","","1000000","50000000","","16","2","2800000","100","100","1000","0.01","420","","0","0","","0","0","2000","1","0","standard","1","3","0.5","0","","","","","","","","","1.8251616440297451","2.68408242841827","1.749463759390804","0.7739146137094378","0.26421205556642935","","3751.98","","","","5073","4001.5","70","","","2.0177798594847776","","766.3002672582073","","","1372.77","1944","1455.5","236","206.9050436794618","0","","","","","","","","","","","","","","","","","","","","","1000000","0.373272549693808","","","","","","0.1570034041884914","","","","","","0","","0","","","","","",""
"worldly-silence-20616","veomp490","worldly-silence-20616","finished","-","ankeshanand","","2020-06-04T21:44:18.000Z","25745","","0.001","0","0","","","64","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","32","1000000","","2000","1","","0","0","false","1","[""none""]","1","64","","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","4","nature","true","hero","1","84","","0","0","false","hero","1","27000","84","","0","84","0","1","0","0","hero","0","0","","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","1000000","0","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","0","32","1","","1000000","50000000","","16","2","2800000","100","100","1000","0.01","420","","0","0","","0","0","2000","1","0","standard","1","3","0.5","0","","","","","","","","","19.123102103230163","22.42416095042424","21.09164926421274","12.625572539981574","3.6677426325645186","","12391.05","","","","13890","13820","7620","","","0.381351637952442","","2608.8233262334957","","","861.33","971","942","603","142.04471514280286","0","","","","","","","","","","","","","","","","","","","","","1000000","0.07629367305694149","","","","","","0.22939218582481147","","","","","","0","","0","","","","","",""
"fanciful-durian-20615","1zezjs78","fanciful-durian-20615","finished","-","ankeshanand","","2020-06-04T21:16:44.000Z","25261","","0.001","0","0","","","64","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","32","1000000","","2000","1","","0","0","false","1","[""none""]","1","64","","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","4","nature","true","qbert","1","84","","0","0","false","qbert","1","27000","84","","0","84","0","1","0","0","qbert","0","0","","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","1000000","0","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","0","32","1","","1000000","50000000","","16","2","2800000","100","100","1000","0.01","88","","0","0","","0","0","2000","1","0","standard","1","3","0.5","0","","","","","","","","","3.1454966808320477","3.3196641454482783","3.1569675713310996","1.0503178061661305","0.2261044683784412","","166.75","","","","175","175","125","","","0.00021442920450527","","12.275483697190918","","","350.59","370","363","253","22.621270963409643","0","","","","","","","","","","","","","","","","","","","","","1000000","0.0886362165611796","","","","","","0.3100969040635228","","","","","","0","","0","","","","","",""
