"Name","ID","Name","State","Notes","User","Tags","Created","Runtime","Sweep","agent.eps_eval","agent.eps_final","agent.eps_init","algo.amortization_decay_constant","algo.amortization_loss_weight","algo.batch_size","algo.clip_grad_norm","algo.discount","algo.double_dqn","algo.eps_steps","algo.learning_rate","algo.min_steps_learn","algo.model_nce_weight","algo.model_rl_weight","algo.n_step_return","algo.nce_loss_weight","algo.pri_alpha","algo.pri_beta_steps","algo.prioritized_replay","algo.replay_ratio","algo.replay_size","algo.reward_loss_weight","algo.target_update_interval","algo.target_update_tau","alternating","amortization_decay_constant","amortization_loss_weight","async_sample","aug_prob","augmentation","batch_b","batch_size","batch_t","beluga","buffered_nce","byol","c1","classifier","control","cosine_nce","debug","debug_cuda_idx","der","detach_model","dirichlet_alpha","distributional","dqn_hidden_size","dueling","dynamics_blocks","encoder","env.episodic_lives","env.game","env.grayscale","env.imagesize","env.max_start_noops","env.num_img_obs","env.seed","env.stack_actions","eps_steps","eval_augmentation","eval_env.episodic_lives","eval_env.game","eval_env.grayscale","eval_env.horizon","eval_env.imagesize","eval_env.max_start_noops","eval_env.num_img_obs","eval_env.seed","eval_env.stack_actions","eval_imagesize","eval_simulations","fasteval","film","final_eval_only","frame_dropout","game","global_local_nce","global_nce","gpu_per_run","grad_scale_factor","grayscale","hard_neg_factor","hyperthread_offset","imagesize","jumps","keep_last_frame","latent_size","learn_model","local_nce","max_grad_norm","model.dueling","model.framestack","model_nce_weight","model_rl_weight","momentum_encoder","n_cpu_core","n_gpu","n_socket","n_step","n_steps","nce","nce_loss_decay_steps","nce_loss_weight","nce_loss_weight_final","nce_type","no_rl_augmentation","no_search_control","noisy_nets","norm_type","num_simulations","optim.eps","padding","prioritized_replay","q_dirichlet","replay_ratio","reward_loss_weight","run_slot","runner.log_interval_steps","runner.n_steps","sample_gpu_per_run","sampler.batch_B","sampler.batch_T","sampler.eval_max_steps","sampler.eval_max_trajectories","sampler.eval_n_envs","sampler.max_decorrelation_steps","search_epsilon","seed","set_affinity","shared_encoder","stack_actions","tag","target_augmentation","target_encoder_sn","target_update_interval","target_update_tau","time_contrastive","transition_model","use_all_targets","virtual_loss_c","virtual_threads","visit_temp","AmortizationLoss","CumCompletedTrajs","CumEvalTime","CumReplayRatio","CumSteps","CumTime (s)","CumTrainTime","CumUpdates","DiscountedReturn","DiscountedReturnAverage","DiscountedReturnMax","DiscountedReturnMedian","DiscountedReturnMin","DiscountedReturnStd","GameScore","GameScoreAverage","GameScoreBest","GameScoreDERNormalized","GameScoreDERNormalizedBest","GameScoreMax","GameScoreMedian","GameScoreMin","GameScoreNatureNormalized","GameScoreNatureNormalizedBest","GameScoreNormalized","GameScoreNormalizedBest","GameScoreStd","Iteration","Length","LengthAverage","LengthMax","LengthMedian","LengthMin","LengthStd","ModelNCELoss","NCEAcc","NCELoss","NonzeroRewards","NonzeroRewardsAverage","NonzeroRewardsMax","NonzeroRewardsMedian","NonzeroRewardsMin","NonzeroRewardsStd","ReplayRatio","Return","ReturnAverage","ReturnMax","ReturnMedian","ReturnMin","ReturnStd","RewardLoss","StepsInEval","StepsPerSecond","TrajsInEval","UpdatesPerSecond","cum_steps","gradNorm","gradNormAverage","gradNormMax","gradNormMedian","gradNormMin","gradNormStd","loss","lossAverage","lossMax","lossMedian","lossMin","lossStd","modelGradNorm","modelLoss","modelRLLoss","tdAbsErr","tdAbsErrAverage","tdAbsErrMax","tdAbsErrMedian","tdAbsErrMin","tdAbsErrStd"
"twilight-microwave-24231","3e5yam16","twilight-microwave-24231","finished","-","ankeshanand","","2020-06-11T07:49:35.000Z","15130","","","","","","","32","10","0.99","true","2550","0.0001","1600","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""none""]","1","32","1","false","0","","1.25","bilinear","false","0","","0","true","0","0.25","","","0","1","nature","true","road_runner","1","84","","","","0","","0","false","road_runner","1","27000","84","","","","0","84","0","1","0","","0","road_runner","1","0","","0.5","1","0","","84","5","1","256","true","0","10","false","","1","0","0","","1","","10","100000","1","50000","1","-1","custom","0","0","0","bn","0","0.00015","valid","","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","123","","0","0","","0","0","1","1","0","standard","1","1","3","0.5","0","","","","","","","","4.041371625931154","4.041371625931154","5.145810731943531","3.927400342152458","2.7276194025205105","0.6574924435423205","14705","14705","14705","1.532408614486103","1.532408614486103","19500","14950","9500","0.8053218601847031","0.8053218601847031","1.8757260483819491","1.8757260483819491","2419.8915264945244","","1165.69","1165.69","10052","1056.5","745","897.0920654537081","0.5226555452764035","","","57.09","","","","","","","57.09","","","","","","","","","","","100000","1.3605781427524983","","","","","","0.9713301674768328","","","","","","1.0160802087426186","","0","","","","","",""
"prime-leaf-24188","4qszprcf","prime-leaf-24188","finished","-","ankeshanand","","2020-06-11T07:49:21.000Z","23676","","","","","","","32","10","0.99","true","2550","0.0001","1600","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""none""]","1","32","1","false","0","","1.25","bilinear","false","0","","0","true","0","0.25","","","0","1","nature","true","krull","1","84","","","","0","","0","false","krull","1","27000","84","","","","0","84","0","1","0","","0","krull","1","0","","0.5","1","0","","84","5","1","256","true","0","10","false","","1","0","0","","1","","10","100000","1","50000","1","-1","custom","0","0","0","bn","0","0.00015","valid","","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","123","","0","0","","0","0","1","1","0","standard","1","1","3","0.5","0","","","","","","","","1.4684602972725371","1.4684602972725371","2.105846153238292","1.434708661275994","0.9736333995905676","0.2950634428930032","3247.33","3247.33","3247.33","1.3157798165137613","1.3157798165137613","4085","3556.5","1337","0.7473176257362936","0.7473176257362936","1.54503981264637","1.54503981264637","617.8736449307415","","1359.89","1359.89","2003","1468","757","189.5094665181663","0.1920696954326704","","","281.05","","","","","","","281.05","","","","","","","","","","","100000","1.0769793183706702","","","","","","0.26970085402522237","","","","","","0.65121437304914","","0","","","","","",""
"restful-field-24170","1c4amq36","restful-field-24170","finished","-","ankeshanand","","2020-06-11T07:49:16.000Z","15145","","","","","","","32","10","0.99","true","2550","0.0001","1600","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""none""]","1","32","1","false","0","","1.25","bilinear","false","0","","0","true","0","0.25","","","0","1","nature","true","krull","1","84","","","","0","","0","false","krull","1","27000","84","","","","0","84","0","1","0","","0","krull","1","0","","0.5","1","0","","84","5","1","256","true","0","10","false","","1","0","0","","1","","10","100000","1","50000","1","-1","custom","0","0","0","bn","0","0.00015","valid","","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","444","","0","0","","0","0","1","1","0","standard","1","1","3","0.5","0","","","","","","","","1.4563084669086157","1.4563084669086157","2.214469187153793","1.3518313155002275","1.0119862356337448","0.3201418619871446","3216.58","3216.58","3226.86","1.2912485041882729","1.2994495412844038","6015","3297","1377","0.7333846850928862","0.7380425917535116","1.516234192037471","1.525864168618267","757.3500139301511","","1409.53","1409.53","3136","1462.5","734","318.16679446479014","0.20869679560847584","","","278.55","","","","","","","278.55","","","","","","","","","","","100000","1.185797816553712","","","","","","0.2680260658076033","","","","","","0.7051665869336575","","0","","","","","",""
"fallen-pyramid-25848","3s8tpihd","fallen-pyramid-25848","finished","-","ankeshanand","","2020-06-12T20:54:06.000Z","16105","","","","","","","32","10","0.99","true","2550","0.0001","1600","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""none""]","1","32","1","false","0","","1.25","bilinear","false","0","","0","true","0","0.25","","","0","1","nature","true","krull","1","84","","","","0","","0","false","krull","1","27000","84","","","","0","84","0","1","0","","0","krull","1","0","","0.5","1","0","","84","5","1","256","true","0","10","false","","1","0","0","","1","","10","100000","1","50000","1","-1","custom","0","0","0","bn","0","0.00015","valid","","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","88","","0","0","","0","0","1","1","0","standard","1","1","3","0.5","0","","","","","","","","1.5396575383430715","1.5396575383430715","2.760952517034581","1.510181193431145","0.5147482951470456","0.5116980276552388","2969.1","2969.1","2985.64","1.0938173115277223","1.1070123653769444","6617","2996","1028","0.6212505663797009","0.6287449025826913","1.2844028103044496","1.2998969555035127","867.4010318186162","","1434.51","1434.51","2986","1436.5","739","375.9615005555755","0.2125684135124087","","","257.66","","","","","","","257.66","","","","","","","","","","","100000","1.3144781838856638","","","","","","0.31397311367634684","","","","","","0.6845233931336552","","0","","","","","",""
"crisp-plant-24142","3vzt24tx","crisp-plant-24142","finished","-","ankeshanand","","2020-06-11T07:49:12.000Z","16165","","","","","","","32","10","0.99","true","2550","0.0001","1600","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""none""]","1","32","1","false","0","","1.25","bilinear","false","0","","0","true","0","0.25","","","0","1","nature","true","kangaroo","1","84","","","","0","","0","false","kangaroo","1","27000","84","","","","0","84","0","1","0","","0","kangaroo","1","0","","0.5","1","0","","84","5","1","256","true","0","10","false","","1","0","0","","1","","10","100000","1","50000","1","-1","custom","0","0","0","bn","0","0.00015","valid","","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","88","","0","0","","0","0","1","1","0","standard","1","1","3","0.5","0","","","","","","","","0.19967679674122607","0.19967679674122607","0.2296779790976713","0.2159844892657572","0.040675708466866606","0.034934107879464715","3779","3779","3779","5.124432833768734","5.124432833768734","8800","3200","1000","0.5572667464114832","0.5572667464114832","1.2494133422728797","1.2494133422728797","1762.8553542477614","","1639.49","1639.49","3173","1440","715","542.523999376986","0.608685788795352","","","18.9","","","","","","","18.9","","","","","","","","","","","100000","0.5606436976827681","","","","","","0.4159334876716137","","","","","","0.7592576081469655","","0","","","","","",""
"fragrant-smoke-24299","16kb8cmp","fragrant-smoke-24299","finished","-","ankeshanand","","2020-06-11T10:39:46.000Z","18493","","","","","","","32","10","0.99","true","2550","0.0001","1600","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""none""]","1","32","1","false","0","","1.25","bilinear","false","0","","0","true","0","0.25","","","0","1","nature","true","krull","1","84","","","","0","","0","false","krull","1","27000","84","","","","0","84","0","1","0","","0","krull","1","0","","0.5","1","0","","84","5","1","256","true","0","10","false","","1","0","0","","1","","10","100000","1","50000","1","-1","custom","0","0","0","bn","0","0.00015","valid","","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","101","","0","0","","0","0","1","1","0","standard","1","1","3","0.5","0","","","","","","","","1.191765597939307","1.191765597939307","1.5948321450252525","1.2294338021145372","0.844448399601395","0.18902951829485148","2931.57","2931.57","2931.57","1.063877143996809","1.063877143996809","4887","3006","1431","0.6042455822383327","0.6042455822383327","1.2492459016393445","1.2492459016393445","547.8241005103737","","1324.84","1324.84","2076","1403","861","186.72389884532728","0.2085169548334554","","","254.17","","","","","","","254.17","","","","","","","","","","","100000","1.2293057231359183","","","","","","0.3052906993774697","","","","","","0.7065564508266747","","0","","","","","",""
"ethereal-flower-24336","35q4cj2y","ethereal-flower-24336","finished","-","ankeshanand","","2020-06-11T13:49:35.000Z","14887","","","","","","","32","10","0.99","true","2550","0.0001","1600","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""none""]","1","32","1","false","0","","1.25","bilinear","false","0","","0","true","0","0.25","","","0","1","nature","true","road_runner","1","84","","","","0","","0","false","road_runner","1","27000","84","","","","0","84","0","1","0","","0","road_runner","1","0","","0.5","1","0","","84","5","1","256","true","0","10","false","","1","0","0","","1","","10","100000","1","50000","1","-1","custom","0","0","0","bn","0","0.00015","valid","","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","420","","0","0","","0","0","1","1","0","standard","1","1","3","0.5","0","","","","","","","","2.7121768014266117","2.7121768014266117","4.143127533857005","2.777549626877919","0.4171208799332205","0.7358391280242043","9485","9485","10526","0.9880064660791572","1.0965740209626114","14600","9400","2500","0.519223918226412","0.5762790825134965","1.2093572477181336","1.3422480372758026","2635.3130743803476","","1018.52","1018.52","6478","954","449","698.0171126842091","0.5112618281632662","","","37.18","","","","","","","37.18","","","","","","","","","","","100000","1.262186999310553","","","","","","0.9565499966308476","","","","","","0.8893927185803652","","0","","","","","",""
"apricot-moon-24283","3e352fu2","apricot-moon-24283","finished","-","ankeshanand","","2020-06-11T08:32:57.000Z","24185","","","","","","","32","10","0.99","true","2550","0.0001","1600","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""none""]","1","32","1","false","0","","1.25","bilinear","false","0","","0","true","0","0.25","","","0","1","nature","true","krull","1","84","","","","0","","0","false","krull","1","27000","84","","","","0","84","0","1","0","","0","krull","1","0","","0.5","1","0","","84","5","1","256","true","0","10","false","","1","0","0","","1","","10","100000","1","50000","1","-1","custom","0","0","0","bn","0","0.00015","valid","","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","420","","0","0","","0","0","1","1","0","standard","1","1","3","0.5","0","","","","","","","","1.3249659882640463","1.3249659882640463","2.4775762640786816","1.3638163127044862","0.7791761220988853","0.36709125620640026","2879.11","2879.11","3157.8","1.0220263262863982","1.2443558037495015","5637","2671.5","1098","0.5804757589487993","0.7067512460353422","1.2001030444964873","1.4611709601873537","942.1869442419588","","1441.37","1441.37","2865","1449","713","409.03976958237206","0.22207703825663777","","","249.04","","","","","","","249.04","","","","","","","","","","","100000","1.0688277103997768","","","","","","0.28095059467051176","","","","","","0.6934403920941055","","0","","","","","",""
"valiant-music-24256","31uylgx0","valiant-music-24256","finished","-","ankeshanand","","2020-06-11T08:15:58.000Z","16218","","","","","","","32","10","0.99","true","2550","0.0001","1600","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""none""]","1","32","1","false","0","","1.25","bilinear","false","0","","0","true","0","0.25","","","0","1","nature","true","jamesbond","1","84","","","","0","","0","false","jamesbond","1","27000","84","","","","0","84","0","1","0","","0","jamesbond","1","0","","0.5","1","0","","84","5","1","256","true","0","10","false","","1","0","0","","1","","10","100000","1","50000","1","-1","custom","0","0","0","bn","0","0.00015","valid","","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","101","","0","0","","0","0","1","1","0","standard","1","1","3","0.5","0","","","","","","","","0.272677263249848","0.272677263249848","0.4008478123485873","0.3365959263932884","0.0011900958913388172","0.12373157376231184","322","322","322","1.0748349229640497","1.0748349229640497","5400","300","50","0.5349643965674639","0.5349643965674639","1.0701241782322863","1.0701241782322863","519.5825247253799","","1339.06","1339.06","2329","1308","657","348.08624850746406","0.32976167682893576","","","5.45","","","","","","","5.45","","","","","","","","","","","100000","0.6871216875582934","","","","","","0.4362600191831589","","","","","","0.5964235651791095","","0","","","","","",""
"balmy-galaxy-24245","35vfkdrr","balmy-galaxy-24245","finished","-","ankeshanand","","2020-06-11T07:59:02.000Z","14607","","","","","","","32","10","0.99","true","2550","0.0001","1600","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""none""]","1","32","1","false","0","","1.25","bilinear","false","0","","0","true","0","0.25","","","0","1","nature","true","jamesbond","1","84","","","","0","","0","false","jamesbond","1","27000","84","","","","0","84","0","1","0","","0","jamesbond","1","0","","0.5","1","0","","84","5","1","256","true","0","10","false","","1","0","0","","1","","10","100000","1","50000","1","-1","custom","0","0","0","bn","0","0.00015","valid","","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","420","","0","0","","0","0","1","1","0","standard","1","1","3","0.5","0","","","","","","","","0.2689736194172999","0.2689736194172999","0.42151991812550665","0.3820880058090558","0","0.15476957821089837","321.5","321.5","321.5","1.0730007336757152","1.0730007336757152","650","300","0","0.5340514880408983","0.5340514880408983","1.0682980277574872","1.0682980277574872","156.56548150853686","","1357.82","1357.82","2239","1305.5","525","410.5529534664195","0.3895390394188464","","","6.43","","","","","","","6.43","","","","","","","","","","","100000","0.7834297749750316","","","","","","0.45708338811695576","","","","","","0.6991718431703746","","0","","","","","",""
"polar-tree-24140","3q5tgcu8","polar-tree-24140","finished","-","ankeshanand","","2020-06-11T07:49:11.000Z","13993","","","","","","","32","10","0.99","true","2550","0.0001","1600","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""none""]","1","32","1","false","0","","1.25","bilinear","false","0","","0","true","0","0.25","","","0","1","nature","true","road_runner","1","84","","","","0","","0","false","road_runner","1","27000","84","","","","0","84","0","1","0","","0","road_runner","1","0","","0.5","1","0","","84","5","1","256","true","0","10","false","","1","0","0","","1","","10","100000","1","50000","1","-1","custom","0","0","0","bn","0","0.00015","valid","","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","444","","0","0","","0","0","1","1","0","standard","1","1","3","0.5","0","","","","","","","","3.901047747804866","3.901047747804866","5.121776499033984","3.704633491342023","1.8894164869788297","0.8498087503273141","7889","7889","7889","0.8215570735777233","0.8215570735777233","12400","7800","2100","0.43175029459318737","0.43175029459318737","1.0056169017680474","1.0056169017680474","2692.8013294708544","","856.12","856.12","2602","827","397","306.842542030925","0.4869545525342226","","","33","","","","","","","33","","","","","","","","","","","100000","1.1444895343370736","","","","","","0.9026580317363144","","","","","","0.9258775862500072","","0","","","","","",""
"jolly-spaceship-24268","15jkec67","jolly-spaceship-24268","finished","-","ankeshanand","","2020-06-11T08:24:43.000Z","18456","","","","","","","32","10","0.99","true","2550","0.0001","1600","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""none""]","1","32","1","false","0","","1.25","bilinear","false","0","","0","true","0","0.25","","","0","1","nature","true","freeway","1","84","","","","0","","0","false","freeway","1","27000","84","","","","0","84","0","1","0","","0","freeway","1","0","","0.5","1","0","","84","5","1","256","true","0","10","false","","1","0","0","","1","","10","100000","1","50000","1","-1","custom","0","0","0","bn","0","0.00015","valid","","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","101","","0","0","","0","0","1","1","0","standard","1","1","3","0.5","0","","","","","","","","1.211318791163608","1.211318791163608","1.4230147819894243","1.240346618817325","1.0134109319888445","0.12405269537457791","28.68","28.68","30.41","1.027956989247312","1.0899641577060932","31","29","26","0.9465346534653464","1.0036303630363037","0.9689189189189188","1.0273648648648648","1.0380751417888785","","2044.26","2044.26","2048","2044","2041","2.1569422801734865","0.21336306905187663","","","28.68","","","","","","","28.68","","","","","","","","","","","100000","2.1386230484202504","","","","","","0.4628416812524199","","","","","","0.7340884407058358","","0","","","","","",""
