"Name","ID","Name","State","Notes","User","Tags","Created","Runtime","Sweep","agent.eps_eval","agent.eps_final","agent.eps_init","algo.amortization_decay_constant","algo.amortization_loss_weight","algo.batch_size","algo.clip_grad_norm","algo.discount","algo.double_dqn","algo.eps_steps","algo.learning_rate","algo.min_steps_learn","algo.model_nce_weight","algo.model_rl_weight","algo.n_step_return","algo.nce_loss_weight","algo.pri_alpha","algo.pri_beta_steps","algo.prioritized_replay","algo.replay_ratio","algo.replay_size","algo.reward_loss_weight","algo.target_update_interval","algo.target_update_tau","alternating","amortization_decay_constant","amortization_loss_weight","async_sample","aug_prob","augmentation","batch_b","batch_size","batch_t","beluga","bits","buffered_nce","byol","byol_tau","c1","classifier","control","cosine_nce","debug","debug_cuda_idx","der","detach_model","dirichlet_alpha","distributional","dqn_hidden_size","dueling","dynamics_blocks","encoder","env.bits","env.episodic_lives","env.game","env.grayscale","env.imagesize","env.max_start_noops","env.num_img_obs","env.seed","env.stack_actions","eps_steps","eval_augmentation","eval_env.bits","eval_env.episodic_lives","eval_env.game","eval_env.grayscale","eval_env.horizon","eval_env.imagesize","eval_env.max_start_noops","eval_env.num_img_obs","eval_env.seed","eval_env.stack_actions","eval_imagesize","eval_simulations","fasteval","film","final_eval_only","frame_dropout","game","global_local_nce","global_nce","gpu_per_run","grad_scale_factor","grayscale","hard_neg_factor","hyperthread_offset","imagesize","init","jumps","keep_last_frame","latent_size","learn_model","local_nce","max_grad_norm","model.dueling","model.framestack","model_nce_weight","model_rl_weight","momentum_encoder","n_cpu_core","n_gpu","n_socket","n_step","n_steps","nce","nce_loss_decay_steps","nce_loss_weight","nce_loss_weight_final","nce_type","no_rl_augmentation","no_search_control","noisy_eps","noisy_nets","norm_type","num_simulations","optim.eps","padding","prioritized_replay","q_dirichlet","replay_ratio","reward_loss_weight","run_slot","runner.log_interval_steps","runner.n_steps","sample_gpu_per_run","sampler.batch_B","sampler.batch_T","sampler.eval_max_steps","sampler.eval_max_trajectories","sampler.eval_n_envs","sampler.max_decorrelation_steps","search_epsilon","seed","set_affinity","shared_encoder","stack_actions","tag","target_augmentation","target_encoder_sn","target_update_interval","target_update_tau","time_contrastive","transition_model","use_all_targets","use_ram","virtual_loss_c","virtual_threads","visit_temp","wandb_dir","AmortizationLoss","CumCompletedTrajs","CumEvalTime","CumReplayRatio","CumSteps","CumTime (s)","CumTrainTime","CumUpdates","DiscountedReturn","DiscountedReturnAverage","DiscountedReturnMax","DiscountedReturnMedian","DiscountedReturnMin","DiscountedReturnStd","GameScore","GameScoreAverage","GameScoreBest","GameScoreDERNormalized","GameScoreDERNormalizedBest","GameScoreMax","GameScoreMedian","GameScoreMin","GameScoreNatureNormalized","GameScoreNatureNormalizedBest","GameScoreNormalized","GameScoreNormalizedBest","GameScoreStd","Iteration","Length","LengthAverage","LengthMax","LengthMedian","LengthMin","LengthStd","ModelNCELoss","NCEAcc","NCELoss","NonzeroRewards","NonzeroRewardsAverage","NonzeroRewardsMax","NonzeroRewardsMedian","NonzeroRewardsMin","NonzeroRewardsStd","ReplayRatio","Return","ReturnAverage","ReturnMax","ReturnMedian","ReturnMin","ReturnStd","RewardLoss","StepsInEval","StepsPerSecond","TrajsInEval","UpdatesPerSecond","cum_steps","gradNorm","gradNormAverage","gradNormMax","gradNormMedian","gradNormMin","gradNormStd","loss","lossAverage","lossMax","lossMedian","lossMin","lossStd","modelGradNorm","modelLoss","modelRLLoss","tdAbsErr","tdAbsErrAverage","tdAbsErrMax","tdAbsErrMedian","tdAbsErrMin","tdAbsErrStd"
"""chopper_command""","""chopper_command""","""chopper_command""","finished","-","ankeshanand","","2020-06-22T00:12:50.000Z","407852","","0.001","0","0","","","32","10","0.9899999999999999","true","43382.35294117647","0.0001","2000","","","10","","0.5","100000","true","42.8235294117647","1000000","","735.6323529411765","0.9272058823529411","","0","0","false","1","[""shift"",""intensity"",""none""]","1","32","1","false","","0","[""1"",""0""]","0.08279411764705882","1.25","[""q_l1"",""bilinear""]","false","0.4852941176470588","","0","true","0.14705882352941177","0.25","0.7352941176470589","256","1","1.0735294117647058","nature","","true","chopper_command","1","84","","","233.73529411764707","0","43382.35294117647","0","","false","chopper_command","1","27000","84","","","233.73529411764707","0","84","0","0.8529411764705882","0","1","0","chopper_command","0","0.4852941176470588","","0.5","1","0","","84","pytorch","0.9558823529411765","1","256","true","0","10","true","","0.7794117647058824","0.14705882352941177","0.4117647058823529","","1","","10","100000","0.4852941176470588","50000","0.14705882352941177","-1","custom","0","0","0","1","[""bn"",""in""]","0","0.00015","valid","1","0","42.8235294117647","0.14705882352941177","","1000000","50000000","","1","1","2392352.9411764704","100","85.44117647058823","1000","0.01","233.73529411764707","","0.07352941176470588","0","[""byol_ql1_b0"",""byol_ql1_rep_test"",""ema_target_control"",""ankesh_config_replication"",""byol_base_no_ema"",""byol_base_shared"",""byol_base_control"",""byol_base_aug_control"",""hybrid_control"",""hybrid_aug_control""]","0.3382352941176471","0","735.6323529411765","0.9272058823529411","0","standard","0","","1","3","0.5","["""",""./wandb"",""./wandb_ablations""]","0","","","","","","","","1.9841619548519986","1.9841619548519986","2.353418403190591","2.012403804239749","1.1323861513226292","0.2548683972379577","864.1687563721586","864.1687563721586","1017.9570357554786","1.046629062444068","4.0739573967613945","1576.4705882352941","839.7058823529412","489.70588235294116","0.009048460921061709","0.03522073447166077","0.008084289680719895","0.03146774050533369","221.34307947692577","","7985.983940300264","7985.983940300264","18827.16176470588","6073.676470588235","2648.705882352941","5633.315630963901","0.021970551033883106","","","6.179202955900758","","","","","","","6.179202955900758","","","","","","","","","","","100000","0.10356903827452502","","","","","","0.20449049449172807","","","","","","0.013630093673802057","","0","","","","","",""
"""breakout""","""breakout""","""breakout""","finished","-","ankeshanand","","2020-06-22T00:12:53.000Z","412066","","0.001","0","0","","","32","10","0.99","true","47383.72093023256","0.0001","2000","","","10","","0.5","100000","true","51.906976744186046","1000000","","407.5988372093023","0.9712209302325582","","0","0","false","1","[""none"",""shift"",""intensity""]","1","32","1","false","0.46153846153846156","0","[""0"",""squared"",""1"",""with_norm""]","0.03877906976744186","1.25","[""none"",""q_l1"",""bilinear""]","false","0.686046511627907","","0","true","0.05813953488372093","0.25","0.4069767441860465","256","1","0.45348837209302323","[""mlp"",""nature""]","0.6","true","breakout","1","59.872093023255815","","","233.0872093023256","0","47383.72093023256","0","0.6","false","breakout","1","27000","59.872093023255815","","","233.0872093023256","0","59.872093023255815","0","0.9418604651162791","0","1","0","breakout","0","0.686046511627907","","0.6017441860465116","1","0","","59.872093023255815","pytorch","2.8488372093023258","1","256","true","0","10","true","","0.9418604651162791","0.05813953488372093","0.6569767441860465","","1","","10","100000","0.686046511627907","50000","0.05813953488372093","-1","custom","0","0","0","1","[""bn"",""in""]","0","0.00015","[""same"",""valid""]","1","0","51.906976744186046","0.10465116279069768","","1000000","50000000","","1","1","2638837.2093023257","100","94.24418604651163","1000","0.01","233.0872093023256","","0.029069767441860465","0","[""ram_bits_test_der_control"",""ram_test_der_control"",""ram_bits_test_hybrid_control"",""ram_test_hybrid_control"",""ram_bits_test_hybrid_byol_nogs_squared"",""ram_bits_test_hybrid_byol_squared"",""byol_ql1_squared_nogs_m1"",""byol_ql1_squared_nogs_m2"",""byol_ql1_squared_nogs_m5"",""ram_test_der_byol""]","0.36627906976744184","0","407.5988372093023","0.9712209302325582","0","[""mlp"",""standard""]","0","0.7575757575757576","1","3","0.5","["""",""./wandb"",""./wandb_ablations""]","0","","","","","","","","1.4552223007583474","1.4552223007583474","1.9440602601224597","1.4529695249090107","0.8880138549420272","0.3313546958758856","10.702311575793107","10.702311575793107","10.731265064165202","45.011557878965554","45.156325320826014","24.127906976744185","9.113372093023257","4.005813953488372","0.022533946372448332","0.02260642068627084","0.3125802630483718","0.31358559250573614","5.236575390289777","","5377.880934629666","5377.880934629666","19423.633720930233","3912.5436046511627","975.8546511627907","4582.588945145082","0.030509264968152944","","","8.4040723731353","","","","","","","8.4040723731353","","","","","","","","","","","100000","0.25344003952664435","","","","","","0.1658032164204399","","","","","","0.08079543749341471","","0","","","","","",""
"""crazy_climber""","""crazy_climber""","""crazy_climber""","finished","-","ankeshanand","","2020-06-22T00:11:59.000Z","408122","","0.001","0","0","","","32","10","0.9900000000000001","true","43181.818181818184","0.0001","2000","","","10","","0.5","100000","true","42.18181818181818","1000000","","757.8939393939394","0.9249999999999999","","0","0","false","1","[""shift"",""intensity"",""none""]","1","32","1","false","","0","[""1"",""0""]","0.085","1.25","[""q_l1"",""bilinear""]","false","0.5303030303030303","","0","true","0.15151515151515152","0.25","0.7575757575757576","256","1","1.0757575757575757","nature","","true","crazy_climber","1","84","","","232.84848484848484","0","43181.818181818184","0","","false","crazy_climber","1","27000","84","","","232.84848484848484","0","84","0","0.8484848484848485","0","1","0","crazy_climber","0","0.5303030303030303","","0.5","1","0","","84","pytorch","1.1363636363636365","1","256","true","0","10","true","","0.7727272727272727","0.15151515151515152","0.45454545454545453","","1","","10","100000","0.5303030303030303","50000","0.15151515151515152","-1","custom","0","0","0","1","[""bn"",""in""]","0","0.00015","valid","1","0","42.18181818181818","0.15151515151515152","","1000000","50000000","","1","1","2380000","100","85","1000","0.01","232.84848484848484","","0.07575757575757576","0","[""byol_ql1_b0"",""byol_ql1_rep_test"",""ankesh_config_replication"",""ema_target_control"",""byol_base_no_ema"",""byol_base_shared"",""byol_base_aug_control"",""byol_base_control"",""hybrid_aug_control"",""hybrid_control""]","0.36363636363636365","0","757.8939393939394","0.9249999999999999","0","standard","0","","1","3","0.5","["""",""./wandb"",""./wandb_ablations""]","0","","","","","","","","5.532581888760167","5.532581888760167","6.2435921312694544","5.639053180778285","3.668056147240057","0.5909733787153278","27450.0202020202","27450.0202020202","28100.171717171717","3.084206668520612","3.204498171471973","42801.51515151515","27258.333333333332","12363.636363636364","0.1613348515765705","0.167627300125062","0.6654791309007662","0.6914344229555676","7544.005911351497","","4362.825808080808","4362.825808080808","12807.924242424242","3764.8939393939395","2264.1969696969695","2085.9953668811786","0.032318231118153136","","","208.48141414141415","","","","","","","208.48141414141415","","","","","","","","","","","100000","0.5494908967218504","","","","","","0.5259755546138676","","","","","","0.01841368320565909","","0","","","","","",""
"""pong""","""pong""","""pong""","finished","-","ankeshanand","","2020-06-22T00:12:57.000Z","412040","","0.001","0","0","","","32","10","0.9900000000000001","true","47305.389221556885","0.00009999999999999999","2000","","","10","","0.5","100000","true","52.119760479041915","1000000","","401.8263473053892","0.9703592814371258","","0","0","false","1","[""none"",""shift"",""intensity""]","1","32","1","false","0.46153846153846156","0","[""0"",""squared"",""1"",""with_norm""]","0.03964071856287425","1.25","[""none"",""q_l1"",""bilinear""]","false","0.688622754491018","","0","true","0.059880239520958084","0.25","0.40119760479041916","256","1","0.46107784431137727","[""mlp"",""nature""]","0.6","true","pong","1","59.1497005988024","","","235.2874251497006","0","47305.389221556885","0","0.6","false","pong","1","27000","59.1497005988024","","","235.2874251497006","0","59.1497005988024","0","0.9401197604790419","0","1","0","pong","0","0.688622754491018","","0.6047904191616766","1","0","","59.1497005988024","pytorch","2.844311377245509","1","256","true","0","10","true","","0.9580838323353293","0.059880239520958084","0.6586826347305389","","1","","10","100000","0.688622754491018","50000","0.059880239520958084","-1","custom","0","0","0","1","[""bn"",""in""]","0","0.00015","[""same"",""valid""]","1","0","52.119760479041915","0.10179640718562874","","1000000","50000000","","1","1","2634011.976047904","100","94.07185628742515","1000","0.01","235.2874251497006","","0.029940119760479042","0","[""ram_test_der_control"",""ram_bits_test_der_control"",""ram_bits_test_hybrid_control"",""ram_test_hybrid_control"",""ram_bits_test_hybrid_byol_squared"",""ram_bits_test_hybrid_byol_nogs_squared"",""byol_ql1_squared_nogs_m5"",""byol_ql1_squared_nogs_m1"",""byol_ql1_squared_nogs_m2"",""ram_bits_test_der_byol""]","0.3532934131736527","0","401.8263473053892","0.9703592814371258","0","[""mlp"",""standard""]","0","0.7692307692307693","1","3","0.5","["""",""./wandb"",""./wandb_ablations""]","0","","","","","","","","-0.39427586902064776","-0.39427586902064776","0.055955098515294024","-0.378864591576321","-0.8900153788372097","0.28317337875265025","-9.984412177975052","-9.984412177975052","-9.952795411507987","7.653991301446399","7.676574706065732","-0.5688622754491018","-10.529940119760479","-17.7125748502994","0.2705956520713371","0.27139405526494986","0.303557728669262","0.30445338777597775","5.1930159701734135","","3428.1033173280475","3428.1033173280475","8119.922155688623","3053.374251497006","1959.7185628742516","1514.0678036286222","0.03962938401433677","","","26.748725183665304","","","","","","","-10.224651698933137","","","","","","","","","","","100000","0.24895419410965863","","","","","","0.255871290433145","","","","","","0.07330073620208195","","0","","","","","",""
"""private_eye""","""private_eye""","""private_eye""","finished","-","ankeshanand","","2020-06-22T00:13:03.000Z","407939","","0.001","0","0","","","32","10","0.99","true","43478.260869565216","0.0001","2000","","","10","","0.5","100000","true","43.130434782608695","1000000","","724.9855072463768","0.9282608695652174","","0","0","false","1","[""shift"",""intensity"",""none""]","1","32","1","false","","0","[""1"",""0""]","0.0817391304347826","1.25","[""q_l1"",""bilinear""]","false","0.4927536231884058","","0","true","0.14492753623188406","0.25","0.7246376811594203","256","1","1.0724637681159421","nature","","true","private_eye","1","84","","","236.43478260869566","0","43478.260869565216","0","","false","private_eye","1","27000","84","","","236.43478260869566","0","84","0","0.855072463768116","0","1","0","private_eye","0","0.4927536231884058","","0.5","1","0","","84","pytorch","1.0144927536231885","1","256","true","0","10","true","","0.782608695652174","0.14492753623188406","0.42028985507246375","","1","","10","100000","0.4927536231884058","50000","0.14492753623188406","-1","custom","0","0","0","1","[""bn"",""in""]","0","0.00015","valid","1","0","43.130434782608695","0.14492753623188406","","1000000","50000000","","1","1","2398260.8695652173","100","85.65217391304348","1000","0.01","236.43478260869566","","0.07246376811594203","0","[""byol_ql1_b0"",""byol_ql1_rep_test"",""ankesh_config_replication"",""ema_target_control"",""byol_base_no_ema"",""byol_base_shared"",""byol_base_control"",""byol_base_aug_control"",""hybrid_control"",""hybrid_aug_control""]","0.34782608695652173","0","724.9855072463768","0.9282608695652174","0","standard","0","","1","3","0.5","["""",""./wandb"",""./wandb_ablations""]","0","","","","","","","","0.35936304543088443","0.35936304543088443","0.4274301843308646","0.3604933409950654","0.23896467667222895","0.04179489337646148","253.6755072463768","253.6755072463768","296.0239130434783","3.1382099759448123","3.7191208922287826","520.2898550724638","248.28985507246378","-36.98550724637681","0.12975753346173038","0.15377682096504922","0.0032895377366244233","0.0038984607836419745","106.31655187968846","","2693.6485507246375","2693.6485507246375","2696.942028985507","2693.753623188406","2690.086956521739","2.2306244801107087","0.030607923972580085","","","1.6071014492753624","","","","","","","-0.0644927536231884","","","","","","","","","","","100000","0.11310436729467514","","","","","","0.11743882525236374","","","","","","0.021728844550686577","","0","","","","","",""
"""demon_attack""","""demon_attack""","""demon_attack""","finished","-","ankeshanand","","2020-06-22T00:12:57.000Z","408067","","0.001","0","0","","","32","10","0.99","true","43571.42857142857","0.0001","2000","","","10","","0.5","100000","true","43.42857142857143","1000000","","714.6428571428571","0.9292857142857143","","0","0","false","1","[""shift"",""intensity"",""none""]","1","32","1","false","","0","[""1"",""0""]","0.08071428571428572","1.25","[""q_l1"",""bilinear""]","false","0.5","","0","true","0.14285714285714285","0.25","0.7142857142857143","256","1","1.0714285714285714","nature","","true","demon_attack","1","84","","","234.77142857142857","0","43571.42857142857","0","","false","demon_attack","1","27000","84","","","234.77142857142857","0","84","0","0.8571428571428571","0","1","0","demon_attack","0","0.5","","0.5","1","0","","84","pytorch","1.0714285714285714","1","256","true","0","10","true","","0.7857142857142857","0.14285714285714285","0.42857142857142855","","1","","10","100000","0.5","50000","0.14285714285714285","-1","custom","0","0","0","1","[""bn"",""in""]","0","0.00015","valid","1","0","43.42857142857143","0.14285714285714285","","1000000","50000000","","1","1","2404000","100","85.85714285714286","1000","0.01","234.77142857142857","","0.07142857142857142","0","[""byol_ql1_b0"",""ankesh_config_replication"",""ema_target_control"",""byol_ql1_rep_test"",""byol_base_shared"",""byol_base_no_ema"",""byol_base_control"",""byol_base_aug_control"",""hybrid_control"",""hybrid_aug_control""]","0.35714285714285715","0","714.6428571428571","0.9292857142857143","0","standard","0","","1","3","0.5","["""",""./wandb"",""./wandb_ablations""]","0","","","","","","","","2.1796781361224236","2.1796781361224236","3.4234775590907174","2.1926609547814313","0.8963359040521282","0.5947964008988101","302.65477370904","302.65477370904","307.7933451376114","0.42302549510828885","0.4374637402012122","1316.142857142857","236.5","62.57142857142857","0.01575021955549697","0.01628778888131599","0.08277243042995215","0.08559752880180956","235.12853464194066","","2122.2297253547113","2122.2297253547113","3960.7285714285713","2103.385714285714","718.6571428571428","669.4639823003032","0.04967182794038473","","","21.983672913811624","","","","","","","21.983672913811624","","","","","","","","","","","100000","0.3091321575451788","","","","","","0.49487820990879305","","","","","","0.023882041217918655","","0","","","","","",""
"""freeway""","""freeway""","""freeway""","finished","-","ankeshanand","","2020-06-22T00:12:56.000Z","408172","","0.001","0","0","","","32","10","0.99","true","43571.42857142857","0.0001","2000","","","10","","0.5","100000","true","43.42857142857143","1000000","","714.6428571428571","0.9292857142857143","","0","0","false","1","[""shift"",""intensity"",""none""]","1","32","1","false","","0","[""1"",""0""]","0.08071428571428572","1.25","[""q_l1"",""bilinear""]","false","0.5","","0","true","0.14285714285714285","0.25","0.7142857142857143","256","1","1.0714285714285714","nature","","true","freeway","1","84","","","234.77142857142857","0","43571.42857142857","0","","false","freeway","1","27000","84","","","234.77142857142857","0","84","0","0.8571428571428571","0","1","0","freeway","0","0.5","","0.5","1","0","","84","pytorch","1.0714285714285714","1","256","true","0","10","true","","0.7857142857142857","0.14285714285714285","0.42857142857142855","","1","","10","100000","0.5","50000","0.14285714285714285","-1","custom","0","0","0","1","[""bn"",""in""]","0","0.00015","valid","1","0","43.42857142857143","0.14285714285714285","","1000000","50000000","","1","1","2404000","100","85.85714285714286","1000","0.01","234.77142857142857","","0.07142857142857142","0","[""byol_ql1_b0"",""ankesh_config_replication"",""byol_ql1_rep_test"",""ema_target_control"",""byol_base_shared"",""byol_base_no_ema"",""byol_base_control"",""byol_base_aug_control"",""hybrid_control"",""hybrid_aug_control""]","0.35714285714285715","0","714.6428571428571","0.9292857142857143","0","standard","0","","1","3","0.5","["""",""./wandb"",""./wandb_ablations""]","0","","","","","","","","1.0532419539112863","1.0532419539112863","1.2601794864063898","1.0717604607524698","0.7013840495519559","0.1581069868514522","25.52920879120879","25.52920879120879","25.529351648351646","0.9150254047028241","0.9150305250305252","27.34285714285714","25.535714285714285","23.428571428571427","0.8425481449243826","0.8425528596815725","0.86247326997327","0.8624780962280961","0.9877446446257678","","2044.1625274725275","2044.1625274725275","2047.857142857143","2044.1714285714286","2040.2857142857142","2.252942145090171","0.029223771019698003","","","25.52920879120879","","","","","","","25.52920879120879","","","","","","","","","","","100000","0.14568687280036227","","","","","","0.3768389274875083","","","","","","0.020904904962223636","","0","","","","","",""
"""battle_zone""","""battle_zone""","""battle_zone""","finished","-","ankeshanand","","2020-06-22T00:11:59.000Z","412245","","0.001","0","0","","","32","10","0.99","true","47428.57142857143","0.0001","2000","","","10","","0.5","100000","true","52.114285714285714","1000000","","400.62857142857143","0.9717142857142858","","0","0","false","1","[""none"",""shift"",""intensity""]","1","32","1","false","0.46153846153846156","0","[""0"",""squared"",""1"",""with_norm""]","0.038285714285714284","1.25","[""none"",""q_l1"",""bilinear""]","false","0.6857142857142857","","0","true","0.05714285714285714","0.25","0.4","256","1","0.45714285714285713","[""mlp"",""nature""]","0.6","true","battle_zone","1","60.285714285714285","","","234.66857142857143","0","47428.57142857143","0","0.6","false","battle_zone","1","27000","60.285714285714285","","","234.66857142857143","0","60.285714285714285","0","0.9428571428571428","0","1","0","battle_zone","0","0.6857142857142857","","0.6","1","0","","60.285714285714285","pytorch","2.857142857142857","1","256","true","0","10","true","","0.9428571428571428","0.05714285714285714","0.6571428571428571","","1","","10","100000","0.6857142857142857","50000","0.05714285714285714","-1","custom","0","0","0","1","[""bn"",""in""]","0","0.00015","[""same"",""valid""]","1","0","52.114285714285714","0.11428571428571428","","1000000","50000000","","1","1","2641600","100","94.34285714285714","1000","0.01","234.66857142857143","","0.02857142857142857","0","[""ram_bits_test_der_control"",""ram_test_der_control"",""ram_bits_test_hybrid_control"",""ram_test_hybrid_control"",""ram_bits_test_hybrid_byol_squared"",""ram_bits_test_hybrid_byol_nogs_squared"",""byol_ql1_squared_nogs_m1"",""byol_ql1_squared_nogs_m5"",""byol_ql1_squared_nogs_m2"",""ram_bits_test_der_byol""]","0.37142857142857144","0","400.62857142857143","0.9717142857142858","0","[""mlp"",""standard""]","0","0.6666666666666666","1","3","0.5","["""",""./wandb"",""./wandb_ablations""]","0","","","","","","","","0.4011565284705899","0.4011565284705899","0.6728430763048604","0.3840679751321224","0.18875504910316893","0.13239515173500344","9736.584389545293","9736.584389545293","10031.841532402435","0.9500276111512881","0.9880536708140063","23411.428571428572","9137.142857142857","2422.8571428571427","0.30812800290498293","0.32046121689233226","0.2118034423816034","0.22028114370547514","4435.470705757977","","2031.8647761188688","2031.8647761188688","9914.891428571429","1746.3685714285714","969.1828571428572","1298.9837323445954","0.032091862793831555","","","7.874823666308629","","","","","","","7.874823666308629","","","","","","","","","","","100000","0.1229915416418658","","","","","","0.12760444173263746","","","","","","0.06087858765094707","","0","","","","","",""
"""kung_fu_master""","""kung_fu_master""","""kung_fu_master""","finished","-","ankeshanand","","2020-06-22T00:12:50.000Z","407867","","0.001","0","0","","","32","10","0.99","true","43571.42857142857","0.0001","2000","","","10","","0.5","100000","true","43.42857142857143","1000000","","714.6428571428571","0.9292857142857143","","0","0","false","1","[""shift"",""intensity"",""none""]","1","32","1","false","","0","[""1"",""0""]","0.08071428571428572","1.25","[""q_l1"",""bilinear""]","false","0.5","","0","true","0.14285714285714285","0.25","0.7142857142857143","256","1","1.0714285714285714","nature","","true","kung_fu_master","1","84","","","234.77142857142857","0","43571.42857142857","0","","false","kung_fu_master","1","27000","84","","","234.77142857142857","0","84","0","0.8571428571428571","0","1","0","kung_fu_master","0","0.5","","0.5","1","0","","84","pytorch","1.0714285714285714","1","256","true","0","10","true","","0.7857142857142857","0.14285714285714285","0.42857142857142855","","1","","10","100000","0.5","50000","0.14285714285714285","-1","custom","0","0","0","1","[""bn"",""in""]","0","0.00015","valid","1","0","43.42857142857143","0.14285714285714285","","1000000","50000000","","1","1","2404000","100","85.85714285714286","1000","0.01","234.77142857142857","","0.07142857142857142","0","[""byol_ql1_b0"",""byol_ql1_rep_test"",""ema_target_control"",""ankesh_config_replication"",""byol_base_no_ema"",""byol_base_shared"",""byol_base_control"",""byol_base_aug_control"",""hybrid_control"",""hybrid_aug_control""]","0.35714285714285715","0","714.6428571428571","0.9292857142857143","0","standard","0","","1","3","0.5","["""",""./wandb"",""./wandb_ablations""]","0","","","","","","","","0.9763818610208798","0.9763818610208798","1.26582367416981","0.9811234636292844","0.5165363729986037","0.17362333569064833","10034.335679399965","10034.335679399965","10064.692822257108","0.6939319457821037","0.6960868297124497","18708.571428571428","9560","4240","0.424823921925992","0.4261431380943054","0.4349106976394472","0.4362612365203493","3226.8258874571743","","1982.5130139225853","1982.5130139225853","3022.885714285714","1936.4214285714286","1252.0285714285715","405.33421839788923","0.03483794514374204","","","64.32998181183896","","","","","","","64.32998181183896","","","","","","","","","","","100000","0.2527108376649343","","","","","","0.4855931637947086","","","","","","0.019286076466533453","","0","","","","","",""
"""boxing""","""boxing""","""boxing""","finished","-","ankeshanand","","2020-06-22T00:12:48.000Z","412113","","0.001","0","0","","","32","10","0.9900000000000001","true","47398.84393063584","0.00009999999999999999","2000","","","10","","0.5","100000","true","51.97687861271676","1000000","","405.2485549132948","0.9713872832369943","","0","0","false","1","[""none"",""shift"",""intensity""]","1","32","1","false","0.46153846153846156","0","[""0"",""squared"",""1"",""with_norm""]","0.03861271676300578","1.25","[""none"",""q_l1"",""bilinear""]","false","0.6820809248554913","","0","true","0.057803468208092484","0.25","0.4046242774566474","256","1","0.45664739884393063","[""mlp"",""nature""]","0.6","true","boxing","1","60.01156069364162","","","236.21387283236993","0","47398.84393063584","0","0.6","false","boxing","1","27000","60.01156069364162","","","236.21387283236993","0","60.01156069364162","0","0.9421965317919075","0","1","0","boxing","0","0.6820809248554913","","0.5982658959537572","1","0","","60.01156069364162","pytorch","2.832369942196532","1","256","true","0","10","true","","0.9421965317919075","0.057803468208092484","0.653179190751445","","1","","10","100000","0.6820809248554913","50000","0.057803468208092484","-1","custom","0","0","0","1","[""bn"",""in""]","0","0.00015","[""same"",""valid""]","1","0","51.97687861271676","0.11560693641618497","","1000000","50000000","","1","1","2639768.7861271678","100","94.27745664739885","1000","0.01","236.21387283236993","","0.028901734104046242","0","[""ram_bits_test_der_control"",""ram_test_der_control"",""ram_bits_test_hybrid_control"",""ram_test_hybrid_control"",""ram_bits_test_hybrid_byol_squared"",""ram_bits_test_hybrid_byol_nogs_squared"",""byol_ql1_squared_nogs_m1"",""byol_ql1_squared_nogs_m2"",""byol_ql1_squared_nogs_m5"",""ram_bits_test_der_byol""]","0.3699421965317919","0","405.2485549132948","0.9713872832369943","0","[""mlp"",""standard""]","0","0.6666666666666666","1","3","0.5","["""",""./wandb"",""./wandb_ablations""]","0","","","","","","","","0.4506297745332073","0.4506297745332073","2.5536703714630145","0.5043301080211654","-2.2694786608080006","1.0394120675652772","5.708246628131021","5.708246628131021","9.60102119460501","56.08246628131021","95.01021194605009","25.063583815028903","5.777456647398844","-14.959537572254336","0.07821822354436571","0.13251075585223163","0.4673538856775851","0.7917517662170842","8.138970548596447","","1769.0615606936417","1769.0615606936417","1784.9826589595375","1772.1849710982658","1725.208092485549","14.656306839169925","0.15241802402653815","","","58.48755298651252","","","","","","","5.1518304431599224","","","","","","","","","","","100000","0.50359542581539","","","","","","0.3419993200068907","","","","","","0.29417787855713795","","0","","","","","",""
