"Name","ID","Name","State","Notes","User","Tags","Created","Runtime","Sweep","agent.eps_eval","agent.eps_final","agent.eps_init","algo.amortization_decay_constant","algo.amortization_loss_weight","algo.batch_size","algo.clip_grad_norm","algo.discount","algo.double_dqn","algo.eps_steps","algo.learning_rate","algo.min_steps_learn","algo.model_nce_weight","algo.model_rl_weight","algo.n_step_return","algo.nce_loss_weight","algo.pri_alpha","algo.pri_beta_steps","algo.prioritized_replay","algo.replay_ratio","algo.replay_size","algo.reward_loss_weight","algo.target_update_interval","algo.target_update_tau","alternating","amortization_decay_constant","amortization_loss_weight","async_sample","aug_prob","augmentation","batch_b","batch_size","batch_t","beluga","buffered_nce","c1","classifier","control","cosine_nce","debug","debug_cuda_idx","der","detach_model","dirichlet_alpha","dueling","dynamics_blocks","encoder","env.episodic_lives","env.game","env.grayscale","env.imagesize","env.num_img_obs","env.stack_actions","eval_augmentation","eval_env.episodic_lives","eval_env.game","eval_env.grayscale","eval_env.horizon","eval_env.imagesize","eval_env.num_img_obs","eval_env.stack_actions","eval_imagesize","eval_simulations","fasteval","film","frame_dropout","game","global_local_nce","global_nce","gpu_per_run","grad_scale_factor","grayscale","hard_neg_factor","hyperthread_offset","imagesize","jumps","keep_last_frame","latent_size","learn_model","local_nce","max_grad_norm","model.dueling","model.framestack","model_nce_weight","model_rl_weight","momentum_encoder","n_cpu_core","n_gpu","n_socket","n_step","n_steps","nce","nce_loss_decay_steps","nce_loss_weight","nce_loss_weight_final","nce_type","no_rl_augmentation","no_search_control","noisy_nets","norm_type","num_simulations","optim.eps","padding","q_dirichlet","replay_ratio","reward_loss_weight","run_slot","runner.log_interval_steps","runner.n_steps","sample_gpu_per_run","sampler.batch_B","sampler.batch_T","sampler.eval_max_steps","sampler.eval_max_trajectories","sampler.eval_n_envs","sampler.max_decorrelation_steps","search_epsilon","seed","set_affinity","shared_encoder","stack_actions","tag","target_augmentation","target_encoder_sn","target_update_interval","target_update_tau","time_contrastive","transition_model","use_all_targets","virtual_loss_c","virtual_threads","visit_temp","AmortizationLoss","CumCompletedTrajs","CumEvalTime","CumReplayRatio","CumSteps","CumTime (s)","CumTrainTime","CumUpdates","DiscountedReturn","DiscountedReturnAverage","DiscountedReturnMax","DiscountedReturnMedian","DiscountedReturnMin","DiscountedReturnStd","GameScore","GameScoreAverage","GameScoreBest","GameScoreDERNormalized","GameScoreDERNormalizedBest","GameScoreMax","GameScoreMedian","GameScoreMin","GameScoreNatureNormalized","GameScoreNatureNormalizedBest","GameScoreNormalized","GameScoreNormalizedBest","GameScoreStd","Iteration","Length","LengthAverage","LengthMax","LengthMedian","LengthMin","LengthStd","ModelNCELoss","NCEAcc","NCELoss","NonzeroRewards","NonzeroRewardsAverage","NonzeroRewardsMax","NonzeroRewardsMedian","NonzeroRewardsMin","NonzeroRewardsStd","ReplayRatio","Return","ReturnAverage","ReturnMax","ReturnMedian","ReturnMin","ReturnStd","RewardLoss","StepsInEval","StepsPerSecond","TrajsInEval","UpdatesPerSecond","cum_steps","gradNorm","gradNormAverage","gradNormMax","gradNormMedian","gradNormMin","gradNormStd","loss","lossAverage","lossMax","lossMedian","lossMin","lossStd","modelGradNorm","modelLoss","modelRLLoss","tdAbsErr","tdAbsErrAverage","tdAbsErrMax","tdAbsErrMedian","tdAbsErrMin","tdAbsErrStd"
"fragrant-lion-23590","2u01gxup","fragrant-lion-23590","finished","-","ankeshanand","","2020-06-09T23:52:47.000Z","11641","","0.001","0","0","","","64","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","64","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","4","nature","true","boxing","1","84","","0","0","false","boxing","1","27000","84","","0","84","0","1","0","0","boxing","1","0","","0.5","1","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","420","","0","0","","0","0","2000","1","1","standard","0","1","3","0.5","0","","","","","","","","0.5745674717575103","0.5745674717575103","2.6363586055303134","0.5464259294217682","-1.7301622863287915","1.083074813099124","56.89","56.89","56.89","567.9","567.9","87","68.5","-24","0.7920502092050209","0.7920502092050209","4.7325","4.7325","25.815458547157363","","1599.98","1599.98","1785","1561","1242","128.7412117388989","0","","","77.43","","","","","","","30.95","","","","","","","","","","","100000","2.176692211061716","","","","","","0.8062604342937469","","","","","","0","","0","","","","","",""
"warm-eon-23477","38cwk8tq","warm-eon-23477","finished","-","ankeshanand","","2020-06-09T23:46:38.000Z","8879","","0.001","0","0","","","64","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","64","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","4","nature","true","boxing","1","84","","0","0","false","boxing","1","27000","84","","0","84","0","1","0","0","boxing","1","0","","0.5","1","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","444","","0","0","","0","0","2000","1","1","standard","0","1","3","0.5","0","","","","","","","","1.312318250796556","1.312318250796556","3.591198519368342","1.2207325810016596","-0.9224095919198828","1.0719164518809507","38.61","38.61","38.61","385.1","385.1","59","42","10","0.5370990237099024","0.5370990237099024","3.2091666666666665","3.2091666666666665","10.650722980154914","","1781.89","1781.89","1786","1782","1778","2.120825311052279","0","","","70.04","","","","","","","34.48","","","","","","","","","","","100000","2.0919843332231043","","","","","","0.723487610629201","","","","","","0","","0","","","","","",""
"youthful-plant-23582","bcvc2lrf","youthful-plant-23582","finished","-","ankeshanand","","2020-06-09T23:50:23.000Z","13706","","0.001","0","0","","","64","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","64","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","4","nature","true","krull","1","84","","0","0","false","krull","1","27000","84","","0","84","0","1","0","0","krull","1","0","","0.5","1","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","88","","0","0","","0","0","2000","1","1","standard","0","1","3","0.5","0","","","","","","","","2.1033865109919265","2.1033865109919265","3.2347646900293245","2.0941454109126743","1.0973693239548892","0.40140657922795897","5008.48","5008.48","5008.48","2.7207658556043075","2.7207658556043075","6543","5185","2610","1.545301314000906","1.545301314000906","3.194829039812646","3.194829039812646","1002.0098949611224","","1354.28","1354.28","1795","1440.5","984","156.1323208051427","0","","","431.11","","","","","","","431.11","","","","","","","","","","","100000","0.7016692546620965","","","","","","0.18590380993187428","","","","","","0","","0","","","","","",""
"confused-serenity-23579","pcpdpuot","confused-serenity-23579","finished","-","ankeshanand","","2020-06-09T23:50:04.000Z","7644","","0.001","0","0","","","64","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","64","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","4","nature","true","krull","1","84","","0","0","false","krull","1","27000","84","","0","84","0","1","0","0","krull","1","0","","0.5","1","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","420","","0","0","","0","0","2000","1","1","standard","0","1","3","0.5","0","","","","","","","","1.7107437751405","1.7107437751405","2.1155386372529756","1.7645069081592368","1.2015123876247702","0.23904956605026473","4036.62","4036.62","4407.94","1.9454487435181491","2.2416753091344233","5274","4197","2142","1.1049478930675125","1.2731943815133664","2.2844215456674473","2.6322622950819667","714.3851591403618","","1369.91","1369.91","1997","1451","832","198.98518010143368","0","","","346.42","","","","","","","346.42","","","","","","","","","","","100000","1.1618585128575565","","","","","","0.3375450880408287","","","","","","0","","0","","","","","",""
"stellar-dust-23506","3puzeeof","stellar-dust-23506","finished","-","ankeshanand","","2020-06-09T23:47:59.000Z","12485","","0.001","0","0","","","64","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","64","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","4","nature","true","krull","1","84","","0","0","false","krull","1","27000","84","","0","84","0","1","0","0","krull","1","0","","0.5","1","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","101","","0","0","","0","0","2000","1","1","standard","0","1","3","0.5","0","","","","","","","","1.713209106950088","1.713209106950088","2.074330145021021","1.7034098523477246","1.288555388891938","0.14356913230175708","3823.41","3823.41","4331.79","1.775357000398883","2.1809254088552055","4914","4099.5","2055","1.0083416402356138","1.2386905301314002","2.084693208430913","2.560927400468384","706.173931761857","","1324.54","1324.54","1666","1435","877","179.38937649704903","0","","","334.41","","","","","","","334.41","","","","","","","","","","","100000","1.0338221106275916","","","","","","0.2683895425617695","","","","","","0","","0","","","","","",""
"noble-cloud-23489","36ef17xf","noble-cloud-23489","finished","-","ankeshanand","","2020-06-09T23:47:53.000Z","7934","","0.001","0","0","","","64","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","64","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","4","nature","true","krull","1","84","","0","0","false","krull","1","27000","84","","0","84","0","1","0","0","krull","1","0","","0.5","1","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","444","","0","0","","0","0","2000","1","1","standard","0","1","3","0.5","0","","","","","","","","1.6346238098652657","1.6346238098652657","2.187461574441111","1.6774163358096357","1.0427172229435853","0.2535739249141935","3799.5","3799.5","4540.68","1.7562824092540883","2.347570801755086","6966","3885.5","1467","0.9975079293158132","1.3333393747168103","2.0622950819672132","2.756608899297424","936.4366769835534","","1355.03","1355.03","2592","1385","839","276.3558016398425","0","","","327.66","","","","","","","327.66","","","","","","","","","","","100000","0.9884272491902112","","","","","","0.29708512342199683","","","","","","0","","0","","","","","",""
"feasible-star-23558","21jafien","feasible-star-23558","finished","-","ankeshanand","","2020-06-09T23:49:22.000Z","14503","","0.001","0","0","","","64","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","64","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","4","nature","true","krull","1","84","","0","0","false","krull","1","27000","84","","0","84","0","1","0","0","krull","1","0","","0.5","1","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","123","","0","0","","0","0","2000","1","1","standard","0","1","3","0.5","0","","","","","","","","1.8325571505870568","1.8325571505870568","2.6339544103419565","1.8072660852012217","1.3266995934492667","0.30101272472000956","3506","3506","3506","1.5221380135620264","1.5221380135620264","4482","3653","2117","0.864521975532397","0.864521975532397","1.7873536299765809","1.7873536299765809","600.4105262235165","","1333.96","1333.96","1504","1430.5","847","162.43268882832666","0","","","303.46","","","","","","","303.46","","","","","","","","","","","100000","0.9987601891964674","","","","","","0.2603197686500847","","","","","","0","","0","","","","","",""
"morning-jazz-23495","3fubdhtq","morning-jazz-23495","finished","-","ankeshanand","","2020-06-09T23:47:55.000Z","11857","","0.001","0","0","","","64","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","64","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","4","nature","true","boxing","1","84","","0","0","false","boxing","1","27000","84","","0","84","0","1","0","0","boxing","1","0","","0.5","1","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","88","","0","0","","0","0","2000","1","1","standard","0","1","3","0.5","0","","","","","","","","1.0964783889692522","1.0964783889692522","3.214454978364623","0.6608634065846659","-0.656250671341354","1.157096975101539","19.13","19.13","19.13","190.29999999999995","190.29999999999995","37","20","0","0.26541143654114363","0.26541143654114363","1.5858333333333332","1.5858333333333332","7.905257744058697","","1781.94","1781.94","1786","1782","1778","2.1809172382279893","0","","","64.77","","","","","","","17.43","","","","","","","","","","","100000","1.946232570284605","","","","","","0.7104819820553064","","","","","","0","","0","","","","","",""
"legendary-jazz-23596","zafekq74","legendary-jazz-23596","finished","-","ankeshanand","","2020-06-09T23:54:37.000Z","11326","","0.001","0","0","","","64","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","64","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","4","nature","true","road_runner","1","84","","0","0","false","road_runner","1","27000","84","","0","84","0","1","0","0","road_runner","1","0","","0.5","1","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","444","","0","0","","0","0","2000","1","1","standard","0","1","3","0.5","0","","","","","","","","2.7947296251770437","2.7947296251770437","3.815233823069312","2.7450737599283603","1.9795724937331105","0.490409081983132","12363","12363","13374","1.2881576888981592","1.393596495802263","18200","12550","4500","0.6769614425474775","0.7323723657888246","1.5767536860917852","1.7058147698985129","2932.4274927097517","","1122.51","1122.51","1484","1197","528","197.79982280072952","0","","","52.38","","","","","","","52.38","","","","","","","","","","","100000","2.463652500644326","","","","","","0.6793279416024685","","","","","","0","","0","","","","","",""
"eager-oath-23589","1c5od2yf","eager-oath-23589","finished","-","ankeshanand","","2020-06-09T23:52:29.000Z","10527","","0.001","0","0","","","64","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","64","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","4","nature","true","road_runner","1","84","","0","0","false","road_runner","1","27000","84","","0","84","0","1","0","0","road_runner","1","0","","0.5","1","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","123","","0","0","","0","0","2000","1","1","standard","0","1","3","0.5","0","","","","","","","","3.670965867906975","3.670965867906975","6.233300452997008","3.698678528553438","1.873174638753488","0.7728500360029233","11916","11916","11916","1.2415393440058404","1.2415393440058404","16800","12100","6100","0.6524622509659916","0.6524622509659916","1.5196910704027573","1.5196910704027573","1956.7176597557452","","950.06","950.06","4617","915","553","375.1018480359701","0","","","47.46","","","","","","","47.46","","","","","","","","","","","100000","1.5934116148233413","","","","","","0.7878984658241271","","","","","","0","","0","","","","","",""
