"Name","ID","Name","State","Notes","User","Tags","Created","Runtime","Sweep","agent.eps_eval","agent.eps_final","agent.eps_init","algo.amortization_decay_constant","algo.amortization_loss_weight","algo.batch_size","algo.clip_grad_norm","algo.discount","algo.double_dqn","algo.eps_steps","algo.learning_rate","algo.min_steps_learn","algo.model_nce_weight","algo.model_rl_weight","algo.n_step_return","algo.nce_loss_weight","algo.pri_alpha","algo.pri_beta_steps","algo.prioritized_replay","algo.replay_ratio","algo.replay_size","algo.reward_loss_weight","algo.target_update_interval","algo.target_update_tau","alternating","amortization_decay_constant","amortization_loss_weight","async_sample","aug_prob","augmentation","batch_b","batch_size","batch_t","beluga","buffered_nce","c1","classifier","control","cosine_nce","debug","debug_cuda_idx","der","detach_model","dirichlet_alpha","dueling","dynamics_blocks","encoder","env.episodic_lives","env.game","env.grayscale","env.imagesize","env.num_img_obs","env.stack_actions","eps_steps","eval_augmentation","eval_env.episodic_lives","eval_env.game","eval_env.grayscale","eval_env.horizon","eval_env.imagesize","eval_env.num_img_obs","eval_env.stack_actions","eval_imagesize","eval_simulations","fasteval","film","frame_dropout","game","global_local_nce","global_nce","gpu_per_run","grad_scale_factor","grayscale","hard_neg_factor","hyperthread_offset","imagesize","jumps","keep_last_frame","latent_size","learn_model","local_nce","max_grad_norm","model.dueling","model.framestack","model_nce_weight","model_rl_weight","momentum_encoder","n_cpu_core","n_gpu","n_socket","n_step","n_steps","nce","nce_loss_decay_steps","nce_loss_weight","nce_loss_weight_final","nce_type","no_rl_augmentation","no_search_control","noisy_nets","norm_type","num_simulations","optim.eps","padding","q_dirichlet","replay_ratio","reward_loss_weight","run_slot","runner.log_interval_steps","runner.n_steps","sample_gpu_per_run","sampler.batch_B","sampler.batch_T","sampler.eval_max_steps","sampler.eval_max_trajectories","sampler.eval_n_envs","sampler.max_decorrelation_steps","search_epsilon","seed","set_affinity","shared_encoder","stack_actions","tag","target_augmentation","target_encoder_sn","target_update_interval","target_update_tau","time_contrastive","transition_model","use_all_targets","virtual_loss_c","virtual_threads","visit_temp","AmortizationLoss","CumCompletedTrajs","CumEvalTime","CumReplayRatio","CumSteps","CumTime (s)","CumTrainTime","CumUpdates","DiscountedReturn","DiscountedReturnAverage","DiscountedReturnMax","DiscountedReturnMedian","DiscountedReturnMin","DiscountedReturnStd","GameScore","GameScoreAverage","GameScoreBest","GameScoreDERNormalized","GameScoreDERNormalizedBest","GameScoreMax","GameScoreMedian","GameScoreMin","GameScoreNatureNormalized","GameScoreNatureNormalizedBest","GameScoreNormalized","GameScoreNormalizedBest","GameScoreStd","Iteration","Length","LengthAverage","LengthMax","LengthMedian","LengthMin","LengthStd","ModelNCELoss","NCEAcc","NCELoss","NonzeroRewards","NonzeroRewardsAverage","NonzeroRewardsMax","NonzeroRewardsMedian","NonzeroRewardsMin","NonzeroRewardsStd","ReplayRatio","Return","ReturnAverage","ReturnMax","ReturnMedian","ReturnMin","ReturnStd","RewardLoss","StepsInEval","StepsPerSecond","TrajsInEval","UpdatesPerSecond","cum_steps","gradNorm","gradNormAverage","gradNormMax","gradNormMedian","gradNormMin","gradNormStd","loss","lossAverage","lossMax","lossMedian","lossMin","lossStd","modelGradNorm","modelLoss","modelRLLoss","tdAbsErr","tdAbsErrAverage","tdAbsErrMax","tdAbsErrMedian","tdAbsErrMin","tdAbsErrStd"
"grateful-plasma-23907","2qjjio1g","grateful-plasma-23907","finished","-","maxa-schwarzer","","2020-06-10T18:50:00.000Z","3","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","2","nature","true","krull","1","84","","0","","0","false","krull","1","27000","84","","0","84","0","1","0","0","krull","1","0","","0.5","1","0","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","446","","0","0","fixed_gl","0","0","2000","1","1","standard","0","1","3","0.5","0","","","","","","","","1.988091677730519","1.988091677730519","2.530610658410726","2.0054718978756556","1.3442023715008191","0.3683026996936556","3658.37","3658.37","3867.33","1.6436936577582768","1.8103948942959711","5520","3810","1598","0.9335613955595832","1.0282419574082464","1.9300889929742389","2.1258360655737705","845.6807867629486","","1338.56","1338.56","2045","1424.5","772","248.7020836261731","0","","","317.44","","","","","","","317.44","","","","","","","","","","","100000","0.9735125308729708","","","","","","0.27029811600018294","","","","","","0","","0","","","","","",""
"legendary-brook-23853","q1zaxvyd","legendary-brook-23853","finished","-","maxa-schwarzer","","2020-06-10T18:43:55.000Z","3","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","2","nature","true","road_runner","1","84","","0","","0","false","road_runner","1","27000","84","","0","84","0","1","0","0","road_runner","1","0","","0.5","1","0","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","445","","0","0","fixed_gl","0","0","2000","1","1","standard","0","1","3","0.5","0","","","","","","","","5.834152238821758","5.834152238821758","9.645182001727752","5.788640577220036","2.0821427996655317","1.4584862145089108","12114","12114","12387","1.2621890806695522","1.2906606872816395","22500","12600","4900","0.6633142418678578","0.6782768353840674","1.544967128358971","1.5798174506925384","3449.9860869284676","","1593.8","1593.8","17361","816.5","292","2434.419750166351","0","","","51.74","","","","","","","51.74","","","","","","","","","","","100000","4.14350890905112","","","","","","1.0231421631455422","","","","","","0","","0","","","","","",""
"curious-smoke-23890","zmzstmot","curious-smoke-23890","finished","-","maxa-schwarzer","","2020-06-10T18:48:03.000Z","2","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","2","nature","true","krull","1","84","","0","","0","false","krull","1","27000","84","","0","84","0","1","0","0","krull","1","0","","0.5","1","0","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","444","","0","0","fixed_gl","0","0","2000","1","1","standard","0","1","3","0.5","0","","","","","","","","1.5578636144722646","1.5578636144722646","2.286430673839349","1.5732275801433606","1.10540078898892","0.22284278442004263","3165.12","3165.12","3862.93","1.250195452732349","1.8068847227762264","4869","3506","1200","0.7100679655641141","1.0262483008608971","1.4680281030444964","2.1217142857142854","879.657902596231","","1306.52","1306.52","2060","1412","718","257.6632872568383","0","","","275.11","","","","","","","275.11","","","","","","","","","","","100000","1.3342465124756098","","","","","","0.3613121816592291","","","","","","0","","0","","","","","",""
"fluent-disco-23884","v5xpuj46","fluent-disco-23884","finished","-","maxa-schwarzer","","2020-06-10T18:47:27.000Z","2","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","2","nature","true","up_n_down","1","84","","0","","0","false","up_n_down","1","27000","84","","0","84","0","1","0","0","up_n_down","1","0","","0.5","1","0","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","444","","0","0","fixed_gl","0","0","2000","1","1","standard","0","1","3","0.5","0","","","","","","","","5.732227112471882","5.732227112471882","7.256619440774957","5.372401096390011","4.613436210956208","0.8640020080348755","16868.7","16868.7","30716.2","6.968984641638226","12.876621160409556","41510","16475","3880","2.0618610052255573","3.8097089339358288","1.4637627914478757","2.7046004408681155","6952.043103289852","","3188.14","3188.14","6793","3036.5","720","1193.1252995389882","0","","","215.02","","","","","","","215.02","","","","","","","","","","","100000","2.159314088782668","","","","","","0.9790195421218872","","","","","","0","","0","","","","","",""
"likely-gorge-23956","1isebs62","likely-gorge-23956","finished","-","maxa-schwarzer","","2020-06-10T18:55:18.000Z","2","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","2","nature","true","road_runner","1","84","","0","","0","false","road_runner","1","27000","84","","0","84","0","1","0","0","road_runner","1","0","","0.5","1","0","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","446","","0","0","fixed_gl","0","0","2000","1","1","standard","0","1","3","0.5","0","","","","","","","","1.973152724882344","1.973152724882344","2.86811490021281","2.0236814759025235","0.94693070968033","0.4227536643407343","9255","9255","9255","0.964019398237472","0.964019398237472","17200","9450","300","0.5066180702090927","0.5066180702090927","1.179996170294249","1.179996170294249","3824.6143596446423","","867.82","867.82","1245","928","299","236.1278628201255","0","","","37.42","","","","","","","37.42","","","","","","","","","","","100000","6.07387517785728","","","","","","0.8439512383840978","","","","","","0","","0","","","","","",""
"desert-snowflake-23859","tlxsgh6o","desert-snowflake-23859","finished","-","maxa-schwarzer","","2020-06-10T18:44:30.000Z","4","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","2","nature","true","road_runner","1","84","","0","","0","false","road_runner","1","27000","84","","0","84","0","1","0","0","road_runner","1","0","","0.5","1","0","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","448","","0","0","fixed_gl","0","0","2000","1","1","standard","0","1","3","0.5","0","","","","","","","","3.556513143917795","3.556513143917795","6.420988105782445","3.163621199782379","1.3020083500553812","1.6091005222071364","8816","8816","8816","0.9182353861396464","0.9182353861396464","14000","9100","2500","0.48255734290647007","0.48255734290647007","1.123954809472139","1.123954809472139","2177.2331064908967","","2550.89","2550.89","27001","1025","377","4219.540642996581","0","","","37.85","","","","","","","37.85","","","","","","","","","","","100000","4.828858541712165","","","","","","0.8840237842381","","","","","","0","","0","","","","","",""
"eager-vortex-23900","bgtf1aaw","eager-vortex-23900","finished","-","maxa-schwarzer","","2020-06-10T18:49:09.000Z","3","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","2","nature","true","krull","1","84","","0","","0","false","krull","1","27000","84","","0","84","0","1","0","0","krull","1","0","","0.5","1","0","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","445","","0","0","fixed_gl","0","0","2000","1","1","standard","0","1","3","0.5","0","","","","","","","","1.5127531173470763","1.5127531173470763","2.1097544124961773","1.5577320264841168","0.9330706053112532","0.22587043603388868","2776.04","2776.04","3010.14","0.939800558436378","1.1265576386118863","4101","2655","912","0.5337743543271409","0.6398459447213412","1.1035503512880562","1.322847775175644","837.7210027210731","","1271.26","1271.26","1579","1351.5","730","211.87782422896453","0","","","238.94","","","","","","","238.94","","","","","","","","","","","100000","0.9708807268634438","","","","","","0.3450240006648004","","","","","","0","","0","","","","","",""
"kind-meadow-23913","21vms6uo","kind-meadow-23913","finished","-","maxa-schwarzer","","2020-06-10T18:50:42.000Z","3","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","2","nature","true","freeway","1","84","","0","","0","false","freeway","1","27000","84","","0","84","0","1","0","0","freeway","1","0","","0.5","1","0","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","444","","0","0","fixed_gl","0","0","2000","1","1","standard","0","1","3","0.5","0","","","","","","","","1.374551960455549","1.374551960455549","1.4361032624129384","1.3702283022630837","1.317215415944024","0.03131843839606423","31.3","31.3","31.46","1.1218637992831542","1.1275985663082435","32","31","30","1.033003300330033","1.0382838283828384","1.0574324324324325","1.0628378378378378","0.5567764362830022","","2044.05","2044.05","2048","2044","2040","2.2197972880423116","0","","","31.3","","","","","","","31.3","","","","","","","","","","","100000","0.9808098558098076","","","","","","0.4540156514622271","","","","","","0","","0","","","","","",""
"snowy-bird-23887","97702ajp","snowy-bird-23887","finished","-","maxa-schwarzer","","2020-06-10T18:47:46.000Z","2","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","2","nature","true","road_runner","1","84","","0","","0","false","road_runner","1","27000","84","","0","84","0","1","0","0","road_runner","1","0","","0.5","1","0","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","444","","0","0","fixed_gl","0","0","2000","1","1","standard","0","1","3","0.5","0","","","","","","","","1.8378571982997731","1.8378571982997731","3.6474867565039792","1.786568872183734","1.0328900182025569","0.5177917343211754","7973","7973","8217","0.8303175679199041","0.8557647181519529","11500","8100","800","0.43635416952125183","0.4497273300265819","1.0163400778706837","1.0474883513116742","1919.4194434776368","","1911.31","1911.31","13576","1017","776","2476.937563585324","0","","","34","","","","","","","34","","","","","","","","","","","100000","2.0492777399629354","","","","","","0.8514391460388899","","","","","","0","","0","","","","","",""
"serene-dragon-23880","yo22rbcv","serene-dragon-23880","finished","-","maxa-schwarzer","","2020-06-10T18:47:01.000Z","3","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","2","nature","true","freeway","1","84","","0","","0","false","freeway","1","27000","84","","0","84","0","1","0","0","freeway","1","0","","0.5","1","0","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","0","64","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","445","","0","0","fixed_gl","0","0","2000","1","1","standard","0","1","3","0.5","0","","","","","","","","1.2764738718755115","1.2764738718755115","1.4144791347016732","1.359632034926073","0.7547486429253001","0.18398017777123477","29.58","29.58","29.58","1.060215053763441","1.060215053763441","31","30","27","0.976237623762376","0.976237623762376","0.9993243243243242","0.9993243243243242","1.2262136844775464","","2044.55","2044.55","2048","2045","2040","2.1511624764298953","0","","","29.58","","","","","","","29.58","","","","","","","","","","","100000","0.9324724564954638","","","","","","0.4772775882802904","","","","","","0","","0","","","","","",""
