"Name","ID","Name","State","Notes","User","Tags","Created","Runtime","Sweep","agent.eps_eval","agent.eps_final","agent.eps_init","algo.amortization_decay_constant","algo.amortization_loss_weight","algo.batch_size","algo.clip_grad_norm","algo.discount","algo.double_dqn","algo.eps_steps","algo.learning_rate","algo.min_steps_learn","algo.model_nce_weight","algo.model_rl_weight","algo.n_step_return","algo.nce_loss_weight","algo.pri_alpha","algo.pri_beta_steps","algo.prioritized_replay","algo.replay_ratio","algo.replay_size","algo.reward_loss_weight","algo.target_update_interval","algo.target_update_tau","alternating","amortization_decay_constant","amortization_loss_weight","async_sample","aug_prob","augmentation","batch_b","batch_size","batch_t","beluga","buffered_nce","c1","classifier","control","cosine_nce","debug","debug_cuda_idx","der","detach_model","dirichlet_alpha","dueling","dynamics_blocks","encoder","env.episodic_lives","env.game","env.grayscale","env.imagesize","env.num_img_obs","env.stack_actions","eval_augmentation","eval_env.episodic_lives","eval_env.game","eval_env.grayscale","eval_env.horizon","eval_env.imagesize","eval_env.num_img_obs","eval_env.stack_actions","eval_imagesize","eval_simulations","fasteval","film","frame_dropout","game","global_local_nce","global_nce","gpu_per_run","grad_scale_factor","grayscale","hard_neg_factor","hyperthread_offset","imagesize","jumps","keep_last_frame","latent_size","learn_model","local_nce","max_grad_norm","model.dueling","model.framestack","model_nce_weight","model_rl_weight","momentum_encoder","n_cpu_core","n_gpu","n_socket","n_step","n_steps","nce","nce_loss_decay_steps","nce_loss_weight","nce_loss_weight_final","nce_type","no_rl_augmentation","no_search_control","noisy_nets","norm_type","num_simulations","optim.eps","padding","q_dirichlet","replay_ratio","reward_loss_weight","run_slot","runner.log_interval_steps","runner.n_steps","sample_gpu_per_run","sampler.batch_B","sampler.batch_T","sampler.eval_max_steps","sampler.eval_max_trajectories","sampler.eval_n_envs","sampler.max_decorrelation_steps","search_epsilon","seed","set_affinity","shared_encoder","stack_actions","tag","target_augmentation","target_encoder_sn","target_update_interval","target_update_tau","time_contrastive","transition_model","use_all_targets","virtual_loss_c","virtual_threads","visit_temp","AmortizationLoss","CumCompletedTrajs","CumEvalTime","CumReplayRatio","CumSteps","CumTime (s)","CumTrainTime","CumUpdates","DiscountedReturn","DiscountedReturnAverage","DiscountedReturnMax","DiscountedReturnMedian","DiscountedReturnMin","DiscountedReturnStd","GameScore","GameScoreAverage","GameScoreBest","GameScoreDERNormalized","GameScoreDERNormalizedBest","GameScoreMax","GameScoreMedian","GameScoreMin","GameScoreNatureNormalized","GameScoreNatureNormalizedBest","GameScoreNormalized","GameScoreNormalizedBest","GameScoreStd","Iteration","Length","LengthAverage","LengthMax","LengthMedian","LengthMin","LengthStd","ModelNCELoss","NCEAcc","NCELoss","NonzeroRewards","NonzeroRewardsAverage","NonzeroRewardsMax","NonzeroRewardsMedian","NonzeroRewardsMin","NonzeroRewardsStd","ReplayRatio","Return","ReturnAverage","ReturnMax","ReturnMedian","ReturnMin","ReturnStd","RewardLoss","StepsInEval","StepsPerSecond","TrajsInEval","UpdatesPerSecond","cum_steps","gradNorm","gradNormAverage","gradNormMax","gradNormMedian","gradNormMin","gradNormStd","loss","lossAverage","lossMax","lossMedian","lossMin","lossStd","modelGradNorm","modelLoss","modelRLLoss","tdAbsErr","tdAbsErrAverage","tdAbsErrMax","tdAbsErrMedian","tdAbsErrMin","tdAbsErrStd"
"divine-wildflower-13089","66fa69kg","divine-wildflower-13089","finished","-","ankeshanand","nature encoder 64/32","2020-05-27T22:14:08.000Z","19105","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","1600","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","","false","0","1.25","bilinear","false","0","true","0","","1","0.25","0","4","nature","true","krull","1","84","","0","0","false","krull","1","27000","84","","0","84","0","","0","0","krull","1","0","","","1","","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","1","","1","","custom","0","0","1","in","0","0.00015","valid","0","64","1","","1000000","50000000","","16","2","2000000","100","100","1000","0.01","88","","0","0","","0","","2000","1","1","standard","","1","3","0.5","0","","","","","","","","","1.8151236757825524","2.9339342279312","1.8043128403811304","1.0983648793938932","0.38210376469919105","","4372.11","","","","5355","4458.5","1491","","","2.5986978922716624","","727.4927751531282","","","1395.8","1510","1445.5","699","138.50198554533435","0","","","","","","","","","","","","","","","","","","","","","100000","1.2718306927934289","","","","","","0.2525429097045213","","","","","","0","","0","","","","","",""
"desert-shape-13094","1d9tcm10","desert-shape-13094","finished","-","ankeshanand","nature encoder 64/64","2020-05-27T22:32:12.000Z","11666","","0.001","0","0","","","64","10","0.99","true","50000","0.0001","1600","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","64","","false","0","1.25","bilinear","false","0","true","0","","1","0.25","0","4","nature","true","krull","1","84","","0","0","false","krull","1","27000","84","","0","84","0","","0","0","krull","1","0","","","1","","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","1","","1","","custom","0","0","1","in","0","0.00015","valid","0","64","1","","1000000","50000000","","16","2","2000000","100","100","1000","0.01","444","","0","0","","0","","2000","1","1","standard","","1","3","0.5","0","","","","","","","","","1.686634263730716","2.47309312278024","1.710088696774418","0.9488141858788818","0.31104133698681313","","4025.93","","","","6525","4330.5","1524","","","2.274407494145199","","1086.6675872133114","","","1340.01","2008","1430","742","257.4565398275989","0","","","","","","","","","","","","","","","","","","","","","100000","1.2061795216798783","","","","","","0.33664449905008076","","","","","","0","","0","","","","","",""
"eternal-firefly-12552","1m51fks8","eternal-firefly-12552","finished","-","ankeshanand","nature encoder 64/64","2020-05-27T18:51:50.000Z","6931","","0.001","0","0","","","64","10","0.99","true","50000","0.0001","1600","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","64","","false","0","1.25","bilinear","false","0","true","0","","1","0.25","0","4","nature","true","boxing","1","84","","0","0","false","boxing","1","27000","84","","0","84","0","","0","0","boxing","1","0","","","1","","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","1","","1","","custom","0","0","1","in","0","0.00015","valid","0","64","1","","1000000","50000000","","16","2","2000000","100","100","1000","0.01","420","","0","0","","0","","2000","1","1","standard","","1","3","0.5","0","","","","","","","","","0.8216124946005832","3.082500410738975","0.8551028800029256","-1.443217352470715","0.7871844436793273","","26.48","","","","62","26","-12","","","2.1983333333333333","","14.127618341390738","","","1781.75","1786","1782","1760","3.060637188560578","0","","","","","","","","","","","","","","","","","","","","","100000","3.2777254953980446","","","","","","0.8146896503567695","","","","","","0","","0","","","","","",""
"smooth-plasma-12565","23s02wet","smooth-plasma-12565","finished","-","ankeshanand","nature encoder 64/64","2020-05-27T18:51:57.000Z","11527","","0.001","0","0","","","64","10","0.99","true","50000","0.0001","1600","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","64","","false","0","1.25","bilinear","false","0","true","0","","1","0.25","0","4","nature","true","road_runner","1","84","","0","0","false","road_runner","1","27000","84","","0","84","0","","0","0","road_runner","1","0","","","1","","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","1","","1","","custom","0","0","1","in","0","0.00015","valid","0","64","1","","1000000","50000000","","16","2","2000000","100","100","1000","0.01","420","","0","0","","0","","2000","1","1","standard","","1","3","0.5","0","","","","","","","","","6.700218586643083","8.524091983674689","6.877768751235141","2.883138322078431","1.2200857289124665","","17090","","","","29800","17300","9600","","","2.180187655581796","","3852.518656671243","","","849.62","1049","842","678","41.72595834729263","0","","","","","","","","","","","","","","","","","","","","","100000","12.567579619562624","","","","","","0.8835548892945051","","","","","","0","","0","","","","","",""
"honest-water-12670","2rc7n3ku","honest-water-12670","finished","-","ankeshanand","nature encoder 64/64","2020-05-27T18:58:03.000Z","5861","","0.001","0","0","","","64","10","0.99","true","50000","0.0001","1600","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","64","","false","0","1.25","bilinear","false","0","true","0","","1","0.25","0","4","nature","true","boxing","1","84","","0","0","false","boxing","1","27000","84","","0","84","0","","0","0","boxing","1","0","","","1","","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","1","","1","","custom","0","0","1","in","0","0.00015","valid","0","64","1","","1000000","50000000","","16","2","2000000","100","100","1000","0.01","88","","0","0","","0","","2000","1","1","standard","","1","3","0.5","0","","","","","","","","","1.0354729804018168","3.0122638900933296","1.0067291161211438","-2.5454826579376735","1.0683837592422996","","24.08","","","","45","24","4","","","1.998333333333333","","8.211796392994653","","","1782.02","1786","1782","1778","2.163238313270177","0","","","","","","","","","","","","","","","","","","","","","100000","2.2687514589369298","","","","","","0.7111881598263979","","","","","","0","","0","","","","","",""
"revived-lion-12657","1ck1nyc4","revived-lion-12657","finished","-","ankeshanand","nature encoder 64/64","2020-05-27T18:54:02.000Z","10538","","0.001","0","0","","","64","10","0.99","true","50000","0.0001","1600","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","64","","false","0","1.25","bilinear","false","0","true","0","","1","0.25","0","4","nature","true","boxing","1","84","","0","0","false","boxing","1","27000","84","","0","84","0","","0","0","boxing","1","0","","","1","","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","1","","1","","custom","0","0","1","in","0","0.00015","valid","0","64","1","","1000000","50000000","","16","2","2000000","100","100","1000","0.01","101","","0","0","","0","","2000","1","1","standard","","1","3","0.5","0","","","","","","","","","1.451398422426275","3.907304653728201","1.6301314966048857","-1.4467220713610174","1.266391057307007","","23.12","","","","51","23","-3","","","1.9183333333333332","","10.73804451471496","","","1781.63","1786","1781","1778","2.3607414089645653","0","","","","","","","","","","","","","","","","","","","","","100000","3.0301571237027645","","","","","","0.7361808259755372","","","","","","0","","0","","","","","",""
"fiery-cosmos-12589","175orkn8","fiery-cosmos-12589","finished","-","ankeshanand","nature encoder 64/64","2020-05-27T18:52:05.000Z","15175","","0.001","0","0","","","64","10","0.99","true","50000","0.0001","1600","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","64","","false","0","1.25","bilinear","false","0","true","0","","1","0.25","0","4","nature","true","krull","1","84","","0","0","false","krull","1","27000","84","","0","84","0","","0","0","krull","1","0","","","1","","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","1","","1","","custom","0","0","1","in","0","0.00015","valid","0","64","1","","1000000","50000000","","16","2","2000000","100","100","1000","0.01","88","","0","0","","0","","2000","1","1","standard","","1","3","0.5","0","","","","","","","","","1.530526111197836","2.291398416868769","1.5573176069812082","0.6786591449575067","0.3671739702984929","","3495.93","","","","6771","3483","1692","","","1.7779203747072598","","741.0230395203647","","","1391.52","2574","1446","816","217.12275237754335","0","","","","","","","","","","","","","","","","","","","","","100000","1.244776961515844","","","","","","0.34761908130198715","","","","","","0","","0","","","","","",""
"crimson-gorge-12836","2acmg43u","crimson-gorge-12836","finished","-","ankeshanand","nature encoder 64/32","2020-05-27T22:00:38.000Z","21819","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","1600","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","","false","0","1.25","bilinear","false","0","true","0","","1","0.25","0","4","nature","true","road_runner","1","84","","0","0","false","road_runner","1","27000","84","","0","84","0","","0","0","road_runner","1","0","","","1","","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","1","","1","","custom","0","0","1","in","0","0.00015","valid","0","64","1","","1000000","50000000","","16","2","2000000","100","100","1000","0.01","444","","0","0","","0","","2000","1","1","standard","","1","3","0.5","0","","","","","","","","","5.389280452414754","7.783656765412043","5.436027680697592","2.7833448683129527","1.0728850436952253","","12389","","","","22100","12850","5000","","","1.5800727644092678","","3646.310326892104","","","889.12","11064","785","383","1043.9925697053595","0","","","","","","","","","","","","","","","","","","","","","100000","4.1961782526344065","","","","","","1.0257821827724576","","","","","","0","","0","","","","","",""
"amber-resonance-12863","3go5ziw8","amber-resonance-12863","finished","-","ankeshanand","nature encoder 64/32","2020-05-27T22:00:44.000Z","15984","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","1600","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","","false","0","1.25","bilinear","false","0","true","0","","1","0.25","0","4","nature","true","road_runner","1","84","","0","0","false","road_runner","1","27000","84","","0","84","0","","0","0","road_runner","1","0","","","1","","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","1","","1","","custom","0","0","1","in","0","0.00015","valid","0","64","1","","1000000","50000000","","16","2","2000000","100","100","1000","0.01","420","","0","0","","0","","2000","1","1","standard","","1","3","0.5","0","","","","","","","","","4.069913484840023","8.322120569350156","3.789706335252271","2.488317664850824","1.0562887864230817","","11513","","","","19100","11800","3700","","","1.468245356481777","","2895.674532816145","","","890.65","1114","972","505","186.12965239316384","0","","","","","","","","","","","","","","","","","","","","","100000","3.3790946587115527","","","","","","1.014518097050488","","","","","","0","","0","","","","","",""
"fast-music-12640","1uwoecz4","fast-music-12640","finished","-","ankeshanand","nature encoder 64/64","2020-05-27T18:52:29.000Z","16571","","0.001","0","0","","","64","10","0.99","true","50000","0.0001","1600","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","64","","false","0","1.25","bilinear","false","0","true","0","","1","0.25","0","4","nature","true","road_runner","1","84","","0","0","false","road_runner","1","27000","84","","0","84","0","","0","0","road_runner","1","0","","","1","","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","1","","1","","custom","0","0","1","in","0","0.00015","valid","0","64","1","","1000000","50000000","","16","2","2000000","100","100","1000","0.01","444","","0","0","","0","","2000","1","1","standard","","1","3","0.5","0","","","","","","","","","2.04969628789061","2.9083418350648396","2.1473055342163923","0.5794021592230051","0.6318879257382983","","11507","","","","15400","11800","6400","","","1.4674794153315889","","2066.2165907764847","","","1169.98","6966","1098","905","609.5423033719645","0","","","","","","","","","","","","","","","","","","","","","100000","15.477512843823432","","","","","","0.7578246131151914","","","","","","0","","0","","","","","",""
