"Name","ID","Name","State","Notes","User","Tags","Created","Runtime","Sweep","agent.eps_eval","agent.eps_final","agent.eps_init","algo.amortization_decay_constant","algo.amortization_loss_weight","algo.batch_size","algo.clip_grad_norm","algo.discount","algo.double_dqn","algo.eps_steps","algo.learning_rate","algo.min_steps_learn","algo.model_nce_weight","algo.model_rl_weight","algo.n_step_return","algo.nce_loss_weight","algo.pri_alpha","algo.pri_beta_steps","algo.prioritized_replay","algo.replay_ratio","algo.replay_size","algo.reward_loss_weight","algo.target_update_interval","algo.target_update_tau","alternating","amortization_decay_constant","amortization_loss_weight","async_sample","aug_prob","augmentation","batch_b","batch_size","batch_t","beluga","buffered_nce","c1","classifier","control","cosine_nce","debug","debug_cuda_idx","der","detach_model","dirichlet_alpha","dueling","dynamics_blocks","encoder","env.episodic_lives","env.game","env.grayscale","env.imagesize","env.num_img_obs","env.stack_actions","eval_augmentation","eval_env.episodic_lives","eval_env.game","eval_env.grayscale","eval_env.horizon","eval_env.imagesize","eval_env.num_img_obs","eval_env.stack_actions","eval_imagesize","eval_simulations","fasteval","film","frame_dropout","game","global_local_nce","global_nce","gpu_per_run","grad_scale_factor","grayscale","hard_neg_factor","hyperthread_offset","imagesize","jumps","keep_last_frame","latent_size","learn_model","local_nce","max_grad_norm","model.dueling","model.framestack","model_nce_weight","model_rl_weight","momentum_encoder","n_cpu_core","n_gpu","n_socket","n_step","n_steps","nce","nce_loss_decay_steps","nce_loss_weight","nce_loss_weight_final","nce_type","no_rl_augmentation","no_search_control","noisy_nets","norm_type","num_simulations","optim.eps","padding","q_dirichlet","replay_ratio","reward_loss_weight","run_slot","runner.log_interval_steps","runner.n_steps","sample_gpu_per_run","sampler.batch_B","sampler.batch_T","sampler.eval_max_steps","sampler.eval_max_trajectories","sampler.eval_n_envs","sampler.max_decorrelation_steps","search_epsilon","seed","set_affinity","shared_encoder","stack_actions","tag","target_augmentation","target_encoder_sn","target_update_interval","target_update_tau","time_contrastive","transition_model","use_all_targets","virtual_loss_c","virtual_threads","visit_temp","AmortizationLoss","CumCompletedTrajs","CumEvalTime","CumReplayRatio","CumSteps","CumTime (s)","CumTrainTime","CumUpdates","DiscountedReturn","DiscountedReturnAverage","DiscountedReturnMax","DiscountedReturnMedian","DiscountedReturnMin","DiscountedReturnStd","GameScore","GameScoreAverage","GameScoreBest","GameScoreDERNormalized","GameScoreDERNormalizedBest","GameScoreMax","GameScoreMedian","GameScoreMin","GameScoreNatureNormalized","GameScoreNatureNormalizedBest","GameScoreNormalized","GameScoreNormalizedBest","GameScoreStd","Iteration","Length","LengthAverage","LengthMax","LengthMedian","LengthMin","LengthStd","ModelNCELoss","NCEAcc","NCELoss","NonzeroRewards","NonzeroRewardsAverage","NonzeroRewardsMax","NonzeroRewardsMedian","NonzeroRewardsMin","NonzeroRewardsStd","ReplayRatio","Return","ReturnAverage","ReturnMax","ReturnMedian","ReturnMin","ReturnStd","RewardLoss","StepsInEval","StepsPerSecond","TrajsInEval","UpdatesPerSecond","cum_steps","gradNorm","gradNormAverage","gradNormMax","gradNormMedian","gradNormMin","gradNormStd","loss","lossAverage","lossMax","lossMedian","lossMin","lossStd","modelGradNorm","modelLoss","modelRLLoss","tdAbsErr","tdAbsErrAverage","tdAbsErrMax","tdAbsErrMedian","tdAbsErrMin","tdAbsErrStd"
"vague-sound-23372","3u4ydt0w","vague-sound-23372","finished","-","ankeshanand","","2020-06-09T23:10:44.000Z","10378","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","32","1000000","","1","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","4","nature","true","krull","1","84","","0","0","false","krull","1","27000","84","","0","84","0","1","0","0","krull","1","0","","0.5","1","0","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","0","32","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","123","","0","0","","0","0","1","1","1","standard","0","1","3","0.5","0","","","","","","","","1.9492583173341405","1.9492583173341405","2.706157919549142","1.9653851773075317","1.0285699580320449","0.340350185860207","4393.78","4393.78","4403.07","2.2303789389708815","2.2377901874750696","5706","4782","1539","1.2667784322609876","1.2709877661984592","2.6189976580796253","2.6277002341920372","1035.40182132349","","1271.78","1271.78","1482","1378.5","723","206.71451714865117","0","","","380.7","","","","","","","380.7","","","","","","","","","","","100000","1.1292955094575885","","","","","","0.31775646493062376","","","","","","0","","0","","","","","",""
"scarlet-resonance-23389","3m5ekc2y","scarlet-resonance-23389","finished","-","ankeshanand","","2020-06-09T23:12:26.000Z","10419","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","32","1000000","","1","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","4","nature","true","road_runner","1","84","","0","0","false","road_runner","1","27000","84","","0","84","0","1","0","0","road_runner","1","0","","0.5","1","0","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","0","32","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","88","","0","0","","0","0","1","1","1","standard","0","1","3","0.5","0","","","","","","","","4.071418116120608","4.071418116120608","5.75435554837091","3.964083388325968","2.9565734295093837","0.6459634706261181","15628","15628","15828","1.6286697606507796","1.6495280805131147","20300","16100","5500","0.8559096763585542","0.8668712833301362","1.993553328652582","2.019084700325525","3080.002597401502","","1007.47","1007.47","2865","1037.5","501","239.29786689396127","0","","","61.86","","","","","","","61.86","","","","","","","","","","","100000","1.8067082009077071","","","","","","0.9753604038208724","","","","","","0","","0","","","","","",""
"restful-breeze-23355","2x551ni8","restful-breeze-23355","finished","-","ankeshanand","","2020-06-09T23:10:37.000Z","6777","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","32","1000000","","1","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","4","nature","true","krull","1","84","","0","0","false","krull","1","27000","84","","0","84","0","1","0","0","krull","1","0","","0.5","1","0","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","0","32","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","101","","0","0","","0","0","1","1","1","standard","0","1","3","0.5","0","","","","","","","","1.558065043694712","1.558065043694712","2.083795187182598","1.5539486711821016","0.9301340721939098","0.2691793396613003","3600.99","3600.99","3868.62","1.5979178300757877","1.81142401276426","4698","3892.5","1584","0.9075623017671046","1.0288264612596285","1.8763372365339577","2.127044496487119","722.6798944899463","","1309.71","1309.71","1482","1414","901","181.42961693174573","0","","","314.06","","","","","","","314.06","","","","","","","","","","","100000","0.9955790528699756","","","","","","0.3447353440325707","","","","","","0","","0","","","","","",""
"neat-fire-23393","2miasfzw","neat-fire-23393","finished","-","ankeshanand","","2020-06-09T23:12:43.000Z","10530","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","32","1000000","","1","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","4","nature","true","krull","1","84","","0","0","false","krull","1","27000","84","","0","84","0","1","0","0","krull","1","0","","0.5","1","0","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","0","32","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","88","","0","0","","0","0","1","1","1","standard","0","1","3","0.5","0","","","","","","","","1.5383496077779757","1.5383496077779757","2.658147905022584","1.7002516460458788","0","0.47419480258584534","3339.23","3339.23","3968.81","1.3890945353011568","1.891352213801356","6366","3747","0","0.7889578613502493","1.0742229270502943","1.631128805620609","2.2208992974238875","1801.552901554656","","1095.44","1095.44","1515","1164.5","219","299.74530254868046","0","","","290.42","","","","","","","290.42","","","","","","","","","","","100000","1.0508573928445577","","","","","","0.34552145247533916","","","","","","0","","0","","","","","",""
"light-dew-23447","25vk1ldj","light-dew-23447","finished","-","ankeshanand","","2020-06-09T23:14:02.000Z","9353","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","32","1000000","","1","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","4","nature","true","jamesbond","1","84","","0","0","false","jamesbond","1","27000","84","","0","84","0","1","0","0","jamesbond","1","0","","0.5","1","0","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","0","32","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","88","","0","0","","0","0","1","1","1","standard","0","1","3","0.5","0","","","","","","","","0.3865820751610066","0.3865820751610066","0.44294754204011566","0.40149469631728024","0.09549461329776164","0.0667631162795997","469","469","469","1.6140865737344092","1.6140865737344092","750","450","250","0.8033595033777615","0.8033595033777615","1.6070124178232286","1.6070124178232286","86.82741502543998","","1751.08","1751.08","3015","1757.5","1158","251.73119314061972","0","","","9.38","","","","","","","9.38","","","","","","","","","","","100000","1.169219325011969","","","","","","0.463128149330616","","","","","","0","","0","","","","","",""
"youthful-lion-23428","3omg0d5f","youthful-lion-23428","finished","-","ankeshanand","","2020-06-09T23:13:47.000Z","9864","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","32","1000000","","1","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","4","nature","true","krull","1","84","","0","0","false","krull","1","27000","84","","0","84","0","1","0","0","krull","1","0","","0.5","1","0","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","0","32","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","444","","0","0","","0","0","1","1","1","standard","0","1","3","0.5","0","","","","","","","","1.4249678633835854","1.4249678633835854","2.0963825635340787","1.3648185730023368","0.6751403131415592","0.3453833635742043","3278.64","3278.64","3278.64","1.340757877941763","1.340757877941763","4554","3343.5","1209","0.7615043044857271","0.7615043044857271","1.5743700234192035","1.5743700234192035","719.9241560053393","","1364.08","1364.08","1507","1440","751","160.6850758471365","0","","","284.61","","","","","","","284.61","","","","","","","","","","","100000","1.2598307065188885","","","","","","0.5013108960822225","","","","","","0","","0","","","","","",""
"grateful-plant-23409","1imf2g2n","grateful-plant-23409","finished","-","ankeshanand","","2020-06-09T23:13:37.000Z","11215","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","32","1000000","","1","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","4","nature","true","road_runner","1","84","","0","0","false","road_runner","1","27000","84","","0","84","0","1","0","0","road_runner","1","0","","0.5","1","0","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","0","32","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","101","","0","0","","0","0","1","1","1","standard","0","1","3","0.5","0","","","","","","","","5.7711761316303445","5.7711761316303445","9.907143769048572","5.453078285637923","3.3809653004330307","1.557451016169858","11584","11584","11584","1.206914533034364","1.206914533034364","19300","11800","5400","0.6342659833931654","0.6342659833931654","1.4773089934256718","1.4773089934256718","2610.6596867458616","","908.09","908.09","1605","905","752","75.26434680511085","0","","","51.94","","","","","","","51.94","","","","","","","","","","","100000","4.698451999425888","","","","","","1.0388018368721008","","","","","","0","","0","","","","","",""
"woven-violet-23447","b6k77f1m","woven-violet-23447","finished","-","ankeshanand","","2020-06-09T23:14:02.000Z","10854","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","32","1000000","","1","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","4","nature","true","up_n_down","1","84","","0","0","false","up_n_down","1","27000","84","","0","84","0","1","0","0","up_n_down","1","0","","0.5","1","0","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","0","32","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","444","","0","0","","0","0","1","1","1","standard","0","1","3","0.5","0","","","","","","","","6.351587639605823","6.351587639605823","7.755773851355257","6.262841912612136","3.5551842518174115","0.6633807554421949","16970.7","16970.7","16970.7","7.012499999999999","7.012499999999999","60300","14010","4310","2.074735566606922","2.074735566606922","1.4729027401924764","1.4729027401924764","12610.171232382216","","3002.13","3002.13","9582","2475.5","1098","1821.462350173618","0","","","204.2","","","","","","","204.2","","","","","","","","","","","100000","3.1180829256772995","","","","","","1.0447828944057227","","","","","","0","","0","","","","","",""
"toasty-terrain-23430","uv4hzvad","toasty-terrain-23430","finished","-","ankeshanand","","2020-06-09T23:13:48.000Z","9187","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","32","1000000","","1","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","4","nature","true","road_runner","1","84","","0","0","false","road_runner","1","27000","84","","0","84","0","1","0","0","road_runner","1","0","","0.5","1","0","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","0","32","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","420","","0","0","","0","0","1","1","1","standard","0","1","3","0.5","0","","","","","","","","2.620651171048666","2.620651171048666","3.958772156069237","2.656658873360704","1.4978828957605776","0.473945337045214","10562","10562","10562","1.1003285185378318","1.1003285185378318","14600","10500","4300","0.5782521717683813","0.5782521717683813","1.3468436841769325","1.3468436841769325","2184.2518169844793","","968.56","968.56","1093","990","419","120.2376247270379","0","","","43.16","","","","","","","43.16","","","","","","","","","","","100000","1.6058143556535245","","","","","","0.8523930768400431","","","","","","0","","0","","","","","",""
"eager-silence-23397","2sgr1zd1","eager-silence-23397","finished","-","ankeshanand","","2020-06-09T23:13:02.000Z","11072","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","32","1000000","","1","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","4","nature","true","kung_fu_master","1","84","","0","0","false","kung_fu_master","1","27000","84","","0","84","0","1","0","0","kung_fu_master","1","0","","0.5","1","0","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","1","50000","1","-1","custom","0","0","1","in","0","0.00015","valid","0","32","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","420","","0","0","","0","0","1","1","1","standard","0","1","3","0.5","0","","","","","","","","0.9687601812029254","0.9687601812029254","1.3435737232899458","0.8272820039293238","0.5845577919145565","0.2163324403834161","30384","30384","30384","2.138440898378716","2.138440898378716","58200","32200","11000","1.309149772939617","1.309149772939617","1.3402334748062534","1.3402334748062534","11726.335488975232","","4763.51","4763.51","7905","4901","2266","1439.507655380825","0","","","151.92","","","","","","","151.92","","","","","","","","","","","100000","1.779816613572836","","","","","","0.6773575304329396","","","","","","0","","0","","","","","",""
